sentence,words,tip,translation_en
"Die Wohnung liegt im Norden der Stadt.","Die|Wohnung|liegt|im|Norden|der|Stadt|.","Compass directions","The apartment is in the north of the city."
"Die Kaltmiete beträgt 800 Euro im Monat.","Die|Kaltmiete|beträgt|800|Euro|im|Monat|.","Renting vocabulary","The cold rent is 800 euros per month."
"Wie hoch sind die Nebenkosten?","Wie|hoch|sind|die|Nebenkosten|?","Renting vocabulary","How high are the utility costs?"
"Die Kaution beträgt drei Monatsmieten.","Die|Kaution|beträgt|drei|Monatsmieten|.","Renting vocabulary","The deposit is three months' rent."
"Die Wohnung ist sehr hell und ruhig.","Die|Wohnung|ist|sehr|hell|und|ruhig|.","Adjectives for apartments","The apartment is very bright and quiet."
"Leider liegt die Wohnung an einer lauten Straße.","Leider|liegt|die|Wohnung|an|einer|lauten|Straße|.","an + Dativ","Unfortunately the apartment is on a loud street."
"Das Zimmer hat 20 Quadratmeter.","Das|Zimmer|hat|20|Quadratmeter|.","Size","The room has 20 square meters."
"Wo steht der Schrank?","Wo|steht|der|Schrank|?","Wo-Frage (stehen)","Where does the closet stand?"
"Der Schrank steht neben dem Fenster.","Der|Schrank|steht|neben|dem|Fenster|.","neben + Dativ","The closet stands next to the window."
"Wohin stellst du die Lampe?","Wohin|stellst|du|die|Lampe|?","Wohin-Frage (stellen)","Where are you putting the lamp?"
"Ich stelle die Lampe auf den Tisch.","Ich|stelle|die|Lampe|auf|den|Tisch|.","auf + Akkusativ","I am putting the lamp on the table."
"Das Buch liegt auf dem Sofa.","Das|Buch|liegt|auf|dem|Sofa|.","auf + Dativ","The book is lying on the sofa."
"Ich lege das Buch auf das Sofa.","Ich|lege|das|Buch|auf|das|Sofa|.","auf + Akkusativ","I am putting the book on the sofa."
"Das Bild hängt an der Wand.","Das|Bild|hängt|an|der|Wand|.","an + Dativ","The picture hangs on the wall."
"Wir hängen das Bild über das Bett.","Wir|hängen|das|Bild|über|das|Bett|.","über + Akkusativ","We hang the picture over the bed."
"Die Katze schläft unter dem Tisch.","Die|Katze|schläft|unter|dem|Tisch|.","unter + Dativ","The cat sleeps under the table."
"Der Teppich liegt zwischen dem Bett und dem Schrank.","Der|Teppich|liegt|zwischen|dem|Bett|und|dem|Schrank|.","zwischen + Dativ","The rug lies between the bed and the closet."
"Stell die Stühle vor das Fenster!","Stell|die|Stühle|vor|das|Fenster|!","vor + Akkusativ","Put the chairs in front of the window!"
"Das Auto steht hinter dem Haus.","Das|Auto|steht|hinter|dem|Haus|.","hinter + Dativ","The car is behind the house."
"Ich sitze gemütlich im Sessel.","Ich|sitze|gemütlich|im|Sessel|.","in + Dativ","I am sitting comfortably in the armchair."
"Setz dich neben mich auf das Sofa.","Setz|dich|neben|mich|auf|das|Sofa|.","auf + Akkusativ","Sit down next to me on the sofa."
"Könnten Sie mir bitte helfen?","Könnten|Sie|mir|bitte|helfen|?","Konjunktiv II (können) formal","Could you please help me?"
"Könntest du das Fenster zumachen?","Könntest|du|das|Fenster|zumachen|?","Konjunktiv II (können) informal","Could you close the window?"
"Ich hätte gern eine Wohnung im Zentrum.","Ich|hätte|gern|eine|Wohnung|im|Zentrum|.","Konjunktiv II (haben)","I would like to have an apartment in the center."
"Hättest du am Wochenende Zeit für mich?","Hättest|du|am|Wochenende|Zeit|für|mich|?","Konjunktiv II (haben)","Would you have time for me on the weekend?"
"Wir hätten gern einen Balkon im Süden.","Wir|hätten|gern|einen|Balkon|im|Süden|.","Konjunktiv II (haben)","We would like to have a balcony facing south."
"Könntest du den Kühlschrank in die Küche stellen?","Könntest|du|den|Kühlschrank|in|die|Küche|stellen|?","Konjunktiv II + Akkusativ","Could you put the fridge into the kitchen?"
"Hast du einen Stuhl für mich?","Hast|du|einen|Stuhl|für|mich|?","Akkusativ","Do you have a chair for me?"
"Ja, da steht einer.","Ja|,|da|steht|einer|.","Indefinitpronomen (Nom, M)","Yes, one is standing there."
"Brauchen wir eine Lampe?","Brauchen|wir|eine|Lampe|?","Akkusativ","Do we need a lamp?"
"Ja, wir brauchen unbedingt eine.","Ja|,|wir|brauchen|unbedingt|eine|.","Indefinitpronomen (Akk, F)","Yes, we absolutely need one."
"Gibt es hier ein Bad?","Gibt|es|hier|ein|Bad|?","Akkusativ","Is there a bathroom here?"
"Ja, im Flur ist eins.","Ja|,|im|Flur|ist|eins|.","Indefinitpronomen (Nom, N)","Yes, there is one in the hallway."
"Hast du Tassen für den Kaffee?","Hast|du|Tassen|für|den|Kaffee|?","Akkusativ Plural","Do you have cups for the coffee?"
"Ja, im Schrank sind welche.","Ja|,|im|Schrank|sind|welche|.","Indefinitpronomen (Plural)","Yes, there are some in the closet."
"Ich suche eine ruhige und möblierte Wohnung.","Ich|suche|eine|ruhige|und|möblierte|Wohnung|.","Adjectives for apartments","I am looking for a quiet and furnished apartment."
"Wann könnt ihr in das neue Haus einziehen?","Wann|könnt|ihr|in|das|neue|Haus|einziehen|?","einziehen","When can you guys move into the new house?"
"Wir sind letzte Woche in den ersten Stock umgezogen.","Wir|sind|letzte|Woche|in|den|ersten|Stock|umgezogen|.","umziehen (Perfekt mit sein)","We moved to the first floor last week."
"Die Wohnung steht leider seit Monaten leer.","Die|Wohnung|steht|leider|seit|Monaten|leer|.","leer stehen","The apartment has unfortunately been empty for months."
"Beschreiben Sie bitte Ihren Kursraum.","Beschreiben|Sie|bitte|Ihren|Kursraum|.","Imperative formal","Please describe your classroom."
"Der Tisch ist aus Holz und das Regal aus Metall.","Der|Tisch|ist|aus|Holz|und|das|Regal|aus|Metall|.","Materials","The table is made of wood and the shelf of metal."
"Wir spielen oft ein Versteckspiel im Kurs.","Wir|spielen|oft|ein|Versteckspiel|im|Kurs|.","Vocab: Versteckspiel","We often play a game of hide-and-seek in class."
"Wohin legst du deine Schlüssel gewöhnlich?","Wohin|legst|du|deine|Schlüssel|gewöhnlich|?","Wohin-Frage","Where do you usually put your keys?"
"Ich lege sie immer auf die Kommode im Flur.","Ich|lege|sie|immer|auf|die|Kommode|im|Flur|.","auf + Akk, in + Dat","I always put them on the dresser in the hallway."
"Wo hängt deine Jacke?","Wo|hängt|deine|Jacke|?","Wo-Frage","Where does your jacket hang?"
"Sie hängt an der Tür.","Sie|hängt|an|der|Tür|.","an + Dat","It hangs on the door."
"Könnten Sie mir die Telefonnummer des Vermieters geben?","Könnten|Sie|mir|die|Telefonnummer|des|Vermieters|geben|?","Konjunktiv II formal","Could you give me the landlord's phone number?"
"Das Wohnzimmer hat große Fenster nach Süden.","Das|Wohnzimmer|hat|große|Fenster|nach|Süden|.","Directions","The living room has large windows facing south."
"Im Osten geht die Sonne auf.","Im|Osten|geht|die|Sonne|auf|.","Directions","The sun rises in the east."
"Das Bad ist klein, aber sehr modern.","Das|Bad|ist|klein|,|aber|sehr|modern|.","Adjectives","The bathroom is small but very modern."
"Haben Sie die Wohnungsanzeige in der Zeitung gelesen?","Haben|Sie|die|Wohnungsanzeige|in|der|Zeitung|gelesen|?","Vocab: Wohnungsanzeige","Did you read the housing ad in the newspaper?"
"Ich hätte gern mehr Platz für meine Möbel.","Ich|hätte|gern|mehr|Platz|für|meine|Möbel|.","Konjunktiv II (haben)","I would like more space for my furniture."
"Könntest du den Teppich unter den Tisch legen?","Könntest|du|den|Teppich|unter|den|Tisch|legen|?","Konjunktiv II + Akkusativ","Could you lay the rug under the table?"
