test_text,answer,test_verb,tip,meaning,grammar_tip
"Früher null wir in Berlin. (lived)","lebten","leben","lived","In the past we lived in Berlin.","Präteritum: wir -> lebten (regelmäßig)"
"Damals null sie in Spanien. (lived)","lebte","leben","lived","Back then she lived in Spain.","Präteritum: sie (Sg) -> lebte"
"Ich null gestern viel. (worked)","arbeitete","arbeiten","worked","I worked a lot yesterday.","Präteritum: ich -> arbeitete (extra e)"
"Er null in einem Restaurant. (worked)","arbeitete","arbeiten","worked","He worked in a restaurant.","Präteritum: er -> arbeitete"
"Wir null viel für die Uni. (studied/learned)","lernten","lernen","learned","We learned a lot for the university.","Präteritum: wir -> lernten"
"Du null schnell Deutsch. (learned)","lerntest","lernen","learned","You learned German quickly.","Präteritum: du -> lerntest"
"Ich null meine Hausaufgaben. (made/did)","machte","machen","did/made","I did my homework.","Präteritum: ich -> machte"
"Wir null gestern Sport. (did/made)","machten","machen","did/made","We did sports yesterday.","Präteritum: wir -> machten"
"Sie (Pl.) null Urlaub. (did/made)","machten","machen","did/made","They took a vacation.","Präteritum: sie (Pl) -> machten"
"Ich null Medizin an der Uni. (studied)","studierte","studieren","studied","I studied medicine at the university.","Präteritum: ich -> studierte"
"Wir null in München. (studied)","studierten","studieren","studied","We studied in Munich.","Präteritum: wir -> studierten"
"Letztes Jahr null ich in Köln. (lived/resided)","wohnte","wohnen","lived","Last year I lived in Cologne.","Präteritum: ich -> wohnte"
"Er null bei seinen Eltern. (lived/resided)","wohnte","wohnen","lived","He lived with his parents.","Präteritum: er -> wohnte"
"Wir null zusammen. (lived/resided)","wohnten","wohnen","lived","We lived together.","Präteritum: wir -> wohnten"
"Wir null lange. (chatted)","chatteten","chatten","chatted","We chatted for a long time.","Präteritum: wir -> chatteten"
"Ich null ein schönes Foto. (posted)","postete","posten","posted","I posted a beautiful photo.","Präteritum: ich -> postete"
"Er null mir eine Geschichte. (told)","erzählte","erzählen","told","He told me a story.","Präteritum: er -> erzählte"
"Wir null uns auf einer Party. (met)","lernten kennen","kennenlernen","got to know","We met at a party.","Präteritum: wir -> lernten ... kennen (trennbar)"
"Gestern null ich im Kino. (was)","war","sein","was","Yesterday I was at the cinema.","Präteritum: ich -> war (unregelmäßig)"
"Wo null du gestern? (were)","warst","sein","were","Where were you yesterday?","Präteritum: du -> warst (unregelmäßig)"
"Er null sehr glücklich. (was)","war","sein","was","He was very happy.","Präteritum: er -> war (unregelmäßig)"
"Wir null Freunde. (were)","waren","sein","were","We were friends.","Präteritum: wir -> waren (unregelmäßig)"
"Ich null keine Zeit. (had)","hatte","haben","had","I had no time.","Präteritum: ich -> hatte (unregelmäßig)"
"null du gestern Zeit? (had)","Hattest","haben","had","Did you have time yesterday?","Präteritum: du -> hattest (unregelmäßig)"
"Wir null einen Streit. (had)","hatten","haben","had","We had an argument.","Präteritum: wir -> hatten (unregelmäßig)"
"Sie (Pl.) null viel Glück. (had)","hatten","haben","had","They had a lot of luck.","Präteritum: sie (Pl) -> hatten (unregelmäßig)"
"Ich null in die Stadt. (went)","ging","gehen","went","I went into the city.","Präteritum: ich -> ging (unregelmäßig)"
"Wir null spazieren. (went)","gingen","gehen","went","We went for a walk.","Präteritum: wir -> gingen (unregelmäßig)"
"Sie (Sg.) null nach Hause. (went)","ging","gehen","went","She went home.","Präteritum: sie (Sg) -> ging (unregelmäßig)"
"Er null spät zur Party. (came)","kam","kommen","came","He came late to the party.","Präteritum: er -> kam (unregelmäßig)"
"Wir null aus Berlin. (came)","kamen","kommen","came","We came from Berlin.","Präteritum: wir -> kamen (unregelmäßig)"
"Ich null pünktlich an. (arrived/came)","kam","ankommen","arrived","I arrived on time.","Präteritum: ich -> kam ... an (trennbar, unregelmäßig)"
"Ich null den Film. (saw)","sah","sehen","saw","I saw the film.","Präteritum: ich -> sah (unregelmäßig)"
"Wir null meine Tante. (saw)","sahen","sehen","saw","We saw my aunt.","Präteritum: wir -> sahen (unregelmäßig)"
"Er null uns nicht. (saw)","sah","sehen","saw","He didn't see us.","Präteritum: er -> sah (unregelmäßig)"
