text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Guten Tag, Herr Müller. Was fehlt Ihnen denn heute? Mein Hals tut schrecklich weh.","Wo hat Herr Müller Schmerzen?","Im Hals.","Im Kopf.","Im Rücken.","Im Bauch.","Good day, Mr. Müller. What seems to be the problem today? My throat hurts terribly.","Listen for the body part 'Hals'."
"Ich habe Bauchschmerzen und ein bisschen Fieber. Seit wann haben Sie das?","Welche Symptome hat die Person?","Bauchschmerzen und Fieber.","Kopfschmerzen und Husten.","Schnupfen und Zahnschmerzen.","Nur Fieber.","I have a stomachache and a little fever. Since when have you had that?","Listen for 'Bauchschmerzen und ... Fieber'."
"Ich verschreibe Ihnen diese Tabletten. Wie oft muss ich sie einnehmen?","Was verschreibt der Arzt?","Tabletten.","Eine Salbe.","Einen Hustensaft.","Tropfen.","I am prescribing you these pills. How often must I take them?","Listen for 'verschreibt ... Tabletten'."
"Nehmen Sie die Tabletten dreimal täglich nach dem Essen.","Wie oft soll er die Tabletten einnehmen?","Dreimal täglich nach dem Essen.","Einmal täglich.","Vor dem Schlafen.","Zweimal täglich vor dem Essen.","Take the pills three times daily after eating.","Listen for 'dreimal täglich nach dem Essen'."
"Ich brauche ein Pflaster, ich habe mir in den Finger geschnitten.","Wofür braucht er ein Pflaster?","Für den Finger.","Für den Fuß.","Für das Knie.","Für den Arm.","I need a Band-Aid, I cut my finger.","Listen for the body part 'Finger'."
"Gegen die Rückenschmerzen hilft diese Salbe am besten. Reiben Sie sie morgens ein.","Was soll er gegen Rückenschmerzen nehmen?","Eine Salbe.","Tabletten.","Tropfen.","Einen Tee.","This ointment helps best against the back pain. Rub it in in the morning.","Listen for the remedy 'Salbe'."
"Haben Sie das Rezept vom Arzt dabei? Ja, hier ist es.","Wo sind die beiden Personen wahrscheinlich?","In der Apotheke.","Im Supermarkt.","Im Restaurant.","Im Kino.","Do you have the prescription from the doctor with you? Yes, here it is.","The mention of 'Rezept' from a doctor implies they are at the pharmacy."
"Unsere Praxis ist von 8 bis 12 Uhr und von 14 bis 18 Uhr geöffnet.","Wann ist die Praxis mittags geschlossen?","Von 12 bis 14 Uhr.","Von 8 bis 12 Uhr.","Den ganzen Tag.","Sie ist nicht geschlossen.","Our practice is open from 8 to 12 and from 14 to 18 o'clock.","Infer the lunch break between the two open times (12 to 14)."
"Ich arbeite heute nur bis 15 Uhr, dann gehe ich zum Zahnarzt.","Wann geht die Person zum Zahnarzt?","Nach 15 Uhr.","Vor 15 Uhr.","Morgen früh.","Um 8 Uhr.","I am only working until 3 PM today, then I am going to the dentist.","Listen for 'bis 15 Uhr' working, then doctor."
"Was macht dich eigentlich glücklich? Eine Reise mit meiner Familie!","Was macht die Person glücklich?","Eine Reise mit der Familie.","Viel Geld und Reichtum.","Ein schnelles Auto.","Gesundheit.","What actually makes you happy? A trip with my family!","Listen for 'Reise mit meiner Familie'."
