sentence,words,tip,translation_en
"Wir möchten bitte bestellen.","Wir|möchten|bitte|bestellen|.","Restaurant phrase","We would like to order please."
"Könnte ich bitte die Speisekarte haben?","Könnte|ich|bitte|die|Speisekarte|haben|?","Restaurant phrase","Could I please have the menu?"
"Was können Sie empfehlen?","Was|können|Sie|empfehlen|?","Restaurant phrase","What can you recommend?"
"Als Vorspeise hätte ich gern die Suppe.","Als|Vorspeise|hätte|ich|gern|die|Suppe|.","Ordering food","For the appetizer, I would like the soup."
"Ich nehme das Steak mit Kartoffeln.","Ich|nehme|das|Steak|mit|Kartoffeln|.","Ordering food","I'll take the steak with potatoes."
"Möchten Sie etwas trinken?","Möchten|Sie|etwas|trinken|?","Kellner phrase","Would you like something to drink?"
"Bringen Sie uns bitte eine Flasche Wasser.","Bringen|Sie|uns|bitte|eine|Flasche|Wasser|.","Ordering drinks","Please bring us a bottle of water."
"Hat es Ihnen geschmeckt?","Hat|es|Ihnen|geschmeckt|?","Kellner phrase","Did you enjoy your meal? (Did it taste good to you?)"
"Ja, das Essen war sehr lecker.","Ja|,|das|Essen|war|sehr|lecker|.","Complimenting food","Yes, the food was very delicious."
"Die Suppe war leider etwas versalzen.","Die|Suppe|war|leider|etwas|versalzen|.","Complaining about food","The soup was unfortunately a little too salty."
"Wir möchten bitte zahlen.","Wir|möchten|bitte|zahlen|.","Restaurant phrase","We would like to pay please."
"Die Rechnung, bitte!","Die|Rechnung|,|bitte|!","Restaurant phrase","The bill, please!"
"Zahlen wir zusammen oder getrennt?","Zahlen|wir|zusammen|oder|getrennt|?","Paying","Are we paying together or separately?"
"Das macht zusammen 34 Euro 50.","Das|macht|zusammen|34|Euro|50|.","Kellner phrase","That makes 34 euros 50 together."
"Machen Sie 38 Euro. Stimmt so.","Machen|Sie|38|Euro|.|Stimmt|so|.","Tipping","Make it 38 euros. Keep the change."
"Wie viel Trinkgeld gibt man in Deutschland?","Wie|viel|Trinkgeld|gibt|man|in|Deutschland|?","Cultural question","How much tip does one give in Germany?"
"Zehn Prozent sind normal.","Zehn|Prozent|sind|normal|.","Tipping norm","Ten percent is normal."
"Wo kommt das Plastik hin?","Wo|kommt|das|Plastik|hin|?","Trash sorting","Where does the plastic go?"
"Das gehört in den gelben Sack.","Das|gehört|in|den|gelben|Sack|.","Trash sorting","That belongs in the yellow bag."
"Wirf das Glas in den Altglascontainer!","Wirf|das|Glas|in|den|Altglascontainer|!","Trash sorting","Throw the glass in the glass recycling bin!"
"Papier kommt in die blaue Tonne.","Papier|kommt|in|die|blaue|Tonne|.","Trash sorting","Paper goes in the blue bin."
"Man muss den Müll richtig sortieren.","Man|muss|den|Müll|richtig|sortieren|.","Trash sorting","One must sort the trash correctly."
"Was hast du immer im Kühlschrank?","Was|hast|du|immer|im|Kühlschrank|?","Talking about groceries","What do you always have in the fridge?"
"Ich habe immer Milch und Käse da.","Ich|habe|immer|Milch|und|Käse|da|.","Talking about groceries","I always have milk and cheese there."
"Wir brauchen noch Lebensmittel für die Kursparty.","Wir|brauchen|noch|Lebensmittel|für|die|Kursparty|.","Planning a party","We still need groceries for the course party."
"Schreibst du bitte eine Einkaufsliste?","Schreibst|du|bitte|eine|Einkaufsliste|?","Shopping prep","Will you please write a shopping list?"
"Wir brauchen zwei Packungen Nudeln.","Wir|brauchen|zwei|Packungen|Nudeln|.","Quantities","We need two packs of pasta."
"Und vergiss nicht drei Dosen Tomaten!","Und|vergiss|nicht|drei|Dosen|Tomaten|!","Quantities","And don't forget three cans of tomatoes!"
"Ich kaufe ein Kilo Rindfleisch beim Metzger.","Ich|kaufe|ein|Kilo|Rindfleisch|beim|Metzger|.","Shopping","I am buying a kilo of beef at the butcher."
"Hast du frisches Brot vom Bäcker geholt?","Hast|du|frisches|Brot|vom|Bäcker|geholt|?","Shopping","Did you get fresh bread from the baker?"
"Ich lege das Obst in den Korb.","Ich|lege|das|Obst|in|den|Korb|.","legen + Akkusativ","I lay the fruit in the basket."
"Das Obst liegt im Korb.","Das|Obst|liegt|im|Korb|.","liegen + Dativ","The fruit lies in the basket."
"Stell die Flaschen auf den Tisch!","Stell|die|Flaschen|auf|den|Tisch|!","stellen + Akkusativ","Put the bottles on the table!"
"Die Flaschen stehen schon auf dem Tisch.","Die|Flaschen|stehen|schon|auf|dem|Tisch|.","stehen + Dativ","The bottles already stand on the table."
"Er hängt das Plakat an die Tür.","Er|hängt|das|Plakat|an|die|Tür|.","hängen (Aktion) + Akkusativ","He hangs the poster on the door."
"Das Plakat hängt an der Tür.","Das|Plakat|hängt|an|der|Tür|.","hängen (Zustand) + Dativ","The poster hangs on the door."
"Ist das euer Tisch?","Ist|das|euer|Tisch|?","Possessivartikel euer (Nom M)","Is that your table?"
"Habt ihr euren Tisch gefunden?","Habt|ihr|euren|Tisch|gefunden|?","Possessivartikel euren (Akk M)","Did you find your table?"
"Wir laden euch zum Essen ein.","Wir|laden|euch|zum|Essen|ein|.","Inviting","We are inviting you for dinner."
"Das ist eine fantastische Geschäftsidee!","Das|ist|eine|fantastische|Geschäftsidee|!","Expressing opinion","That is a fantastic business idea!"
"Meine Meinung dazu ist sehr positiv.","Meine|Meinung|dazu|ist|sehr|positiv|.","Expressing opinion","My opinion on it is very positive."
"Ich trinke lieber ein Glas Wein zum Essen.","Ich|trinke|lieber|ein|Glas|Wein|zum|Essen|.","Drink preferences","I prefer drinking a glass of wine with the meal."
"Haben Sie auch vegetarische Gerichte?","Haben|Sie|auch|vegetarische|Gerichte|?","Restaurant phrase","Do you also have vegetarian dishes?"
"Das Dessert war fantastisch.","Das|Dessert|war|fantastisch|.","Complimenting food","The dessert was fantastic."
"Könnten wir bitte etwas mehr Brot haben?","Könnten|wir|bitte|etwas|mehr|Brot|haben|?","Polite request","Could we please have some more bread?"
"Bringen Sie uns noch zwei Becher Kaffee?","Bringen|Sie|uns|noch|zwei|Becher|Kaffee|?","Ordering","Will you bring us two more cups of coffee?"
"Ich esse kein Schweinefleisch.","Ich|esse|kein|Schweinefleisch|.","Dietary restriction","I don't eat pork."
