sentence,words,tip,translation_en
"Hallo, wie geht's dir?","Hallo|,|wie|geht's|dir|?","Dative personal pronoun dir","Hello, how are you?"
"Mir geht es sehr gut.","Mir|geht|es|sehr|gut|.","Dative personal pronoun mir","I am doing very well."
"Und wie geht es Ihnen?","Und|wie|geht|es|Ihnen|?","Formal Sie -> Ihnen","And how are you? (formal)"
"Lange nicht gesehen!","Lange|nicht|gesehen|!","Common phrase","Long time no see!"
"Wie geht's euch?","Wie|geht's|euch|?","Plural informal (ihr -> euch)","How are you guys?"
"Uns geht es super.","Uns|geht|es|super|.","Dative personal pronoun uns","We are doing great."
"Mein Name ist Mario.","Mein|Name|ist|Mario|.","Introducing yourself","My name is Mario."
"Ich komme aus Spanien.","Ich|komme|aus|Spanien|.","Origin","I come from Spain."
"Freut mich sehr.","Freut|mich|sehr|.","Greeting response","Very pleased to meet you."
"Wie heißt du?","Wie|heißt|du|?","Informal question","What is your name?"
"Ich arbeite bei Siemens.","Ich|arbeite|bei|Siemens|.","bei + company name","I work at Siemens."
"Ich habe keine Kinder.","Ich|habe|keine|Kinder|.","Negation with keine","I have no children."
"Bist du verheiratet oder ledig?","Bist|du|verheiratet|oder|ledig|?","Marital status","Are you married or single?"
"Ich lerne Deutsch, weil ich hier arbeite.","Ich|lerne|Deutsch|,|weil|ich|hier|arbeite|.","Konnektor weil (verb at end)","I learn German because I work here."
"Warum lernst du denn Deutsch?","Warum|lernst|du|denn|Deutsch|?","W-question","Why are you learning German?"
"Weil das Spaß macht.","Weil|das|Spaß|macht|.","Answering with weil","Because it is fun."
"Ich lerne seit einem Jahr Deutsch.","Ich|lerne|seit|einem|Jahr|Deutsch|.","seit + Dative (das Jahr)","I have been learning German for a year."
"Seit wann bist du in Berlin?","Seit|wann|bist|du|in|Berlin|?","Seit wann (Since when)","Since when have you been in Berlin?"
"Er studiert seit einer Woche hier.","Er|studiert|seit|einer|Woche|hier|.","seit + Dative (die Woche)","He has been studying here for a week."
"Holst du bitte das Auto ab?","Holst|du|bitte|das|Auto|ab|?","Separable verb in present tense","Can you please pick up the car?"
"Ich habe es schon abgeholt.","Ich|habe|es|schon|abgeholt|.","Perfekt with separable verb","I already picked it up."
"Hast du die E-Mail ausgedruckt?","Hast|du|die|E-Mail|ausgedruckt|?","Perfekt with separable verb","Did you print the email?"
"Ich habe das Licht ausgemacht.","Ich|habe|das|Licht|ausgemacht|.","Perfekt with separable verb","I turned off the light."
"Ich habe meine Mutter angerufen.","Ich|habe|meine|Mutter|angerufen|.","Perfekt with separable verb","I called my mother."
"Wann bist du aufgestanden?","Wann|bist|du|aufgestanden|?","Perfekt with sein (aufstehen)","When did you get up?"
"Ich bin um sieben Uhr aufgestanden.","Ich|bin|um|sieben|Uhr|aufgestanden|.","Perfekt with sein (aufstehen)","I got up at seven o'clock."
"Wir haben die Getränke eingekauft.","Wir|haben|die|Getränke|eingekauft|.","Perfekt with separable verb","We shopped for the drinks."
"Ich habe sie im Kurs kennengelernt.","Ich|habe|sie|im|Kurs|kennengelernt|.","Perfekt with separable verb","I met her in the course."
"Hast du Freunde eingeladen?","Hast|du|Freunde|eingeladen|?","Perfekt with separable verb","Did you invite friends?"
"Was ist deine Lieblingsfarbe?","Was|ist|deine|Lieblingsfarbe|?","W-question","What is your favorite color?"
"Welche Hobbys hast du?","Welche|Hobbys|hast|du|?","W-question","What hobbies do you have?"
"Was bist du von Beruf?","Was|bist|du|von|Beruf|?","Asking about profession","What is your profession?"
"Die Frage ist gut, denn das interessiert mich.","Die|Frage|ist|gut|,|denn|das|interessiert|mich|.","Expressing interest","The question is good because that interests me."
"Gute Frage, das möchte ich auch wissen.","Gute|Frage|,|das|möchte|ich|auch|wissen|.","Expressing agreement","Good question, I want to know that too."
"Die Frage ist zu persönlich.","Die|Frage|ist|zu|persönlich|.","Expressing opinion","The question is too personal."
"Was bedeutet selbstständig?","Was|bedeutet|selbstständig|?","Asking for meaning","What does self-employed mean?"
"Ich bin Köchin von Beruf.","Ich|bin|Köchin|von|Beruf|.","Profession (female)","I am a cook by profession."
"Ich brauche Deutsch für meinen Job.","Ich|brauche|Deutsch|für|meinen|Job|.","Expressing need","I need German for my job."
"Heute bin ich sehr kreativ.","Heute|bin|ich|sehr|kreativ|.","Describing oneself","Today I am very creative."
"Du willst in Berlin bleiben und modern sein?","Du|willst|in|Berlin|bleiben|und|modern|sein|?","Question with modal verb","You want to stay in Berlin and be modern?"
"Ich lerne seit drei Monaten Deutsch.","Ich|lerne|seit|drei|Monaten|Deutsch|.","seit + Dative plural","I have been learning German for three months."
"Ich möchte den Master in Deutschland machen.","Ich|möchte|den|Master|in|Deutschland|machen|.","Life plans","I want to do my Master's in Germany."
"Er möchte an einer Universität arbeiten.","Er|möchte|an|einer|Universität|arbeiten|.","Life plans","He wants to work at a university."
"Schreiben Sie Ihr Profil für den Kurs.","Schreiben|Sie|Ihr|Profil|für|den|Kurs|.","Imperative formal","Write your profile for the course."
"Wir gehen umher und fragen.","Wir|gehen|umher|und|fragen|.","Classroom instruction","We walk around and ask."
"Ich habe einen Job gebraucht.","Ich|habe|einen|Job|gebraucht|.","Perfekt","I needed a job."
"Er lernt Deutsch, weil er hier arbeiten will.","Er|lernt|Deutsch|,|weil|er|hier|arbeiten|will|.","Konnektor weil","He is learning German because he wants to work here."
"Sie ist selbstständig und hat viel Arbeit.","Sie|ist|selbstständig|und|hat|viel|Arbeit|.","Describing work status","She is self-employed and has a lot of work."
"Ist die Frage interessant oder langweilig?","Ist|die|Frage|interessant|oder|langweilig|?","Asking for opinion","Is the question interesting or boring?"
"Ich habe heute die Kursliste geschrieben.","Ich|habe|heute|die|Kursliste|geschrieben|.","Perfekt","I wrote the course list today."
"Wann geht Fabiana in den Deutschkurs?","Wann|geht|Fabiana|in|den|Deutschkurs|?","W-question","When does Fabiana go to the German course?"
"Sie geht montags und dienstags in den Kurs.","Sie|geht|montags|und|dienstags|in|den|Kurs|.","Temporal adverbs","She goes to the course on Mondays and Tuesdays."
"Ich möchte Englisch unterrichten.","Ich|möchte|Englisch|unterrichten|.","Expressing a wish","I would like to teach English."
"Mein Profil im Internet ist neu.","Mein|Profil|im|Internet|ist|neu|.","Describing a profile","My profile on the internet is new."
"Wir haben alte Bekannte begrüßt.","Wir|haben|alte|Bekannte|begrüßt|.","Perfekt","We greeted old acquaintances."
"Ich messe meinen Fortschritt.","Ich|messe|meinen|Fortschritt|.","Talking about learning","I measure my progress."
"Das macht wirklich viel Spaß.","Das|macht|wirklich|viel|Spaß|.","Expressing enjoyment","That is really a lot of fun."
"Er hat die Kinder von der Schule abgeholt.","Er|hat|die|Kinder|von|der|Schule|abgeholt|.","Perfekt separable","He picked the children up from school."
"Wir haben uns im Kurs kennengelernt.","Wir|haben|uns|im|Kurs|kennengelernt|.","Perfekt separable","We got to know each other in the course."
"Weil ich kreativ sein möchte.","Weil|ich|kreativ|sein|möchte|.","Answering a why question","Because I want to be creative."
"Ich arbeite bei einer großen Firma.","Ich|arbeite|bei|einer|großen|Firma|.","bei + Dativ","I work at a large company."
"Kannst du mir helfen?","Kannst|du|mir|helfen|?","mir (Dativ)","Can you help me?"
"Das gehört ihm nicht.","Das|gehört|ihm|nicht|.","ihm (Dativ)","That does not belong to him."
"Wie geht es ihr heute?","Wie|geht|es|ihr|heute|?","ihr (Dativ)","How is she doing today?"
"Habt ihr die Hausaufgaben ausgedruckt?","Habt|ihr|die|Hausaufgaben|ausgedruckt|?","Perfekt separable","Did you guys print the homework?"
