test_text,answer,test_verb,tip,meaning,grammar_tip
"Ist das null Stift? (a)","ein","ein","Indefinite article for masculine noun","Is that a pen?","Indefinite Article: der Stift -> ein Stift."
"Ist das null Brille? (a)","eine","ein","Indefinite article for feminine noun","Is that a pair of glasses?","Indefinite Article: die Brille -> eine Brille."
"Ist das null Buch? (a)","ein","ein","Indefinite article for neuter noun","Is that a book?","Indefinite Article: das Buch -> ein Buch."
"Nein, das ist null Stift. Das ist ein Kuli. (not a)","kein","kein","Negative article for masculine noun","No, that is not a pencil. That is a pen.","Negative Article: der Stift -> kein Stift."
"Nein, das ist null Brille. (not a)","keine","kein","Negative article for feminine noun","No, that is not a pair of glasses.","Negative Article: die Brille -> keine Brille."
"Nein, das ist null Buch. (not a)","kein","kein","Negative article for neuter noun","No, that is not a book.","Negative Article: das Buch -> kein Buch."
"Das sind null Stifte. (plural no article)","-","Wortbildung","Plural has no indefinite article","Those are pens.","Plural: Indefinite article 'ein/eine' disappears in plural."
"Das sind null Brillen. (plural not)","keine","kein","Negative article for plural noun","Those are not glasses.","Negative Article: plural -> keine."
"Das sind null Bücher. (plural not)","keine","kein","Negative article for plural noun","Those are not books.","Negative Article: plural -> keine."
"Was ist null?","das","das","Question asking to identify an object","What is that?","Phrase: Was ist das?"
"null heißt das auf Deutsch?","Wie","wie","Question word for asking a name/word","What is that called in German?","Phrase: Wie heißt das auf Deutsch? (Use 'Wie', not 'Was')"
"null schreibt man das?","Wie","wie","Question word for asking spelling","How do you write that?","Phrase: Wie schreibt man das?"
"Der Stift ist null Plastik.","aus","aus","Preposition indicating material","The pen is made of plastic.","Material: aus + Material (aus Holz, aus Plastik)."
"Die Flasche ist null Glas.","aus","aus","Preposition indicating material","The bottle is made of glass.","Material: aus + Glas."
"Die Geldbörse ist null Leder.","aus","aus","Preposition indicating material","The wallet is made of leather.","Material: aus + Leder."
"Ich habe null Ahnung.","keine","kein","Negative article for 'Ahnung' (die)","I have no idea.","Phrase: keine Ahnung (Ahnung is feminine)."
"Das ist null Schlüssel. (a)","ein","ein","Indefinite article for masculine noun","That is a key.","Indefinite Article: der Schlüssel -> ein Schlüssel."
"Das ist null Tasche. (a)","eine","ein","Indefinite article for feminine noun","That is a bag.","Indefinite Article: die Tasche -> eine Tasche."
"Das ist null Feuerzeug. (a)","ein","ein","Indefinite article for neuter noun","That is a lighter.","Indefinite Article: das Feuerzeug -> ein Feuerzeug."
"Ist das ein Stift? - Nein, das ist null Stift.","kein","kein","Negative article for masculine noun","Is that a pen? - No, that is not a pen.","Negative Article: masculine -> kein."
"Ist das eine Uhr? - Nein, das ist null Uhr.","keine","kein","Negative article for feminine noun","Is that a watch? - No, that is not a watch.","Negative Article: feminine -> keine."
"Ist das ein Handy? - Nein, das ist null Handy.","kein","kein","Negative article for neuter noun","Is that a cell phone? - No, that is not a cell phone.","Negative Article: neuter -> kein."
"Das ist null Regenschirm. (not a)","kein","kein","Negative article for masculine noun","That is not an umbrella.","Negative Article: der Regenschirm -> kein."
"Das sind null Feuerzeuge. (not)","keine","kein","Negative article for plural noun","Those are not lighters.","Negative Article: plural -> keine."
"Sind das Schlüssel? - Nein, das sind null Schlüssel.","keine","kein","Negative article for plural noun","Are those keys? - No, those are not keys.","Negative Article: plural -> keine."
"null Sie das Wort?","Kennen","kennen","Formal imperative or question","Do you know the word?","Verb: Kennen Sie...?"
"Ich null den Regenschirm nicht. (search for)","suche","suchen","1st person singular of 'suchen'","I am not looking for the umbrella.","suchen: ich -> suche."
"Er null seinen Pass. (finds)","findet","finden","3rd person singular of 'finden'","He finds his passport.","finden: er -> findet."
"null einmal, bitte.","Noch","noch","Adverb in phrase","Once more, please.","Phrase: Noch einmal, bitte."
"Wie null, bitte?","bitte","bitte","Asking to repeat","Pardon?","Phrase: Wie bitte?"
"Das ist null Deutsch ein Kuli.","auf","auf","Preposition for language","That is a pen in German.","Language: auf Deutsch."
"Ist das eine Kamera? - null, das ist ein Handy.","Nein","nein","Negative answer particle","Is that a camera? - No, that is a cell phone.","Answering negatively: Nein."
"Ist das eine Brille? - null, das ist eine Brille.","Ja","ja","Positive answer particle","Is that a pair of glasses? - Yes, that is a pair of glasses.","Answering positively: Ja."
"Ist das null aus Holz? (also)","auch","auch","Adverb meaning 'also/too'","Is that also made of wood?","Adverb: auch."
"Das ist kein Rucksack, null eine Tasche.","sondern","sondern","Conjunction after negation","That is not a backpack, but a bag.","Conjunction: sondern corrects a 'kein/nicht' statement."
"Das Heft ist null Papier.","aus","aus","Preposition indicating material","The notebook is made of paper.","Material: aus Papier."
"Ich null, das ist eine Uhr. (believe/think)","glaube","glauben","1st person singular of 'glauben'","I think that is a watch.","glauben: ich -> glaube."
"null du das Buch? (search)","Suchst","suchen","2nd person singular of 'suchen'","Are you looking for the book?","suchen: du -> suchst."
"Was null das auf Deutsch?","heißt","heißen","3rd person singular of 'heißen'","What is that called in German?","heißen: das (es) -> heißt."
"Wie null man das Wort? (writes)","schreibt","schreiben","3rd person singular of 'schreiben' with 'man'","How do you write the word?","schreiben: man (3rd person) -> schreibt."
"Wir null das nicht. (know)","kennen","kennen","1st person plural of 'kennen'","We do not know that.","kennen: wir -> kennen."
"Der Ring ist null Metall.","aus","aus","Preposition indicating material","The ring is made of metal.","Material: aus Metall."
"Ist das ein Koffer? - Nein, das ist null Koffer.","kein","kein","Negative article for masculine noun","Is that a suitcase? - No, that is not a suitcase.","Negative Article: der Koffer -> kein."
"Das ist null Kette. (a)","eine","ein","Indefinite article for feminine noun","That is a necklace.","Indefinite Article: die Kette -> eine."
"Das sind null Taschen. (a)","-","Wortbildung","Plural has no indefinite article","Those are bags.","Plural indefinite: leave blank."
"Das ist null Wörterbuch. (not a)","kein","kein","Negative article for neuter noun","That is not a dictionary.","Negative Article: das Wörterbuch -> kein."
"Das ist null Problem!","kein","kein","Negative article for neuter noun","That is no problem!","Negative Article: das Problem -> kein."
"null Sie das Formular aus.","Füllen","ausfüllen","Formal imperative of separable verb 'ausfüllen'","Fill out the form.","Separable verb imperative: Füllen Sie ... aus."
"Entschuldigung, ist das null Tasche? (your formal)","Ihre","Ihr","Possessive article formal feminine","Excuse me, is that your bag?","Possessive: die Tasche -> Ihre (formal)."
"Ich habe null Zeit. (no)","keine","kein","Negative article for feminine noun","I have no time.","Negative Article: die Zeit -> keine."
