test_text,answer,test_verb,tip,meaning,grammar_tip
"Kaufst du den Tisch? - Ja, ich kaufe null.","ihn","kaufen","Akkusativ pronoun for 'der Tisch' (m)","Are you buying the table? - Yes, I am buying it.","Akkusativ: der -> ihn."
"Räumst du die Küche auf? - Ja, ich räume null auf.","sie","aufräumen","Akkusativ pronoun for 'die Küche' (f)","Are you tidying the kitchen? - Yes, I am tidying it.","Akkusativ: die -> sie."
"Spülst du das Geschirr? - Ja, ich spüle null.","es","spülen","Akkusativ pronoun for 'das Geschirr' (n)","Are you washing the dishes? - Yes, I am washing them.","Akkusativ: das -> es."
"Wäschst du die Tomaten? - Ja, ich wasche null.","sie","waschen","Akkusativ pronoun for 'die Tomaten' (pl)","Are you washing the tomatoes? - Yes, I am washing them.","Akkusativ: die (plural) -> sie."
"Rufst du null an? (me)","mich","anrufen","Akkusativ pronoun for 'ich'","Are you calling me?","Akkusativ: ich -> mich."
"Ich liebe null! (you, informal)","dich","lieben","Akkusativ pronoun for 'du'","I love you!","Akkusativ: du -> dich."
"Besuchst du null morgen? (us)","uns","besuchen","Akkusativ pronoun for 'wir'","Are you visiting us tomorrow?","Akkusativ: wir -> uns."
"Ich verstehe null nicht. (you all)","euch","verstehen","Akkusativ pronoun for 'ihr'","I do not understand you all.","Akkusativ: ihr -> euch."
"Kann ich null etwas fragen? (you, formal)","Sie","fragen","Akkusativ pronoun for 'Sie'","Can I ask you something?","Akkusativ: Sie -> Sie (capitalized)."
"Er fragt null nach dem Weg. (him)","ihn","fragen","Akkusativ pronoun for 'er'","He asks him for directions.","Akkusativ: er -> ihn."
"Die Unordnung nervt null. (me)","mich","nerven","Akkusativ pronoun for 'ich'","The mess annoys me.","nerven takes Akkusativ: ich -> mich."
"Stört null die Musik? (you, informal)","dich","stören","Akkusativ pronoun for 'du'","Does the music bother you?","stören takes Akkusativ: du -> dich."
"Wo ist der Müll? Ich bringe null raus.","ihn","rausbringen","Akkusativ pronoun for 'der Müll' (m)","Where is the trash? I am taking it out.","Akkusativ: der -> ihn."
"Wo ist die Wäsche? Ich wasche null.","sie","waschen","Akkusativ pronoun for 'die Wäsche' (f)","Where is the laundry? I am washing it.","Akkusativ: die -> sie."
"Wo ist das Radio? Ich repariere null.","es","reparieren","Akkusativ pronoun for 'das Radio' (n)","Where is the radio? I am repairing it.","Akkusativ: das -> es."
"Der Herd ist schmutzig. Putzt du null?","ihn","putzen","Akkusativ pronoun for 'der Herd' (m)","The stove is dirty. Are you cleaning it?","Akkusativ: der -> ihn."
"Die Fenster sind dreckig. Putzt du null?","sie","putzen","Akkusativ pronoun for 'die Fenster' (pl)","The windows are filthy. Are you cleaning them?","Akkusativ: die (plural) -> sie."
"Wir haben heute Gäste. Ich lade null ein.","sie","einladen","Akkusativ pronoun for 'die Gäste' (pl)","We have guests today. I am inviting them.","Akkusativ: die (plural) -> sie."
"Ich kann null nicht hören! (you all)","euch","hören","Akkusativ pronoun for 'ihr'","I cannot hear you all!","Akkusativ: ihr -> euch."
"Er sucht null. (her)","sie","suchen","Akkusativ pronoun for 'sie' (she)","He is looking for her.","Akkusativ: sie (she) -> sie."
"Ich ärgere null sehr. (myself/me)","mich","ärgern","Akkusativ reflexive pronoun","I am very annoyed (at myself).","Reflexive: ich ärgere mich."
"Ärgerst du null? (yourself/you)","dich","ärgern","Akkusativ reflexive pronoun","Are you annoyed?","Reflexive: du ärgerst dich."
"Er null das Auto. (washes)","wäscht","waschen","3rd person singular of 'waschen' (a -> ä)","He washes the car.","waschen: er -> wäscht (vowel change)."
"null du heute ab? (wash dishes)","Wäschst","abwaschen","2nd person singular of 'abwaschen' (a -> ä)","Are you washing the dishes today?","abwaschen: du -> wäschst ... ab."
"Ich null den Tisch. (set)","decke","decken","1st person singular of 'decken'","I set the table.","decken: ich -> decke."
"Sie (she) null das Bad. (cleans)","putzt","putzen","3rd person singular of 'putzen'","She cleans the bathroom.","putzen: sie -> putzt."
"Wir null jeden Tag. (vacuum)","staubsaugen","staubsaugen","1st person plural of 'staubsaugen' (inseparable in A1 context mostly)","We vacuum every day.","staubsaugen: wir -> staubsaugen."
"Er null den Boden. (mops/wipes)","wischt","wischen","3rd person singular of 'wischen'","He mops the floor.","wischen: er -> wischt."
"Räumst du das Zimmer null? (tidy up)","auf","aufräumen","Separable prefix at the end","Are you tidying the room?","Separable verb: aufräumen -> räumst ... auf."
"Bringst du den Müll null? (take out)","raus","rausbringen","Separable prefix at the end","Are you taking out the trash?","Separable verb: rausbringen -> bringst ... raus."
"Ich trockne das Geschirr null. (dry)","ab","abtrocknen","Separable prefix at the end","I am drying the dishes.","Separable verb: abtrocknen -> trockne ... ab."
"Wer null heute den Müll raus? (brings)","bringt","rausbringen","3rd person singular of 'bringen'","Who is taking the trash out today?","bringen: wer (3rd person) -> bringt."
"Das Bad ist schmutzig. Wer putzt null?","es","putzen","Akkusativ pronoun for 'das Bad' (n)","The bathroom is dirty. Who is cleaning it?","Akkusativ: das -> es."
