text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Entschuldigung, wo ist der Bahnhof? - Gehen Sie hier immer geradeaus und dann die zweite Straße rechts.","Wo soll die Person rechts gehen?","Die zweite Straße","Die erste Straße","Die dritte Straße","An der Ampel","Excuse me, where is the train station? - Keep going straight here and then the second street on the right.","Listen to the ordinal number 'zweite'."
"Wie komme ich zur Post? - Die Post? Die ist gleich hier um die Ecke!","Wo ist die Post?","Um die Ecke","Weit weg","Am Bahnhof","Neben der Bank","How do I get to the post office? - The post office? It is right here around the corner!","'Um die Ecke' means around the corner."
"Gibt es hier eine Apotheke? - Ja, an der Ampel links. Das ist nicht weit.","Wo ist die Apotheke?","An der Ampel links","An der Ampel rechts","Geradeaus","Vor der Post","Is there a pharmacy here? - Yes, at the traffic light left. That is not far.","Listen to the direction 'links' at the 'Ampel'."
"Entschuldigung, ich suche das Museum. - Tut mir leid, ich bin auch fremd hier.","Weiß die zweite Person den Weg?","Nein, sie ist fremd hier.","Ja, sie beschreibt ihn.","Ja, es ist um die Ecke.","Sie ist der Museumsdirektor.","Excuse me, I am looking for the museum. - I'm sorry, I am also a stranger here.","'fremd hier' means they don't know the area."
"Wo ist die nächste Bank? - Gehen Sie über den Platz. Die Bank ist direkt neben dem Café.","Wo ist die Bank?","Neben dem Café","Vor dem Kino","Hinter dem Bahnhof","Auf dem Platz","Where is the nearest bank? - Walk across the square. The bank is directly next to the cafe.","Listen to the preposition 'neben'."
"Wie komme ich zum Hotel 'Adlon'? - Fahren Sie über die Brücke und dann sofort rechts.","Was soll die Person überqueren?","Die Brücke","Den Platz","Die Straße","Den Fluss","How do I get to the Hotel 'Adlon'? - Drive over the bridge and then immediately right.","'über die Brücke' means over the bridge."
"Gehen Sie an der Kirche vorbei und dann sehen Sie den Supermarkt schon.","Wo ist der Supermarkt?","Hinter der Kirche (vorbei gehen)","Neben der Post","Im Zentrum","Weit weg","Walk past the church and then you will already see the supermarket.","'vorbeigehen' means walking past it."
"Gibt es hier ein Krankenhaus in der Nähe? - Ja, ungefähr 500 Meter geradeaus.","Wie weit ist das Krankenhaus entfernt?","500 Meter","5 Kilometer","100 Meter","Zwei Straßen","Is there a hospital nearby here? - Yes, about 500 meters straight ahead.","Listen to the distance '500 Meter'."
"Ich suche den Marktplatz. - Nehmen Sie den Bus Nummer 10. Zu Fuß ist es zu weit.","Warum soll die Person den Bus nehmen?","Zu Fuß ist es zu weit.","Es regnet.","Der Bus ist gratis.","Die Straße ist gesperrt.","I am looking for the market square. - Take bus number 10. On foot it is too far.","Listen to the reason 'zu weit'."
"Wo finde ich eine Bäckerei? - Da drüben auf der linken Seite.","Wo ist die Bäckerei?","Auf der linken Seite (da drüben)","Auf der rechten Seite","Im Bahnhof","Gleich hier","Where can I find a bakery? - Over there on the left side.","Listen for 'linken Seite'."
"Biegen Sie an der Kreuzung rechts ab und dann immer geradeaus.","Was soll die Person an der Kreuzung machen?","Rechts abbiegen","Links abbiegen","Wenden","Anhalten","Turn right at the intersection and then keep going straight.","'abbiegen' means to turn."
"Ist die Polizei in dieser Straße? - Nein, Sie müssen wenden. Fahren Sie zurück!","Was muss die Person tun?","Wenden (zurückfahren)","Parken","Weiter geradeaus fahren","Aussteigen","Is the police station on this street? - No, you must turn around. Drive back!","'wenden' and 'zurück' mean to turn around and go back."
