sentence,words,tip,translation_en
"Kann ich Ihnen helfen?","Kann|ich|Ihnen|helfen|?","Shop assistant offering help.","Can I help you?"
"Ja, bitte. Ich suche eine Hose.","Ja|,|bitte|.|Ich|suche|eine|Hose|.","Stating what you are looking for.","Yes, please. I am looking for pants."
"Nein danke, ich schaue nur.","Nein|danke|,|ich|schaue|nur|.","Politely declining help.","No thanks, I am just looking."
"Welche Größe haben Sie?","Welche|Größe|haben|Sie|?","Asking for clothing size.","What size do you wear (have)?"
"Ich brauche Größe M.","Ich|brauche|Größe|M|.","Stating size.","I need size M."
"Haben Sie das T-Shirt in Größe L?","Haben|Sie|das|T-Shirt|in|Größe|L|?","Asking for a specific size.","Do you have the T-shirt in size L?"
"Welche Farbe möchten Sie?","Welche|Farbe|möchten|Sie|?","Asking for color preference.","Which color would you like?"
"Ich suche einen blauen Pullover.","Ich|suche|einen|blauen|Pullover|.","Stating a color preference.","I am looking for a blue sweater."
"Kann ich das Kleid anprobieren?","Kann|ich|das|Kleid|anprobieren|?","Asking to try something on.","May I try the dress on?"
"Wo ist die Umkleidekabine?","Wo|ist|die|Umkleidekabine|?","Asking for the fitting room.","Where is the fitting room?"
"Die Kabinen sind dort drüben links.","Die|Kabinen|sind|dort|drüben|links|.","Directing to the fitting rooms.","The fitting rooms are over there on the left."
"Passt die Hose?","Passt|die|Hose|?","Asking if an item fits.","Do the pants fit?"
"Nein, die Hose ist zu eng.","Nein|,|die|Hose|ist|zu|eng|.","Stating an item is too small.","No, the pants are too tight."
"Das Hemd ist leider zu weit.","Das|Hemd|ist|leider|zu|weit|.","Stating an item is too big.","The shirt is unfortunately too loose."
"Der Rock ist zu kurz.","Der|Rock|ist|zu|kurz|.","Describing length.","The skirt is too short."
"Haben Sie den Mantel eine Nummer größer?","Haben|Sie|den|Mantel|eine|Nummer|größer|?","Asking for a larger size.","Do you have the coat one size larger?"
"Haben Sie die Schuhe eine Nummer kleiner?","Haben|Sie|die|Schuhe|eine|Nummer|kleiner|?","Asking for a smaller size.","Do you have the shoes one size smaller?"
