test_text,answer,test_verb,tip,meaning,grammar_tip
"Hier darf null nicht parken. (one/you)","man","man","Impersonal pronoun used for rules","One may not park here.","Pronoun: man (takes 3rd person singular verb)."
"Was muss null hier machen? (one)","man","man","Impersonal pronoun","What does one have to do here?","Pronoun: man (takes 3rd person singular verb)."
"null darf hier rauchen. (One)","Man","man","Impersonal pronoun","One may smoke here.","Pronoun: man (Capitalized at start of sentence)."
"Im Park kann null spazieren gehen. (one)","man","man","Impersonal pronoun","One can go for a walk in the park.","Pronoun: man."
"null darf hier nicht hupen. (One)","Man","man","Impersonal pronoun","One may not honk here.","Pronoun: man."
"Hier null man nicht parken. (dürfen)","darf","dürfen","3rd person singular of 'dürfen' with 'man'","One is not allowed to park here.","dürfen: man -> darf (irregular!)."
"null man hier grillen? (dürfen)","Darf","dürfen","3rd person singular of 'dürfen' with 'man'","Is one allowed to grill here?","dürfen: man -> darf (question format)."
"Im Park null man Hunde an die Leine nehmen. (müssen)","muss","müssen","3rd person singular of 'müssen' with 'man'","In the park one must put dogs on a leash.","müssen: man -> muss (irregular!)."
"Man null hier langsam fahren. (müssen)","muss","müssen","3rd person singular of 'müssen' with 'man'","One must drive slowly here.","müssen: man -> muss."
"null man hier baden? (dürfen)","Darf","dürfen","3rd person singular of 'dürfen' with 'man'","Is one allowed to bathe here?","dürfen: man -> Darf."
"Hier null man leise sein. (müssen)","muss","müssen","3rd person singular of 'müssen' with 'man'","One must be quiet here.","müssen: man -> muss."
"Hier null man baden. (können)","kann","können","3rd person singular of 'können' with 'man'","One can bathe here. (It is possible)","können: man -> kann."
"Man darf das Fahrrad nicht auf dem Bürgersteig null. (fahren)","fahren","fahren","Infinitive verb at the end of modal sentence","One may not ride the bicycle on the sidewalk.","Modal verb rule: Infinitive at the end."
"Man muss den Helm null. (tragen)","tragen","tragen","Infinitive verb at the end of modal sentence","One must wear the helmet.","Modal verb rule: Infinitive at the end."
"Darf man den Hund null? (mitnehmen)","mitnehmen","mitnehmen","Infinitive verb at the end of modal sentence","May one take the dog along?","Modal verb rule: Infinitive (even separable) stays together at the end."
"Man muss an der Ampel null. (anhalten)","anhalten","anhalten","Infinitive verb at the end of modal sentence","One must stop at the traffic light.","Modal verb rule: Infinitive stays together at the end."
"Hier darf man kein Feuer null. (machen)","machen","machen","Infinitive verb at the end of modal sentence","One may not make a fire here.","Modal verb rule: Infinitive at the end."
"Du null hier nicht rauchen! (dürfen)","darfst","dürfen","2nd person singular of 'dürfen'","You are not allowed to smoke here!","dürfen: du -> darfst."
"Wir null leise sein. (müssen)","müssen","müssen","1st person plural of 'müssen'","We must be quiet.","müssen: wir -> müssen."
