sentence,words,tip,translation_en
"Wie spät ist es?","Wie|spät|ist|es|?","Asking for the time (informal/common).","What time is it? (How late is it?)"
"Wie viel Uhr ist es?","Wie|viel|Uhr|ist|es|?","Asking for the time.","What time is it?"
"Es ist genau zwölf Uhr.","Es|ist|genau|zwölf|Uhr|.","Stating the exact hour.","It is exactly twelve o'clock."
"Es ist Viertel nach eins.","Es|ist|Viertel|nach|eins|.","Stating 15 minutes past the hour.","It is a quarter past one (1:15)."
"Es ist halb zwei.","Es|ist|halb|zwei|.","Stating 30 minutes past the hour (halfway to the next hour).","It is half past one (1:30)."
"Es ist Viertel vor drei.","Es|ist|Viertel|vor|drei|.","Stating 15 minutes to the hour.","It is a quarter to three (2:45)."
"Es ist fünf nach halb vier.","Es|ist|fünf|nach|halb|vier|.","Stating 35 minutes past the hour.","It is five past half past three (3:35)."
"Es ist zehn vor halb fünf.","Es|ist|zehn|vor|halb|fünf|.","Stating 20 minutes past the hour.","It is ten to half past four (4:20)."
"Es ist fünf vor zwölf.","Es|ist|fünf|vor|zwölf|.","Stating 5 minutes to the hour.","It is five to twelve (11:55)."
"Der Kurs beginnt um 9:00 Uhr.","Der|Kurs|beginnt|um|9:00|Uhr|.","Using 'um' for exact times.","The course begins at 9:00 AM."
"Wir haben von 12 bis 13 Uhr Pause.","Wir|haben|von|12|bis|13|Uhr|Pause|.","Using a time span.","We have a break from 12 to 1 PM."
"Ich stehe um sieben Uhr auf.","Ich|stehe|um|sieben|Uhr|auf|.","Using the separable verb 'aufstehen'.","I get up at seven o'clock."
"Am Vormittag arbeite ich.","Am|Vormittag|arbeite|ich|.","Stating a morning activity.","In the morning I work."
"Am Mittag esse ich mit Kollegen.","Am|Mittag|esse|ich|mit|Kollegen|.","Stating a midday activity.","At noon I eat with colleagues."
"Am Nachmittag kaufe ich ein.","Am|Nachmittag|kaufe|ich|ein|.","Using the separable verb 'einkaufen'.","In the afternoon I go shopping."
"Am Abend sehe ich fern.","Am|Abend|sehe|ich|fern|.","Using the separable verb 'fernsehen'.","In the evening I watch TV."
"In der Nacht schlafe ich.","In|der|Nacht|schlafe|ich|.","Using the exception 'in der Nacht'.","In the night I sleep."
"Wann fängt der Film an?","Wann|fängt|der|Film|an|?","Asking when something starts.","When does the movie start?"
"Der Film fängt um 20 Uhr an.","Der|Film|fängt|um|20|Uhr|an|.","Answering when something starts.","The movie starts at 8 PM."
"Rufst du mich heute Abend an?","Rufst|du|mich|heute|Abend|an|?","Asking for a phone call.","Will you call me tonight?"
"Ja, ich rufe dich um acht an.","Ja|,|ich|rufe|dich|um|acht|an|.","Confirming a phone call time.","Yes, I'll call you at eight."
"Hast du am Freitag Zeit?","Hast|du|am|Freitag|Zeit|?","Asking for availability.","Do you have time on Friday?"
"Nein, am Freitag habe ich keine Zeit.","Nein|,|am|Freitag|habe|ich|keine|Zeit|.","Declining due to lack of time.","No, on Friday I have no time."
"Am Freitag muss ich arbeiten.","Am|Freitag|muss|ich|arbeiten|.","Giving a reason for unavailability.","On Friday I have to work."
"Und wie geht es am Samstag?","Und|wie|geht|es|am|Samstag|?","Suggesting an alternative day.","And how about Saturday?"
"Am Samstag habe ich Zeit.","Am|Samstag|habe|ich|Zeit|.","Confirming availability.","On Saturday I have time."
"Gehen wir ins Kino?","Gehen|wir|ins|Kino|?","Suggesting an activity.","Are we going to the cinema?"
"Ja, das ist eine super Idee!","Ja|,|das|ist|eine|super|Idee|!","Enthusiastically accepting.","Yes, that is a super idea!"
"Hast du Lust auf Kino?","Hast|du|Lust|auf|Kino|?","Asking if someone feels like doing something.","Do you feel like going to the cinema?"
"Ja, ich habe Lust.","Ja|,|ich|habe|Lust|.","Confirming desire to do something.","Yes, I feel like it."
"Nein, ich habe heute keine Lust.","Nein|,|ich|habe|heute|keine|Lust|.","Declining an activity.","No, I don't feel like it today."
"Wann treffen wir uns?","Wann|treffen|wir|uns|?","Asking for a meeting time.","When are we meeting?"
"Treffen wir uns um Viertel vor acht?","Treffen|wir|uns|um|Viertel|vor|acht|?","Suggesting a specific meeting time.","Shall we meet at a quarter to eight?"
"Ja, das passt gut.","Ja|,|das|passt|gut|.","Confirming a time suits.","Yes, that fits well."
"Nein, das ist zu spät.","Nein|,|das|ist|zu|spät|.","Declining a time (too late).","No, that is too late."
"Geht es auch um sieben?","Geht|es|auch|um|sieben|?","Suggesting an alternative time.","Does seven work too?"
"Gehen wir einen Kaffee trinken?","Gehen|wir|einen|Kaffee|trinken|?","Suggesting going for coffee.","Shall we go drink a coffee?"
"Wo treffen wir uns?","Wo|treffen|wir|uns|?","Asking for a location.","Where are we meeting?"
"Vor dem Kino.","Vor|dem|Kino|.","Suggesting a meeting point.","In front of the cinema."
"Die Bibliothek ist von 9 bis 18 Uhr geöffnet.","Die|Bibliothek|ist|von|9|bis|18|Uhr|geöffnet|.","Stating opening hours.","The library is open from 9 to 6."
