test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null gestern Fußball gespielt. (haben)","habe","haben","1st person singular of 'haben' (auxiliary for Perfekt)","I played soccer yesterday.","Perfekt: ich habe ... gespielt."
"Was null du gemacht? (haben)","hast","haben","2nd person singular of 'haben'","What did you do?","Perfekt: du hast ... gemacht."
"Er null Musik gehört. (haben)","hat","haben","3rd person singular of 'haben'","He listened to music.","Perfekt: er/sie/es hat ... gehört."
"Wir null viel gelernt. (haben)","haben","haben","1st person plural of 'haben'","We learned a lot.","Perfekt: wir haben ... gelernt."
"null ihr gestern eingekauft? (haben)","Habt","haben","2nd person plural of 'haben'","Did you all shop yesterday?","Perfekt: ihr habt ... eingekauft."
"Sie (plural) null Pizza gegessen. (haben)","haben","haben","3rd person plural of 'haben'","They ate pizza.","Perfekt: sie (they) haben ... gegessen."
"Ich habe einen Kuchen null. (machen)","gemacht","machen","Partizip II of 'machen' (ge- + mach + -t)","I made a cake.","Partizip II (regular): ge- + stem + -t (gemacht)."
"Hast du gestern null? (lernen)","gelernt","lernen","Partizip II of 'lernen' (ge- + lern + -t)","Did you study yesterday?","Partizip II (regular): ge- + stem + -t (gelernt)."
"Wir haben am Abend null. (kochen)","gekocht","kochen","Partizip II of 'kochen' (ge- + koch + -t)","We cooked in the evening.","Partizip II (regular): ge- + stem + -t (gekocht)."
"Er hat Gitarre null. (spielen)","gespielt","spielen","Partizip II of 'spielen' (ge- + spiel + -t)","He played guitar.","Partizip II (regular): ge- + stem + -t (gespielt)."
"Ich habe Musik null. (hören)","gehört","hören","Partizip II of 'hören' (ge- + hör + -t)","I listened to music.","Partizip II (regular): ge- + stem + -t (gehört)."
"Wir haben ein Buch null. (kaufen)","gekauft","kaufen","Partizip II of 'kaufen' (ge- + kauf + -t)","We bought a book.","Partizip II (regular): ge- + stem + -t (gekauft)."
"Hast du schon null? (frühstücken)","gefrühstückt","frühstücken","Partizip II of 'frühstücken'","Did you already have breakfast?","Partizip II (regular): ge- + frühstück + -t."
"Ich habe lange null. (arbeiten)","gearbeitet","arbeiten","Partizip II of 'arbeiten' (ends in -t, so add -et)","I worked long.","Partizip II: verbs ending in -t/-d add -et (gearbeitet)."
"Ich habe mit Anna null. (telefonieren)","telefoniert","telefonieren","Partizip II of verbs ending in -ieren (NO 'ge')","I talked on the phone with Anna.","Partizip II: verbs in '-ieren' don't take 'ge-' (telefoniert)."
"Er hat in Berlin null. (studieren)","studiert","studieren","Partizip II of verbs ending in -ieren (NO 'ge')","He studied in Berlin.","Partizip II: verbs in '-ieren' don't take 'ge-' (studiert)."
