test_text,answer,test_verb,tip,meaning,grammar_tip
"Die Wohnung gefällt null gut. (me)","mir","gefallen","Dativ of 'ich'","I like the apartment well.","gefallen takes Dativ: ich -> mir."
"Gefällt null das Zimmer? (you, informal)","dir","gefallen","Dativ of 'du'","Do you like the room?","gefallen takes Dativ: du -> dir."
"Das Haus gefällt null nicht. (him)","ihm","gefallen","Dativ of 'er'","He does not like the house.","gefallen takes Dativ: er -> ihm."
"Der Garten gefällt null sehr. (her)","ihr","gefallen","Dativ of 'sie' (she)","She likes the garden a lot.","gefallen takes Dativ: sie (she) -> ihr."
"Die Möbel gefallen null. (us)","uns","gefallen","Dativ of 'wir'","We like the furniture.","gefallen takes Dativ: wir -> uns."
"Gefällt null der Balkon? (you all, informal)","euch","gefallen","Dativ of 'ihr' (plural)","Do you all like the balcony?","gefallen takes Dativ: ihr -> euch."
"Das Bad gefällt null nicht. (them)","ihnen","gefallen","Dativ of 'sie' (they)","They do not like the bathroom.","gefallen takes Dativ: sie (they) -> ihnen."
"Gefällt null die Küche? (you, formal)","Ihnen","gefallen","Dativ of 'Sie' (formal)","Do you like the kitchen?","gefallen takes Dativ: Sie -> Ihnen (capitalized)."
"Das Auto gehört null. (me)","mir","gehören","Dativ of 'ich'","The car belongs to me.","gehören takes Dativ: ich -> mir."
"Gehört der Schlüssel null? (you, informal)","dir","gehören","Dativ of 'du'","Does the key belong to you?","gehören takes Dativ: du -> dir."
"Der Laptop gehört null. (him)","ihm","gehören","Dativ of 'er'","The laptop belongs to him.","gehören takes Dativ: er -> ihm."
"Die Tasche gehört null. (her)","ihr","gehören","Dativ of 'sie' (she)","The bag belongs to her.","gehören takes Dativ: sie (she) -> ihr."
"Das Haus gehört null. (us)","uns","gehören","Dativ of 'wir'","The house belongs to us.","gehören takes Dativ: wir -> uns."
"Gehört der Hund null? (you all)","euch","gehören","Dativ of 'ihr'","Does the dog belong to you all?","gehören takes Dativ: ihr -> euch."
"Gehört das Geld null? (them)","ihnen","gehören","Dativ of 'sie' (they)","Does the money belong to them?","gehören takes Dativ: sie (they) -> ihnen."
"Gehört dieser Koffer null? (you, formal)","Ihnen","gehören","Dativ of 'Sie' (formal)","Does this suitcase belong to you?","gehören takes Dativ: Sie -> Ihnen (capitalized)."
"Das Haus null mir sehr gut. (pleases)","gefällt","gefallen","3rd person singular of 'gefallen' (a -> ä)","I like the house very much.","gefallen: das Haus (es) -> gefällt."
"Die Zimmer null uns nicht. (please)","gefallen","gefallen","3rd person plural of 'gefallen'","We do not like the rooms.","gefallen: die Zimmer (sie, plural) -> gefallen."
"Das Handy null dir. (belongs)","gehört","gehören","3rd person singular of 'gehören'","The cell phone belongs to you.","gehören: das Handy (es) -> gehört."
"Die Möbel null mir. (belong)","gehören","gehören","3rd person plural of 'gehören'","The furniture belongs to me.","gehören: die Möbel (plural) -> gehören."
"Wem null dieses Buch? (belongs)","gehört","gehören","3rd person singular of 'gehören'","Who does this book belong to?","Question word for Dative object: Wem (who to)."
"null gehört das Haus? (To whom)","Wem","wem","Question word asking for Dativ person","Who does the house belong to?","Wem = to whom (Dativ)."
