text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Guten Tag, kann ich Ihnen helfen? - Nein danke, ich schaue nur ein bisschen.","Was möchte der Kunde tun?","Nur schauen","Etwas kaufen","Eine Hose anprobieren","Geld wechseln","Good day, can I help you? - No thanks, I'm just looking a little bit.","Listen to the polite refusal 'ich schaue nur'."
"Welches Kleid findest du besser? Das rote oder das blaue? - Ich finde das rote Kleid viel eleganter.","Welches Kleid findet die zweite Person besser?","Das rote Kleid","Das blaue Kleid","Beide Kleider","Keins","Which dress do you find better? The red one or the blue one? - I find the red dress much more elegant.","Listen to the color associated with 'eleganter'."
"Entschuldigung, wo sind die Umkleidekabinen? - Gehen Sie hier geradeaus und dann rechts.","Was sucht die Person?","Die Umkleidekabine","Die Kasse","Den Ausgang","Die Toilette","Excuse me, where are the fitting rooms? - Go straight ahead here and then right.","Listen to the noun 'Umkleidekabinen'."
"Passt Ihnen die Hose? - Nein, sie ist leider zu eng am Bauch. Haben Sie Größe 40?","Warum passt die Hose nicht?","Sie ist zu eng.","Sie ist zu weit.","Sie ist zu lang.","Sie ist zu kurz.","Do the pants fit you? - No, unfortunately they are too tight at the stomach. Do you have size 40?","Listen to the adjective 'zu eng'."
"Wie findest du diesen Pullover? - Der ist toll! Die Farbe grün steht dir wirklich super!","Wie findet die Person den Pullover?","Toll (steht super)","Hässlich","Zu groß","Langweilig","How do you like this sweater? - It's great! The color green really suits you perfectly!","Listen to the positive reaction 'toll'."
"Ich brauche ein neues Hemd für die Arbeit. Ein weißes oder ein hellblaues.","Was für ein Hemd sucht die Person?","Ein weißes oder hellblaues","Ein schwarzes","Ein buntes","Ein rotes","I need a new shirt for work. A white one or a light blue one.","Listen to the specific colors requested."
"Zieh dich warm an! Es schneit draußen. - Okay, ich nehme meinen dicken Mantel, Schal und Mütze.","Was zieht die zweite Person an?","Mantel, Schal und Mütze","Nur einen Pullover","Ein T-Shirt und eine Jacke","Einen Anzug","Dress warmly! It is snowing outside. - Okay, I'll take my thick coat, scarf, and beanie.","Listen to the three winter items."
"Ich suche ein T-Shirt. - Welches T-Shirt gefällt dir denn? - Dieses hier mit den bunten Blumen.","Welches T-Shirt möchte die Person?","Das mit den bunten Blumen","Das einfarbige","Das weiße","Das gestreifte","I am looking for a T-shirt. - Which T-shirt do you like then? - This one here with the colorful flowers.","Listen to the design detail 'bunte Blumen'."
"Haben Sie diese Stiefel auch eine Nummer größer? Größe 38 drückt ein bisschen. - Ich schaue mal im Lager nach.","Welche Schuhgröße braucht die Kundin wahrscheinlich?","Größe 39 (eine Nummer größer)","Größe 38","Größe 37","Größe 40","Do you have these boots one size larger too? Size 38 pinches a bit. - I will check in the stockroom.","If 38 is too small, she needs 39."
"Du siehst heute sehr sportlich aus! Die neuen Turnschuhe sind cool. - Danke, sie sind auch sehr bequem.","Wie sieht die Person heute aus?","Sportlich","Elegant","Schick","Müde","You look very sporty today! The new sneakers are cool. - Thanks, they are also very comfortable.","Listen to the adjective 'sportlich'."
"Welchen Anzug ziehst du zur Hochzeit an? - Den schwarzen Anzug mit dem weißen Hemd und der roten Krawatte.","Welche Farbe hat die Krawatte?","Rot","Schwarz","Weiß","Blau","Which suit are you wearing to the wedding? - The black suit with the white shirt and the red tie.","Match the color to the item 'Krawatte'."
"Die Jacke ist schön, aber 250 Euro ist mir wirklich zu teuer. - Ja, das ist viel Geld.","Warum kauft die Person die Jacke nicht?","Sie ist zu teuer.","Sie ist zu klein.","Die Farbe ist blöd.","Sie ist nicht warm.","The jacket is beautiful, but 250 euros is really too expensive for me. - Yes, that is a lot of money.","Listen to the reason 'zu teuer'."
"Was für Socken brauchst du? - Schwarze Baumwollsocken, ohne Muster.","Was für Socken sucht der Mann?","Schwarze ohne Muster","Bunte Socken","Weiße Sportsocken","Rote Socken","What kind of socks do you need? - Black cotton socks, without a pattern.","Listen to the details 'schwarze' and 'ohne Muster'."
"Gefällt dir der Rock? - Naja, er ist ein bisschen lang. Hast du auch kurze Röcke?","Wie findet sie den Rock?","Ein bisschen zu lang","Zu kurz","Sehr schön","Zu eng","Do you like the skirt? - Well, it is a bit long. Do you also have short skirts?","Listen to the criticism 'ein bisschen lang'."
