test_text,answer,test_verb,tip,meaning,grammar_tip
"Das ist der Tisch. null ist schön.","Er","sein","Pronoun for masculine noun (der Tisch)","This is the table. It is beautiful.","Pronouns: der Tisch (m) -> Er."
"Das ist der Schrank. null ist groß.","Er","sein","Pronoun for masculine noun (der Schrank)","This is the closet. It is big.","Pronouns: der Schrank (m) -> Er."
"Hier ist das Bett. null ist billig.","Es","sein","Pronoun for neuter noun (das Bett)","Here is the bed. It is cheap.","Pronouns: das Bett (n) -> Es."
"Das ist das Sofa. null ist bequem.","Es","sein","Pronoun for neuter noun (das Sofa)","That is the sofa. It is comfortable.","Pronouns: das Sofa (n) -> Es."
"Das ist die Lampe. null ist hell.","Sie","sein","Pronoun for feminine noun (die Lampe)","That is the lamp. It is bright.","Pronouns: die Lampe (f) -> Sie."
"Das ist die Farbe. null ist rot.","Sie","sein","Pronoun for feminine noun (die Farbe)","That is the color. It is red.","Pronouns: die Farbe (f) -> Sie."
"Das ist null Tisch. (a)","ein","ein","Indefinite article for masculine nominative","That is a table.","Indefinite Article (Nom): masculine -> ein."
"Das ist null Schrank. (a)","ein","ein","Indefinite article for masculine nominative","That is a closet.","Indefinite Article (Nom): masculine -> ein."
"Das ist null Bett. (a)","ein","ein","Indefinite article for neuter nominative","That is a bed.","Indefinite Article (Nom): neuter -> ein."
"Das ist null Bild. (a)","ein","ein","Indefinite article for neuter nominative","That is a picture.","Indefinite Article (Nom): neuter -> ein."
"Das ist null Lampe. (a)","eine","ein","Indefinite article for feminine nominative","That is a lamp.","Indefinite Article (Nom): feminine -> eine."
"Das ist null Farbe. (a)","eine","ein","Indefinite article for feminine nominative","That is a color.","Indefinite Article (Nom): feminine -> eine."
"Das ist null Stuhl. Das ist ein Tisch. (not a)","kein","kein","Negative article for masculine nominative","That is not a chair. That is a table.","Negative Article (Nom): masculine -> kein."
"Das ist null Sofa. Das ist ein Bett. (not a)","kein","kein","Negative article for neuter nominative","That is not a sofa. That is a bed.","Negative Article (Nom): neuter -> kein."
"Das ist null Lampe. Das ist ein Bild. (not a)","keine","kein","Negative article for feminine nominative","That is not a lamp. That is a picture.","Negative Article (Nom): feminine -> keine."
"Das sind null Stühle. (no)","keine","kein","Negative article for plural nominative","Those are no chairs.","Negative Article (Nom): plural -> keine."
"Was null der Schrank?","kostet","kosten","3rd person singular of 'kosten'","What does the closet cost?","kosten: er/sie/es -> kostet."
"Was null die Möbel?","kosten","kosten","3rd person plural of 'kosten' (Möbel is plural)","What does the furniture cost?","kosten: sie (plural) -> kosten."
"Das Bett null 100 Euro.","kostet","kosten","3rd person singular of 'kosten'","The bed costs 100 euros.","kosten: das Bett (es) -> kostet."
"Der Tisch und der Stuhl null 150 Euro.","kosten","kosten","3rd person plural of 'kosten'","The table and the chair cost 150 euros.","kosten: plural subjects -> kosten."
"Wie null du das Bild?","findest","finden","2nd person singular of 'finden'","How do you find the picture?","finden: du -> findest (add e before st)."
"Ich null den Teppich hässlich.","finde","finden","1st person singular of 'finden'","I find the carpet ugly.","finden: ich -> finde."
"Wir null ein Sofa.","brauchen","brauchen","1st person plural of 'brauchen'","We need a sofa.","brauchen: wir -> brauchen."
"null du ein Bett?","Brauchst","brauchen","2nd person singular of 'brauchen'","Do you need a bed?","brauchen: du -> brauchst."
"Was null ihr?","braucht","brauchen","2nd person plural of 'brauchen'","What do you all need?","brauchen: ihr -> braucht."
"Er null das Sofa sehr schön.","findet","finden","3rd person singular of 'finden'","He finds the sofa very beautiful.","finden: er -> findet (add e before t)."
"Ich null 20 Euro.","brauche","brauchen","1st person singular of 'brauchen'","I need 20 euros.","brauchen: ich -> brauche."
"Die Stühle null sehr bequem.","sind","sein","3rd person plural of 'sein'","The chairs are very comfortable.","sein: sie (plural) -> sind."
"Das Bild null wirklich hässlich!","ist","sein","3rd person singular of 'sein'","The picture is really ugly!","sein: das Bild (es) -> ist."
"Das null Möbel.","sind","sein","Plural verb for plural noun (Möbel)","Those are pieces of furniture.","sein: plural subject -> sind."
"Ich brauche null Tisch. (a)","einen","ein","Indefinite article for masculine accusative","I need a table.","Indefinite Article (Akk): masculine -> einen (with verbs like brauchen, finden)."
"Wir haben null Bett. (no)","kein","kein","Negative article for neuter accusative","We have no bed.","Negative Article (Akk): neuter -> kein."
"Ich finde null Stuhl bequem. (the)","den","der","Definite article for masculine accusative","I find the chair comfortable.","Definite Article (Akk): masculine -> den."
"Er braucht null Lampe. (a)","eine","ein","Indefinite article for feminine accusative","He needs a lamp.","Indefinite Article (Akk): feminine -> eine."
"Das Bett ist null teuer. (not)","nicht","nicht","Negation of an adjective","The bed is not expensive.","Negation: use 'nicht' before adjectives."
"Der Schrank ist null klein. (too)","zu","zu","Adverb for excessive degree","The closet is too small.","Adverb: 'zu' means 'too' (excessive)."
"Der Tisch ist null aus Holz, sondern aus Metall. (not)","nicht","nicht","Negation part of 'nicht ..., sondern...'","The table is not made of wood, but of metal.","Phrase: nicht ..., sondern ..."
"Das ist kein Sessel, null ein Stuhl.","sondern","sondern","Conjunction after negative","That is not an armchair, but a chair.","Conjunction: 'sondern' corrects a negative statement."
"Ist das null Tisch? (a)","ein","ein","Indefinite article for masculine nominative","Is that a table?","Indefinite Article (Nom): masculine -> ein."
"Nein, das ist null Tisch. (not a)","kein","kein","Negative article for masculine nominative","No, that is not a table.","Negative Article (Nom): masculine -> kein."
"Sind das Stühle? - Nein, das sind null Stühle. (no)","keine","kein","Negative article for plural nominative","Are those chairs? - No, those are no chairs.","Negative Article (Nom): plural -> keine."
"Das Sofa ist sehr schön. null ist aus Italien.","Es","sein","Pronoun for neuter noun","The sofa is very beautiful. It is from Italy.","Pronouns: das Sofa (n) -> Es."
"Die Lampe ist neu. null kostet 50 Euro.","Sie","kosten","Pronoun for feminine noun","The lamp is new. It costs 50 euros.","Pronouns: die Lampe (f) -> Sie."
"Der Teppich ist rot. null ist aus der Türkei.","Er","sein","Pronoun for masculine noun","The carpet is red. It is from Turkey.","Pronouns: der Teppich (m) -> Er."
"Wie viel null das Bett?","wiegt","wiegen","3rd person singular of 'wiegen'","How much does the bed weigh?","wiegen: das Bett (es) -> wiegt."
"Der Tisch null aus Glas.","ist","sein","3rd person singular of 'sein' for material","The table is made of glass.","Material: sein + aus + Material."
"100 und 100 ist null.","zweihundert","Zahlen","Math with numbers","100 and 100 is two hundred.","Numbers: 200 = zweihundert."
"Die Form null rund.","ist","sein","3rd person singular of 'sein'","The shape is round.","sein: die Form (sie) -> ist."
"Das ist null Sessel. Das ist ein Sofa. (not a)","kein","kein","Negative article for masculine nominative","That is not an armchair. That is a sofa.","Negative Article (Nom): masculine -> kein."
"Was null Sie? (say)","sagen","sagen","Formal 'you' of 'sagen'","What do you say?","sagen: Sie -> sagen."
