text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Und nun zum Wetter: Im Norden Deutschlands ist es heute stark bewölkt und es regnet.","Wie ist das Wetter im Norden?","Bewölkt und regnerisch","Sonnig und heiß","Es schneit.","Es ist neblig.","And now for the weather: In the north of Germany it is heavily overcast today and it is raining.","Listen to the adjectives 'bewölkt' and verb 'regnet'."
"Morgen wird es im Süden schön. Die Sonne scheint und die Temperaturen steigen auf 25 Grad.","Wie wird das Wetter im Süden?","Sonnig und warm (25 Grad)","Regnerisch und kalt","Windig und 10 Grad","Es gibt ein Gewitter.","Tomorrow it will be nice in the south. The sun will shine and temperatures will rise to 25 degrees.","Listen to the description of the 'Süden'."
"Ich fahre morgen an die Ostsee. - Oh, nimm dir warme Kleidung mit, es ist dort sehr windig.","Wie ist das Wetter an der Ostsee?","Sehr windig","Sehr heiß und sonnig","Es regnet stark.","Dort ist dicker Nebel.","I am traveling to the Baltic Sea tomorrow. - Oh, take warm clothes with you, it is very windy there.","Listen to the adjective 'windig'."
"Warum kommst du nicht zur Grillparty? - Ich bleibe zu Hause, denn das Wetter ist mir zu schlecht.","Warum kommt die Person nicht zur Grillparty?","Das Wetter ist zu schlecht.","Sie muss arbeiten.","Sie hat keine Lust auf Grillen.","Sie ist krank.","Why aren't you coming to the barbecue party? - I am staying home because the weather is too bad for me.","Listen to the reason introduced by 'denn'."
"Gehen wir in den Park? - Nein, schau mal aus dem Fenster. Es regnet schon wieder!","Können die beiden in den Park gehen?","Nein, es regnet.","Ja, die Sonne scheint.","Ja, aber nur kurz.","Nein, der Park ist zu.","Are we going to the park? - No, look out the window. It is raining again!","Listen to the weather condition 'regnet'."
"Hast du den Wetterbericht gehört? - Ja, für morgen sagen sie Schnee an! Endlich!","Was sagt der Wetterbericht für morgen?","Es wird schneien.","Es wird ein Gewitter geben.","Es wird 30 Grad.","Es wird regnen.","Did you hear the weather forecast? - Yes, they are predicting snow for tomorrow! Finally!","Listen to the noun 'Schnee'."
"Die Temperaturen in München liegen heute bei minus 5 Grad. Es ist bitterkalt!","Wie viel Grad sind es in München?","Minus 5 Grad","Plus 5 Grad","25 Grad","15 Grad","The temperatures in Munich are at minus 5 degrees today. It is bitterly cold!","Listen to the exact number 'minus 5'."
"Ich packe meinen Koffer für den Urlaub. - Wohin fährst du? - Nach Italien. In den Süden.","In welche Himmelsrichtung fährt die Person in den Urlaub?","In den Süden","In den Norden","In den Osten","In den Westen","I am packing my suitcase for vacation. - Where are you going? - To Italy. To the south.","Listen for the compass direction 'Süden'."
"Was machst du im Winterurlaub? Fährst du ans Meer? - Nein, ich fahre in die Berge zum Skifahren.","Wohin fährt die Person im Winter?","In die Berge","Ans Meer","In die Wüste","Sie bleibt zu Hause.","What do you do on winter vacation? Do you go to the sea? - No, I travel to the mountains to ski.","Listen to the destination 'in die Berge'."
"Ich liebe den Herbst! Die Blätter sind so bunt. - Ja, aber es ist oft so neblig am Morgen.","Wie ist das Wetter oft im Herbstmorgen?","Neblig","Heiß und sonnig","Es schneit viel.","Gewitter","I love autumn! The leaves are so colorful. - Yes, but it is often so foggy in the morning.","Listen to the weather adjective 'neblig'."
"Warum ziehst du einen dicken Pullover an? - Ich ziehe ihn an, denn mir ist eiskalt!","Warum zieht die Person den Pullover an?","Ihr ist eiskalt.","Es regnet.","Sie findet ihn schick.","Die Sonne scheint.","Why are you putting on a thick sweater? - I am putting it on because I am freezing cold!","Listen to the reason with 'denn'."
"Der Wind ist heute extrem stark. Geh lieber nicht in den Wald!","Warum soll die Person nicht in den Wald gehen?","Der Wind ist zu stark (Gefahr).","Es ist zu dunkel.","Es gibt keinen Weg.","Dort ist ein Bär.","The wind is extremely strong today. Better not go into the forest!","Listen to the warning 'Wind ist extrem stark'."
"Wollen wir an den Strand gehen? - Nein, ich gehe lieber ins Museum, denn der Himmel ist stark bewölkt.","Warum will die zweite Person ins Museum gehen?","Der Himmel ist stark bewölkt.","Sie hat Sonnenbrand.","Der Strand ist zu voll.","Sie mag keinen Sand.","Do we want to go to the beach? - No, I prefer going to the museum because the sky is heavily overcast.","Listen to the reason 'Himmel ist stark bewölkt'."
"Ich fahre nach Berlin. - In den Osten? - Ja, genau!","In welche Himmelsrichtung liegt Berlin in diesem Dialog?","Im Osten","Im Westen","Im Süden","Im Norden","I am traveling to Berlin. - To the east? - Yes, exactly!","Listen to the compass direction 'Osten'."
"Gestern waren es 30 Grad. Und heute? - Heute sind es nur noch 15 Grad. Es ist viel kühler geworden.","Wie ist die Temperatur heute im Vergleich zu gestern?","Viel kühler (nur noch 15 Grad)","Viel heißer (35 Grad)","Gleich (30 Grad)","Es schneit.","Yesterday it was 30 degrees. And today? - Today it is only 15 degrees. It has gotten much cooler.","Compare 'gestern 30' to 'heute 15'."
"Achtung Autofahrer: Auf der A8 gibt es starken Nebel. Bitte fahren Sie langsam und vorsichtig!","Was ist das Problem auf der Autobahn?","Starker Nebel","Schnee und Eis","Ein Unfall","Viel Regen","Attention drivers: On the A8 there is heavy fog. Please drive slowly and carefully!","Listen to the weather condition 'starker Nebel'."
"Wir bleiben heute im Hotel, denn es gibt ein schweres Gewitter.","Warum verlassen sie das Hotel nicht?","Es gibt ein schweres Gewitter.","Sie sind müde.","Sie haben kein Auto.","Das Museum ist geschlossen.","We are staying in the hotel today because there is a severe thunderstorm.","Listen to the reason with 'denn' (Gewitter)."
"Was für ein Mistwetter! Es regnet schon seit drei Tagen ohne Pause.","Wie ist das Wetter in letzter Zeit?","Es regnet seit 3 Tagen (Mistwetter).","Die Sonne scheint die ganze Zeit.","Es schneit ein bisschen.","Es ist sehr windig.","What crappy weather! It has been raining for three days straight without a break.","Listen to the complaint 'Regnet seit 3 Tagen'."
"Ich freue mich auf den Urlaub. Wir fliegen auf eine Insel. Da scheint immer die Sonne.","Wohin fliegen sie in den Urlaub?","Auf eine Insel (mit viel Sonne)","In die Berge","An einen See","In eine Großstadt","I am looking forward to the vacation. We are flying to an island. The sun always shines there.","Listen to the destination 'Insel'."
"Ist das dein Regenschirm? - Nein, ich habe meinen vergessen. Ich werde ganz nass!","Was hat die Person vergessen?","Ihren Regenschirm","Ihre Jacke","Ihre Sonnenbrille","Ihre Tasche","Is that your umbrella? - No, I forgot mine. I am getting completely wet!","Listen to the missing item 'Regenschirm'."
"Wollen wir heute ein Picknick machen? - Laut Wetterbericht regnet es am Nachmittag. Lass uns lieber morgen gehen.","Was sagt der Wetterbericht für den Nachmittag?","Es regnet.","Es wird sonnig.","Es gibt ein Gewitter.","Es schneit.","Shall we have a picnic today? - According to the weather forecast it will rain in the afternoon. Let's rather go tomorrow.","Listen to the forecast 'regnet es am Nachmittag'."
"Im Westen von Deutschland wird es heute stürmisch und nass. Bitte bleiben Sie wenn möglich zu Hause.","Wo wird es heute stürmisch?","Im Westen","Im Süden","Im Osten","Im Norden","In the west of Germany it will be stormy and wet today. Please stay home if possible.","Listen to the compass direction 'Westen'."
