test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null gern Käse. (like)","mag","mögen","1st person singular of 'mögen'","I like cheese.","mögen: ich -> mag (irregular!)."
"null du Fisch? (like)","Magst","mögen","2nd person singular of 'mögen'","Do you like fish?","mögen: du -> magst."
"Er null keine Tomaten. (likes)","mag","mögen","3rd person singular of 'mögen'","He doesn't like tomatoes.","mögen: er/sie/es -> mag (irregular!)."
"Wir null Schokolade. (like)","mögen","mögen","1st person plural of 'mögen'","We like chocolate.","mögen: wir -> mögen."
"null ihr Kaffee oder Tee? (like)","Mögt","mögen","2nd person plural of 'mögen'","Do you all like coffee or tea?","mögen: ihr -> mögt."
"Sie null Kuchen. (like, plural)","mögen","mögen","3rd person plural of 'mögen'","They like cake.","mögen: sie (they) -> mögen."
"Was null Sie trinken? (would like)","möchten","möchten","Formal 'you' of 'möchten'","What would you like to drink?","möchten: Sie -> möchten."
"Ich null ein Stück Kuchen. (would like)","möchte","möchten","1st person singular of 'möchten'","I would like a piece of cake.","möchten: ich -> möchte."
"Was null du essen? (would like)","möchtest","möchten","2nd person singular of 'möchten'","What would you like to eat?","möchten: du -> möchtest."
"Anna null eine Pizza. (would like)","möchte","möchten","3rd person singular of 'möchten'","Anna would like a pizza.","möchten: er/sie/es -> möchte."
"Wir null zahlen, bitte. (would like)","möchten","möchten","1st person plural of 'möchten'","We would like to pay, please.","möchten: wir -> möchten."
"null ihr Eis essen? (would like)","Möchtet","möchten","2nd person plural of 'möchten'","Would you all like to eat ice cream?","möchten: ihr -> möchtet."
"Ich null einen Apfel. (eat)","esse","essen","1st person singular of 'essen'","I am eating an apple.","essen: ich -> esse (no vowel change)."
"Was null du gern? (eat)","isst","essen","2nd person singular of 'essen' (e -> i)","What do you like to eat?","essen: du -> isst (vowel change)."
"Paco null viel Fleisch. (eats)","isst","essen","3rd person singular of 'essen' (e -> i)","Paco eats a lot of meat.","essen: er -> isst (vowel change)."
"Wir null um 13 Uhr. (eat)","essen","essen","1st person plural of 'essen'","We eat at 1 PM.","essen: wir -> essen."
"null ihr gern Nudeln? (eat)","Esst","essen","2nd person plural of 'essen'","Do you all like eating pasta?","essen: ihr -> esst."
"Ich trinke null Apfelsaft. (a)","einen","ein","Akkusativ masculine indefinite article","I drink an apple juice.","Akkusativ: der Apfelsaft -> einen Apfelsaft."
"Wir kochen null Suppe. (a)","eine","ein","Akkusativ feminine indefinite article","We are cooking a soup.","Akkusativ: die Suppe -> eine Suppe."
"Ich möchte null Ei. (an)","ein","ein","Akkusativ neuter indefinite article","I would like an egg.","Akkusativ: das Ei -> ein Ei."
"Ich esse null Käse. (no)","keinen","kein","Akkusativ masculine negative article","I eat no cheese.","Akkusativ: der Käse -> keinen Käse."
"Er mag null Wurst. (no)","keine","kein","Akkusativ feminine negative article","He likes no sausage.","Akkusativ: die Wurst -> keine Wurst."
"Wir haben null Brot. (no)","kein","kein","Akkusativ neuter negative article","We have no bread.","Akkusativ: das Brot -> kein Brot."
"Wir essen null Tomaten. (no plural)","keine","kein","Akkusativ plural negative article","We eat no tomatoes.","Akkusativ plural: die Tomaten -> keine Tomaten."
"Möchtest du null Kaffee? (a)","einen","ein","Akkusativ masculine indefinite article","Would you like a coffee?","Akkusativ: der Kaffee -> einen Kaffee."
"Ich esse null Banane. (a)","eine","ein","Akkusativ feminine indefinite article","I am eating a banana.","Akkusativ: die Banane -> eine Banane."
