sentence,words,tip,translation_en
"Hier darf man nicht parken.","Hier|darf|man|nicht|parken|.","Stating a prohibition using 'man'.","One may not park here. / Parking is not allowed here."
"Darf man hier grillen?","Darf|man|hier|grillen|?","Asking for permission using 'man'.","Are you allowed to grill here?"
"Ja, im Park darf man grillen.","Ja|,|im|Park|darf|man|grillen|.","Confirming permission.","Yes, grilling is allowed in the park."
"Nein, grillen ist hier streng verboten.","Nein|,|grillen|ist|hier|streng|verboten|.","Stating a strict prohibition.","No, grilling is strictly forbidden here."
"Was muss man hier machen?","Was|muss|man|hier|machen|?","Asking about rules/obligations.","What does one have to do here?"
"Man muss den Helm tragen.","Man|muss|den|Helm|tragen|.","Stating an obligation.","One must wear the helmet."
"Hunde müssen an die Leine.","Hunde|müssen|an|die|Leine|.","Stating a rule for dog owners.","Dogs must be on a leash."
"Darf ich meinen Hund mitnehmen?","Darf|ich|meinen|Hund|mitnehmen|?","Asking for personal permission.","May I take my dog along?"
"Ja, aber Hunde müssen an der Leine sein.","Ja|,|aber|Hunde|müssen|an|der|Leine|sein|.","Giving conditional permission.","Yes, but dogs must be on the leash."
"Das Schild sagt: Schwimmen verboten.","Das|Schild|sagt|:|Schwimmen|verboten|.","Reading a sign.","The sign says: Swimming forbidden."
"Achtung, Gefahr! Das ist gefährlich.","Achtung|,|Gefahr|!|Das|ist|gefährlich|.","Warning someone.","Attention, danger! That is dangerous."
"Fahrradfahren ist auf dem Bürgersteig verboten.","Fahrradfahren|ist|auf|dem|Bürgersteig|verboten|.","Stating a traffic rule.","Bicycle riding is forbidden on the sidewalk."
"Man muss das Fahrrad schieben.","Man|muss|das|Fahrrad|schieben|.","Stating an obligation for cyclists.","One must push the bicycle."
"Bitte fahren Sie langsam.","Bitte|fahren|Sie|langsam|.","Polite imperative for drivers.","Please drive slowly."
"Hier dürfen Autos nicht fahren.","Hier|dürfen|Autos|nicht|fahren|.","Stating a traffic restriction.","Cars are not allowed to drive here."
"Das Ordnungsamt kontrolliert den Park.","Das|Ordnungsamt|kontrolliert|den|Park|.","Stating who enforces rules.","The public order office checks the park."
"Werfen Sie keinen Müll auf die Wiese!","Werfen|Sie|keinen|Müll|auf|die|Wiese|!","Formal imperative protecting the environment.","Do not throw trash on the meadow!"
"Nehmen Sie Ihren Abfall wieder mit!","Nehmen|Sie|Ihren|Abfall|wieder|mit|!","Formal imperative (separable verb).","Take your trash back with you!"
"Bitte seien Sie leise, das ist ein Krankenhaus.","Bitte|seien|Sie|leise|,|das|ist|ein|Krankenhaus|.","Giving a reason for a rule.","Please be quiet, this is a hospital."
"Hier darf man nicht laut Musik hören.","Hier|darf|man|nicht|laut|Musik|hören|.","Stating a noise restriction.","One may not listen to loud music here."
"Hupen Sie nicht!","Hupen|Sie|nicht|!","Formal imperative.","Do not honk!"
"Sie müssen an der roten Ampel bremsen!","Sie|müssen|an|der|roten|Ampel|bremsen|!","Stating a traffic rule forcefully.","You must brake at the red traffic light!"
"Pass auf! Ein Fußgänger!","Pass|auf|!|Ein|Fußgänger|!","Informal warning.","Watch out! A pedestrian!"
"Das kostet 50 Euro Strafe.","Das|kostet|50|Euro|Strafe|.","Stating a fine.","That costs a 50 euro fine."
"Sie haben falsch geparkt.","Sie|haben|falsch|geparkt|.","Informing someone of a violation.","You parked incorrectly."
"Ich finde das richtig.","Ich|finde|das|richtig|.","Expressing agreement with a rule.","I think that is right."
