text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Guten Tag, Herr Doktor. - Was fehlt Ihnen, Frau Meier? - Ich habe starke Kopfschmerzen.","Welche Schmerzen hat Frau Meier?","Kopfschmerzen","Bauchschmerzen","Halsschmerzen","Zahnschmerzen","Good day, Doctor. - What is wrong with you, Mrs. Meier? - I have a severe headache.","Listen to the type of pain 'Kopfschmerzen'."
"Mir ist so schlecht. - Oh je, hast du Bauchschmerzen? - Nein, mein Magen ist okay, aber mir ist schwindelig.","Hat die Person Bauchschmerzen?","Nein, ihr ist schwindelig.","Ja, sehr starke.","Ja, sie hat zu viel gegessen.","Sie hat Kopfschmerzen.","I feel so nauseous. - Oh dear, do you have a stomachache? - No, my stomach is okay, but I am dizzy.","Listen to the negation 'Nein'."
"Sagen Sie 'Aaaah'. - Aaaah. - Ihr Hals ist sehr rot. Sie haben eine Entzündung.","Welches Körperteil untersucht der Arzt?","Den Hals","Das Ohr","Die Nase","Das Auge","Say 'Aaaah'. - Aaaah. - Your throat is very red. You have an inflammation.","Listen to the noun 'Hals'."
"Du hast ja 39 Grad Fieber! Bleib sofort im Bett!","Was befiehlt die Person?","Bleib im Bett!","Geh zum Arzt!","Trink einen Tee!","Nimm eine Tablette!","You have a 39-degree fever! Stay in bed immediately!","Listen to the imperative 'Bleib im Bett!'."
"Der Arzt hat gesagt, ich soll diese Tabletten dreimal täglich nehmen.","Wie oft soll die Person die Tabletten nehmen?","Dreimal täglich","Zweimal täglich","Einmal morgens","Nur abends","The doctor said I should take these pills three times a day.","Listen to the frequency 'dreimal täglich'."
"Gute Besserung, Peter! - Danke. Der Husten ist schon nicht mehr so schlimm.","Was ist nicht mehr so schlimm?","Der Husten","Der Schnupfen","Das Fieber","Die Halsschmerzen","Get well soon, Peter! - Thanks. The cough is already not so bad anymore.","Listen to the symptom 'Husten'."
"Hier ist das Rezept. Sie bekommen das Medikament in der Apotheke. - Vielen Dank.","Wo bekommt die Person das Medikament?","In der Apotheke","Beim Arzt","Im Supermarkt","Im Krankenhaus","Here is the prescription. You can get the medicine at the pharmacy. - Thank you very much.","Listen to the location 'Apotheke'."
"Aua, mein Fuß! - Was ist passiert? - Ich bin beim Fußballspielen hingefallen.","Was tut der Person weh?","Der Fuß","Das Bein","Der Arm","Der Kopf","Ouch, my foot! - What happened? - I fell down while playing soccer.","Listen to the exclamation 'Aua, mein Fuß!'."
"Darf ich morgen wieder Sport machen, Herr Doktor? - Nein, Sie dürfen eine Woche keinen Sport machen!","Darf die Person morgen Sport machen?","Nein, eine Woche nicht.","Ja, ein bisschen.","Ja, aber nur joggen.","Er darf nur Fußball spielen.","May I do sports again tomorrow, Doctor? - No, you may not do sports for a week!","Listen to the doctor's restriction 'keinen Sport machen'."
"Mir ist so heiß. Hast du Fieber gemessen? - Ja, 38,5 Grad.","Was hat die Person gemacht?","Sie hat Fieber gemessen (38,5 Grad).","Sie hat Tee gekocht.","Sie war beim Arzt.","Sie hat eine Tablette genommen.","I am so hot. Did you take your temperature? - Yes, 38.5 degrees.","'Fieber gemessen' means taking temperature."
