test_text,answer,test_verb,tip,meaning,grammar_tip
"Was null ich machen?","soll","sollen","1st person singular of 'sollen'","What should I do?","sollen: ich -> soll."
"null ich dir helfen?","Soll","sollen","1st person singular of 'sollen'","Should I help you?","sollen: ich -> soll (often used for offers)."
"Du null sofort zum Arzt gehen!","sollst","sollen","2nd person singular of 'sollen'","You should go to the doctor immediately!","sollen: du -> sollst."
"Der Techniker null den Fernseher reparieren.","soll","sollen","3rd person singular of 'sollen'","The technician is supposed to repair the TV.","sollen: er/sie/es -> soll."
"Wir null den Termin verschieben.","sollen","sollen","1st person plural of 'sollen'","We are supposed to postpone the appointment.","sollen: wir -> sollen."
"null ihr heute arbeiten?","Sollt","sollen","2nd person plural of 'sollen'","Are you all supposed to work today?","sollen: ihr -> sollt."
"Sie (plural) null pünktlich sein.","sollen","sollen","3rd person plural of 'sollen'","They are supposed to be on time.","sollen: sie -> sollen."
"null ich Ihnen ein Handtuch bringen?","Soll","sollen","1st person singular of 'sollen'","Should I bring you a towel?","Offering help: Soll ich...?"
"Der Chef sagt, ich null dich anrufen.","soll","sollen","1st person singular of 'sollen'","The boss says I should call you.","Reporting commands: ich soll (I am supposed to)."
"Die Heizung ist kaputt. Was null wir tun?","sollen","sollen","1st person plural of 'sollen'","The heating is broken. What should we do?","sollen: wir -> sollen."
"Ich wohne null einem Jahr in Berlin.","seit","seit","Preposition for ongoing action from the past","I have been living in Berlin for one year.","seit + Dativ (einem Jahr)."
"Er arbeitet null einem Monat hier.","seit","seit","Preposition for ongoing action from the past","He has been working here for a month.","seit + Dativ (einem Monat)."
"Wir lernen null einer Woche Deutsch.","seit","seit","Preposition for ongoing action from the past","We have been learning German for one week.","seit + Dativ (einer Woche - feminine)."
"Ich habe null Montag Urlaub. (starting future)","ab","ab","Preposition for future starting point","I am on vacation starting Monday.","ab + Dativ (future/fixed start)."
"Die Praxis ist null 8 Uhr geöffnet. (starting)","ab","ab","Preposition for starting point","The practice is open from 8 o'clock.","ab + time."
"null morgen lerne ich mehr. (starting)","Ab","ab","Preposition for future starting point","Starting tomorrow I will study more.","ab + time word."
"Der Kurs geht null Montag bis Freitag.","von","von","Preposition pair 'von ... bis'","The course goes from Monday to Friday.","von ... bis (from ... to)."
"Ich habe von 14 null 16 Uhr eine Besprechung.","bis","bis","Preposition pair 'von ... bis'","I have a meeting from 2 to 4 PM.","von ... bis (from ... to)."
"null wann arbeitest du hier? (Since)","Seit","seit","Question phrase for 'since when'","Since when have you been working here?","Seit wann...? (for ongoing states)."
"null wann ist das Restaurant geöffnet? (From)","Ab","ab","Question phrase for 'from when'","From when is the restaurant open?","Ab wann...? (for starting points)."
"Ich brauche null Termin. (a)","einen","ein","Akkusativ masculine indefinite article","I need an appointment.","brauchen takes Akkusativ: der Termin -> einen Termin."
"Wir müssen den Termin null. (verschieben)","verschieben","verschieben","Infinitive verb at the end of the sentence","We must postpone the appointment.","Modal verbs put the infinitive at the end."
"Können wir den Termin null? (absagen)","absagen","absagen","Infinitive verb at the end of the sentence","Can we cancel the appointment?","Modal verbs put the infinitive at the end."
"Ich möchte einen Termin null. (vereinbaren)","vereinbaren","vereinbaren","Infinitive verb at the end of the sentence","I would like to make an appointment.","Modal verbs put the infinitive at the end."
"Passt es null am Dienstag? (you, formal)","Ihnen","Sie","Dative pronoun for 'passen'","Does Tuesday suit you?","passen takes Dativ: Sie -> Ihnen."
"Ja, das passt null sehr gut. (me)","mir","ich","Dative pronoun for 'passen'","Yes, that suits me very well.","passen takes Dativ: ich -> mir."
