sentence,words,tip,translation_en
"Heute ist der erste Mai.","Heute|ist|der|erste|Mai|.","Stating the date in Nominative.","Today is the first of May."
"Morgen ist der zweite August.","Morgen|ist|der|zweite|August|.","Stating tomorrow's date.","Tomorrow is the second of August."
"Welches Datum haben wir heute?","Welches|Datum|haben|wir|heute|?","Asking for the date.","What date is it today?"
"Wann hast du Geburtstag?","Wann|hast|du|Geburtstag|?","Asking someone's birthday.","When is your birthday?"
"Ich habe am dritten Oktober Geburtstag.","Ich|habe|am|dritten|Oktober|Geburtstag|.","Stating a birthday using 'am' (Dative).","My birthday is on the third of October."
"Wann findet die Party statt?","Wann|findet|die|Party|statt|?","Asking when an event occurs (separable verb).","When does the party take place?"
"Die Feier findet am zwanzigsten Juli statt.","Die|Feier|findet|am|zwanzigsten|Juli|statt|.","Answering when an event occurs.","The celebration takes place on the twentieth of July."
"Ich lade dich herzlich zu meiner Geburtstagsparty ein.","Ich|lade|dich|herzlich|zu|meiner|Geburtstagsparty|ein|.","Formal/warm invitation sentence.","I cordially invite you to my birthday party."
"Wir laden euch zu unserer Hochzeit ein.","Wir|laden|euch|zu|unserer|Hochzeit|ein|.","Inviting multiple people (informal).","We invite you all to our wedding."
"Kommst du zu meiner Party?","Kommst|du|zu|meiner|Party|?","Asking if someone is coming.","Are you coming to my party?"
"Ja, ich komme sehr gern.","Ja|,|ich|komme|sehr|gern|.","Accepting an invitation enthusiastically.","Yes, I will very gladly come."
"Danke für die Einladung!","Danke|für|die|Einladung|!","Thanking for an invite.","Thanks for the invitation!"
"Ich freue mich schon sehr.","Ich|freue|mich|schon|sehr|.","Expressing anticipation.","I am already looking forward to it."
"Es tut mir leid, aber ich kann leider nicht kommen.","Es|tut|mir|leid|,|aber|ich|kann|leider|nicht|kommen|.","Politely declining an invitation.","I am sorry, but unfortunately I cannot come."
"Ich muss den Termin leider absagen.","Ich|muss|den|Termin|leider|absagen|.","Canceling formally.","I unfortunately have to cancel the appointment."
"Schade, dass du nicht kommst!","Schade|,|dass|du|nicht|kommst|!","Expressing regret.","It's a pity that you are not coming!"
"Bitte sag mir bis Freitag zu oder ab.","Bitte|sag|mir|bis|Freitag|zu|oder|ab|.","Asking for an RSVP.","Please let me know yes or no by Friday."
"Ich sage dir morgen Bescheid.","Ich|sage|dir|morgen|Bescheid|.","Promising to inform later.","I will let you know tomorrow."
"Soll ich etwas mitbringen?","Soll|ich|etwas|mitbringen|?","Asking if you should bring something.","Should I bring anything?"
"Bring bitte gute Laune mit!","Bring|bitte|gute|Laune|mit|!","Friendly imperative response.","Please bring a good mood!"
"Könnt ihr einen Salat mitbringen?","Könnt|ihr|einen|Salat|mitbringen|?","Asking guests to bring food.","Can you guys bring a salad?"
"Ja, wir bringen Getränke und Salat mit.","Ja|,|wir|bringen|Getränke|und|Salat|mit|.","Confirming what to bring.","Yes, we will bring drinks and salad."
"Herzlichen Glückwunsch zum Geburtstag!","Herzlichen|Glückwunsch|zum|Geburtstag|!","Standard birthday greeting.","Happy Birthday! (Heartfelt congratulations on your birthday!)"
"Alles Gute für dich!","Alles|Gute|für|dich|!","Well wishes.","All the best for you!"
"Wir wünschen euch ein frohes Fest!","Wir|wünschen|euch|ein|frohes|Fest|!","Holiday wishes.","We wish you all a happy holiday!"
"Frohe Weihnachten und ein gutes neues Jahr!","Frohe|Weihnachten|und|ein|gutes|neues|Jahr|!","Christmas and New Year greeting.","Merry Christmas and a Happy New Year!"
"Viel Glück im neuen Jahr!","Viel|Glück|im|neuen|Jahr|!","New Year wishes.","Good luck in the new year!"
"Wir haben ein Geschenk für dich.","Wir|haben|ein|Geschenk|für|dich|.","Presenting a gift.","We have a gift for you."
"Oh, das ist eine tolle Überraschung!","Oh|,|das|ist|eine|tolle|Überraschung|!","Reacting to a gift/surprise.","Oh, that is a great surprise!"
"Ich danke dir für das schöne Geschenk.","Ich|danke|dir|für|das|schöne|Geschenk|.","Thanking for a gift.","I thank you for the beautiful gift."
"Ich gratuliere Ihnen zum Jubiläum.","Ich|gratuliere|Ihnen|zum|Jubiläum|.","Formal congratulations.","I congratulate you on the anniversary."
"Was schenken wir Anna zur Hochzeit?","Was|schenken|wir|Anna|zur|Hochzeit|?","Discussing gift ideas.","What are we giving Anna for her wedding?"
"Wir schenken ihr einen Gutschein für ein Restaurant.","Wir|schenken|ihr|einen|Gutschein|für|ein|Restaurant|.","Stating a gift idea (Dativ 'ihr').","We are giving her a voucher for a restaurant."
"Der Gastgeber begrüßt die Gäste.","Der|Gastgeber|begrüßt|die|Gäste|.","Describing party actions.","The host greets the guests."
"Die Party fängt um 20 Uhr an.","Die|Party|fängt|um|20|Uhr|an|.","Stating the start time.","The party starts at 8 PM."
"Wir feiern im Garten, wenn das Wetter schön ist.","Wir|feiern|im|Garten|,|wenn|das|Wetter|schön|ist|.","Stating conditional plans.","We will celebrate in the garden if the weather is nice."
"Wir haben viele Freunde eingeladen.","Wir|haben|viele|Freunde|eingeladen|.","Stating past actions (Perfekt).","We invited many friends."
"Er hat leider abgesagt.","Er|hat|leider|abgesagt|.","Stating a past decline.","He unfortunately declined."
"Alle haben zugesagt!","Alle|haben|zugesagt|!","Stating past acceptances.","Everyone accepted!"
"Wer organisiert das Essen?","Wer|organisiert|das|Essen|?","Asking about party organization.","Who is organizing the food?"
"Ich kümmere mich um die Musik.","Ich|kümmere|mich|um|die|Musik|.","Taking responsibility for a task.","I will take care of the music."
"Gibt es auch Torte?","Gibt|es|auch|Torte|?","Asking about food.","Is there cake too?"
"Ja, mit vielen Kerzen.","Ja|,|mit|vielen|Kerzen|.","Answering about the cake.","Yes, with many candles."
"Was macht ihr an Silvester?","Was|macht|ihr|an|Silvester|?","Asking about holiday plans.","What are you doing on New Year's Eve?"
"Wir feiern mit der Familie.","Wir|feiern|mit|der|Familie|.","Stating holiday plans.","We are celebrating with the family."
"An Ostern suchen die Kinder Eier.","An|Ostern|suchen|die|Kinder|Eier|.","Describing a tradition.","At Easter the children hunt for eggs."
"Karneval ist im Februar oder März.","Karneval|ist|im|Februar|oder|März|.","Stating when a festival occurs.","Carnival is in February or March."
"Viele Grüße aus Berlin!","Viele|Grüße|aus|Berlin|!","Closing a postcard/letter.","Many greetings from Berlin!"
"Liebe Maria, wie geht es dir?","Liebe|Maria|,|wie|geht|es|dir|?","Opening a letter to a female.","Dear Maria, how are you?"
"Lieber Tom, ich lade dich ein...","Lieber|Tom|,|ich|lade|dich|ein|...","Opening a letter to a male.","Dear Tom, I invite you..."
"Wir hoffen, du kommst.","Wir|hoffen|,|du|kommst|.","Expressing hope in an invite.","We hope you will come."
"Sag mir bitte bald Bescheid.","Sag|mir|bitte|bald|Bescheid|.","Asking for a prompt answer.","Please let me know soon."
"Ich freue mich auf deine Antwort.","Ich|freue|mich|auf|deine|Antwort|.","Standard letter closing phrase.","I look forward to your reply."
"Das Fest war ein voller Erfolg.","Das|Fest|war|ein|voller|Erfolg|.","Evaluating a past party.","The party was a complete success."
"Wir haben bis morgen früh getanzt.","Wir|haben|bis|morgen|früh|getanzt|.","Describing party actions in the past.","We danced until tomorrow morning."
"Möchtest du ein Glas Wein?","Möchtest|du|ein|Glas|Wein|?","Offering a drink to a guest.","Would you like a glass of wine?"
"Nein danke, ich muss noch Auto fahren.","Nein|danke|,|ich|muss|noch|Auto|fahren|.","Declining a drink.","No thanks, I still have to drive."
"Kannst du das Datum im Kalender notieren?","Kannst|du|das|Datum|im|Kalender|notieren|?","Asking to save the date.","Can you note the date in the calendar?"
"Der vierzehnte Februar ist Valentinstag.","Der|vierzehnte|Februar|ist|Valentinstag|.","Stating a specific date's significance.","The fourteenth of February is Valentine's Day."
"Wir haben ein Jubiläum zu feiern.","Wir|haben|ein|Jubiläum|zu|feiern|.","Stating a reason to party.","We have an anniversary to celebrate."
