sentence,words,tip,translation_en
"Guten Tag, hier ist Meier.","Guten|Tag|,|hier|ist|Meier|.","Standard phone greeting.","Good day, this is Meier."
"Wer ist am Apparat?","Wer|ist|am|Apparat|?","Asking who is on the line.","Who is on the line?"
"Kann ich bitte Frau Schmidt sprechen?","Kann|ich|bitte|Frau|Schmidt|sprechen|?","Asking to speak to someone.","Can I please speak to Mrs. Schmidt?"
"Einen Moment, bitte.","Einen|Moment|,|bitte|.","Asking someone to hold.","One moment, please."
"Ich verbinde Sie.","Ich|verbinde|Sie|.","Stating you are transferring the call.","I will connect you."
"Frau Schmidt ist leider nicht da.","Frau|Schmidt|ist|leider|nicht|da|.","Stating someone is unavailable.","Mrs. Schmidt is unfortunately not here."
"Sie telefoniert gerade.","Sie|telefoniert|gerade|.","Explaining someone is busy on another call.","She is on the phone right now."
"Möchten Sie eine Nachricht hinterlassen?","Möchten|Sie|eine|Nachricht|hinterlassen|?","Offering to take a message.","Would you like to leave a message?"
"Bitte rufen Sie später noch einmal an.","Bitte|rufen|Sie|später|noch|einmal|an|.","Asking someone to call back.","Please call again later."
"Ich rufe später noch einmal an.","Ich|rufe|später|noch|einmal|an|.","Stating you will call back.","I will call again later."
"Bitte rufen Sie mich zurück.","Bitte|rufen|Sie|mich|zurück|.","Asking for a callback.","Please call me back."
"Meine Nummer ist 030 12345.","Meine|Nummer|ist|030|12345|.","Giving a phone number.","My number is 030 12345."
"Wie ist Ihre Telefonnummer?","Wie|ist|Ihre|Telefonnummer|?","Asking for a phone number.","What is your phone number?"
"Wie ist die Vorwahl von Berlin?","Wie|ist|die|Vorwahl|von|Berlin|?","Asking for an area code.","What is the area code for Berlin?"
"Vielen Dank, auf Wiederhören!","Vielen|Dank|,|auf|Wiederhören|!","Saying goodbye on the phone.","Thank you, goodbye!"
"Entschuldigung, die Verbindung ist schlecht.","Entschuldigung|,|die|Verbindung|ist|schlecht|.","Reporting a bad connection.","Excuse me, the connection is bad."
"Wie ist Ihre E-Mail-Adresse?","Wie|ist|Ihre|E-Mail-Adresse|?","Asking for an email address.","What is your email address?"
"Meine E-Mail-Adresse ist p.meier@gmx.de.","Meine|E-Mail-Adresse|ist|p.meier@gmx.de|.","Giving an email address.","My email address is p.meier@gmx.de."
"Das schreibt man mit Punkt und Klammeraffe.","Das|schreibt|man|mit|Punkt|und|Klammeraffe|.","Explaining spelling with symbols.","You write that with a dot and an at symbol."
"Mit Unterstrich oder Bindestrich?","Mit|Unterstrich|oder|Bindestrich|?","Clarifying symbols in an email.","With an underscore or a hyphen?"
"Ich maile Ihnen die Rechnung.","Ich|maile|Ihnen|die|Rechnung|.","Stating you will email a document.","I will email you the invoice."
"Ich schreibe eine E-Mail an den Chef.","Ich|schreibe|eine|E-Mail|an|den|Chef|.","Describing an action.","I am writing an email to the boss."
"Der Drucker funktioniert nicht.","Der|Drucker|funktioniert|nicht|.","Reporting broken equipment.","The printer is not working."
"Mein Computer ist kaputt.","Mein|Computer|ist|kaputt|.","Reporting broken equipment.","My computer is broken."
"Das Internet ist sehr langsam.","Das|Internet|ist|sehr|langsam|.","Complaining about the connection.","The internet is very slow."
"Ich brauche dringend einen Techniker.","Ich|brauche|dringend|einen|Techniker|.","Requesting help urgently.","I urgently need a technician."
"Ich habe keinen Stift.","Ich|habe|keinen|Stift|.","Stating lack of a masculine object.","I have no pen."
"Brauchst du einen Stift?","Brauchst|du|einen|Stift|?","Offering a masculine object.","Do you need a pen?"
"Ja, ich brauche einen Kuli und Papier.","Ja|,|ich|brauche|einen|Kuli|und|Papier|.","Expressing need.","Yes, I need a pen and paper."
"Haben Sie Briefmarken?","Haben|Sie|Briefmarken|?","Asking for plural items.","Do you have stamps?"
