text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Was machst du in der Freizeit? - Ich spiele gern Fußball und ich schwimme oft.","Was sind die Hobbys der Person?","Fußball spielen und schwimmen","Lesen und kochen","Musik hören und surfen","Tanzen und singen","What do you do in your free time? - I like playing soccer and I swim often.","Listen to the two activities listed."
"Kannst du gut kochen? - Nein, ich kann gar nicht kochen. Ich gehe immer ins Restaurant.","Wie gut kann die Person kochen?","Gar nicht","Sehr gut","Ein bisschen","Perfekt","Can you cook well? - No, I cannot cook at all. I always go to a restaurant.","'gar nicht' means not at all."
"Du kannst aber toll singen! - Ach, findest du? Ich kann nur ein bisschen singen.","Wie reagiert die Person auf das Kompliment?","Bescheiden (nur ein bisschen)","Sie sagt 'Ja, ich bin super'.","Sie sagt 'Danke, Wahnsinn'.","Sie singt lauter.","You can sing really great! - Oh, do you think so? I can only sing a little bit.","Listen to her modest response 'nur ein bisschen'."
"Was machst du am Wochenende? - Ich fahre Ski in den Bergen.","Was macht die Person am Wochenende?","Sie fährt Ski.","Sie spielt Fußball.","Sie trifft Freunde.","Sie geht ins Kino.","What are you doing on the weekend? - I am skiing in the mountains.","Listen to the activity 'Ski fahren'."
"Spielst du gern Schach? - Nein, Schach ist mir zu langweilig. Ich surfe lieber im Internet.","Wie findet die Person Schach?","Langweilig","Interessant","Spannend","Toll","Do you like playing chess? - No, chess is too boring for me. I prefer surfing the internet.","Listen to the negative adjective 'langweilig'."
"Hörst du das? Sven spielt Klavier. - Wahnsinn! Er kann fantastisch spielen!","Wie spielt Sven Klavier?","Fantastisch","Ein bisschen","Gar nicht","Schlecht","Do you hear that? Sven is playing the piano. - Amazing! He can play fantastically!","Listen to the compliment 'fantastisch'."
"Wir gehen heute Abend ins Kino. Kommst du mit? - Ja, sehr gern!","Was machen sie heute Abend?","Sie gehen ins Kino.","Sie gehen ins Theater.","Sie bleiben zu Hause.","Sie kochen zusammen.","We are going to the cinema tonight. Are you coming with us? - Yes, very gladly!","Listen to the destination 'ins Kino'."
"Meine Hobbys sind Lesen und Fotografieren. Und was machst du gern?","Was fotografiert die Person gern?","Das sagt sie nicht, nur dass es ihr Hobby ist.","Bücher","Ihre Freunde","Die Natur","My hobbies are reading and taking photos. And what do you like to do?","She only states her hobbies, not specific subjects."
"Kannst du reiten? - Ja, ich reite jedes Wochenende auf dem Pferd von meiner Freundin.","Wann reitet die Person?","Jedes Wochenende","Jeden Tag","Nie","Manchmal","Can you ride a horse? - Yes, I ride my friend's horse every weekend.","Listen to the frequency 'jedes Wochenende'."
"Wow, der Kuchen ist super lecker! - Danke. Ich backe sehr gern.","Was macht die Person gern?","Backen","Kochen","Singen","Essen","Wow, the cake is super delicious! - Thanks. I like baking very much.","Listen to the verb 'backen'."
