text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Wir machen am Samstag eine Geburtstagsparty. Kommst du? - Ja, sehr gern! Wann fängt es an?","Was machen sie am Samstag?","Eine Geburtstagsparty","Eine Hochzeit","Einen Ausflug","Sie gehen ins Kino.","We are having a birthday party on Saturday. Are you coming? - Yes, very gladly! When does it start?","Listen to the event 'Geburtstagsparty'."
"Ich habe am dritten Oktober Geburtstag. Und du? - Ich habe am vierten November.","Wann hat die zweite Person Geburtstag?","Am 4. November","Am 3. Oktober","Am 14. November","Am 4. Oktober","I have my birthday on the third of October. And you? - Me on the fourth of November.","Pay attention to the SECOND speaker's date ('vierten November')."
"Danke für die Einladung! Soll ich einen Kuchen mitbringen? - Ja, das wäre super. Getränke habe ich schon.","Was soll der Gast mitbringen?","Einen Kuchen","Getränke","Einen Salat","Ein Geschenk","Thanks for the invitation! Should I bring a cake? - Yes, that would be super. I already have drinks.","Listen to what is requested 'Kuchen'."
"Hallo Maria, hier ist Tom. Ich muss leider für Freitag absagen. Ich bin krank. - Oh, schade! Gute Besserung!","Warum kommt Tom nicht zur Party?","Er ist krank (er sagt ab).","Er muss arbeiten.","Er hat keine Lust.","Er hat keinen Babysitter.","Hello Maria, Tom here. I unfortunately have to decline for Friday. I am sick. - Oh, a pity! Get well soon!","Listen to the reason 'krank'."
"Was schenken wir Petra zur Hochzeit? - Einen Gutschein für ein Hotel am See!","Was bekommt Petra zur Hochzeit?","Einen Hotel-Gutschein","Ein Buch","Blumen","Geld","What are we giving Petra for her wedding? - A voucher for a hotel at the lake!","Listen to the gift 'Gutschein'."
"Die Party findet nicht im Haus statt, sondern draußen im Garten. Zieht euch warm an!","Wo findet die Party statt?","Draußen im Garten","Im Haus","Im Restaurant","Im Park","The party is not taking place in the house, but outside in the garden. Dress warmly!","Listen to the location after 'sondern' (draußen im Garten)."
"Wir haben 30 Gäste eingeladen, aber nur 20 haben zugesagt.","Wie viele Gäste kommen sicher zur Party?","20","30","10","50","We invited 30 guests, but only 20 have accepted.","'Zugesagt' means they accepted and are coming (20)."
"Frohe Weihnachten, Oma! Hier ist ein kleines Geschenk für dich. - Oh, vielen Dank, mein Junge!","Welches Fest feiern sie?","Weihnachten","Ostern","Geburtstag","Silvester","Merry Christmas, Grandma! Here is a little gift for you. - Oh, thank you very much, my boy!","Listen to the greeting 'Frohe Weihnachten'."
"Wann heiraten Sarah und Paul? - Am einundzwanzigsten Juni.","Wann ist die Hochzeit?","Am 21. Juni","Am 20. Juni","Am 1. Juni","Am 12. Juli","When are Sarah and Paul getting married? - On the twenty-first of June.","'einundzwanzigsten' means 21st."
"Was machst du an Silvester? - Wir machen ein großes Fest mit Freunden und um Mitternacht gibt es ein Feuerwerk!","Was machen sie um Mitternacht?","Sie sehen ein Feuerwerk.","Sie schlafen.","Sie essen Kuchen.","Sie gehen in die Kirche.","What are you doing on New Year's Eve? - We are having a big party with friends and at midnight there are fireworks!","Listen to the event at midnight 'Feuerwerk'."
