sentence,words,tip,translation_en
"Ich habe großen Hunger.","Ich|habe|großen|Hunger|.","Expressing hunger.","I am very hungry."
"Hast du Durst?","Hast|du|Durst|?","Asking if someone is thirsty.","Are you thirsty?"
"Was isst du gern zum Frühstück?","Was|isst|du|gern|zum|Frühstück|?","Asking about breakfast preferences.","What do you like to eat for breakfast?"
"Zum Frühstück esse ich Brot mit Marmelade.","Zum|Frühstück|esse|ich|Brot|mit|Marmelade|.","Stating breakfast habits.","For breakfast I eat bread with jam."
"Ich trinke gern Kaffee mit Milch.","Ich|trinke|gern|Kaffee|mit|Milch|.","Stating drink preferences.","I like drinking coffee with milk."
"Trinkst du lieber Tee oder Kaffee?","Trinkst|du|lieber|Tee|oder|Kaffee|?","Asking for a preference ('lieber').","Do you prefer to drink tea or coffee?"
"Ich trinke lieber Tee.","Ich|trinke|lieber|Tee|.","Stating a preference.","I prefer drinking tea."
"Was isst du zum Mittagessen?","Was|isst|du|zum|Mittagessen|?","Asking about lunch.","What are you eating for lunch?"
"Am Mittag esse ich Reis mit Hähnchen.","Am|Mittag|esse|ich|Reis|mit|Hähnchen|.","Stating a lunch meal.","At noon I eat rice with chicken."
"Was gibt es zum Abendessen?","Was|gibt|es|zum|Abendessen|?","Asking what is for dinner.","What is there for dinner?"
"Heute gibt es Nudeln mit Tomatensoße.","Heute|gibt|es|Nudeln|mit|Tomatensoße|.","Stating what's for dinner.","Today there is pasta with tomato sauce."
"Ich esse keinen Fisch.","Ich|esse|keinen|Fisch|.","Expressing a dietary restriction (Akkusativ masculine).","I don't eat fish."
"Ich bin Vegetarier, ich esse kein Fleisch.","Ich|bin|Vegetarier|,|ich|esse|kein|Fleisch|.","Explaining a dietary choice.","I am a vegetarian, I eat no meat."
"Magst du Käse?","Magst|du|Käse|?","Asking if someone likes a food.","Do you like cheese?"
"Nein, ich mag keinen Käse.","Nein|,|ich|mag|keinen|Käse|.","Negative response using 'mögen' and 'keinen'.","No, I don't like cheese."
"Ja, ich liebe Käse!","Ja|,|ich|liebe|Käse|!","Enthusiastic positive response.","Yes, I love cheese!"
"Was möchtest du essen?","Was|möchtest|du|essen|?","Asking someone what they want to eat.","What would you like to eat?"
"Ich möchte eine Pizza, bitte.","Ich|möchte|eine|Pizza|,|bitte|.","Polite request for food.","I would like a pizza, please."
"Möchten Sie noch etwas trinken?","Möchten|Sie|noch|etwas|trinken|?","Offering more drinks (formal).","Would you like something else to drink?"
"Ein Wasser, bitte.","Ein|Wasser|,|bitte|.","Simple order.","A water, please."
"Wir möchten bitte zahlen.","Wir|möchten|bitte|zahlen|.","Asking for the bill in a restaurant.","We would like to pay, please."
"Das Essen ist sehr lecker!","Das|Essen|ist|sehr|lecker|!","Complimenting the food.","The food is very delicious!"
"Schmeckt dir die Suppe?","Schmeckt|dir|die|Suppe|?","Asking if someone likes their food (informal).","Do you like the soup? (Does it taste good to you?)"
"Ja, sie schmeckt fantastisch.","Ja|,|sie|schmeckt|fantastisch|.","Complimenting a feminine dish.","Yes, it tastes fantastic."
"Schmeckt Ihnen der Wein?","Schmeckt|Ihnen|der|Wein|?","Asking if someone likes their drink (formal).","Do you like the wine?"
"Nein, er schmeckt mir nicht.","Nein|,|er|schmeckt|mir|nicht|.","Negative response to food/drink.","No, I don't like it."
"Guten Appetit!","Guten|Appetit|!","Wishing a good meal.","Enjoy your meal!"
"Danke, gleichfalls.","Danke|,|gleichfalls|.","Responding to a good wish.","Thanks, you too."
"Zum Wohl!","Zum|Wohl|!","Toasting with drinks.","Cheers!"
"Ich nehme das Hähnchen mit Reis.","Ich|nehme|das|Hähnchen|mit|Reis|.","Ordering in a restaurant using 'nehmen'.","I will take the chicken with rice."
"Was nimmst du?","Was|nimmst|du|?","Asking what someone else is ordering.","What are you taking/ordering?"
"Der Kühlschrank ist leer.","Der|Kühlschrank|ist|leer|.","Stating a problem at home.","The fridge is empty."
"Wir müssen einkaufen gehen.","Wir|müssen|einkaufen|gehen|.","Stating a necessity.","We have to go shopping."
"Wir brauchen noch Kartoffeln und Zwiebeln.","Wir|brauchen|noch|Kartoffeln|und|Zwiebeln|.","Listing items to buy.","We still need potatoes and onions."
"Kaufst du bitte Tomaten?","Kaufst|du|bitte|Tomaten|?","Asking someone to buy something.","Will you buy tomatoes, please?"
"Ich kaufe Obst und Gemüse auf dem Markt.","Ich|kaufe|Obst|und|Gemüse|auf|dem|Markt|.","Stating where you shop.","I buy fruit and vegetables at the market."
"Möchten Sie ein Stück Kuchen?","Möchten|Sie|ein|Stück|Kuchen|?","Offering food.","Would you like a piece of cake?"
"Ja, sehr gern. Der Kuchen sieht toll aus.","Ja|,|sehr|gern|.|Der|Kuchen|sieht|toll|aus|.","Accepting food and complimenting.","Yes, very gladly. The cake looks great."
"Nein danke, ich mag nichts Süßes.","Nein|danke|,|ich|mag|nichts|Süßes|.","Politely declining food.","No thanks, I don't like anything sweet."
"Ich brauche noch ein Messer und eine Gabel.","Ich|brauche|noch|ein|Messer|und|eine|Gabel|.","Asking for cutlery.","I still need a knife and a fork."
"Kann ich bitte einen Löffel haben?","Kann|ich|bitte|einen|Löffel|haben|?","Politely asking for a spoon.","Can I please have a spoon?"
"Die Teller stehen auf dem Tisch.","Die|Teller|stehen|auf|dem|Tisch|.","Describing the table setting.","The plates are on the table."
"Das Wasser ist zu kalt.","Das|Wasser|ist|zu|kalt|.","Complaining about a drink.","The water is too cold."
"Vorsicht, die Suppe ist heiß!","Vorsicht|,|die|Suppe|ist|heiß|!","Giving a warning.","Careful, the soup is hot!"
"Wir laden dich zum Abendessen ein.","Wir|laden|dich|zum|Abendessen|ein|.","Inviting someone.","We invite you to dinner."
"Danke für die Einladung!","Danke|für|die|Einladung|!","Thanking for an invitation.","Thanks for the invitation!"
"Wer ist heute Abend zu Gast?","Wer|ist|heute|Abend|zu|Gast|?","Asking about guests.","Who is a guest tonight?"
"Paco und Anna kommen zu Besuch.","Paco|und|Anna|kommen|zu|Besuch|.","Stating who is coming over.","Paco and Anna are coming to visit."
"Was kochen wir heute?","Was|kochen|wir|heute|?","Discussing dinner plans.","What are we cooking today?"
"Ich koche Suppe. Das Rezept ist einfach.","Ich|koche|Suppe|.|Das|Rezept|ist|einfach|.","Stating what you are cooking.","I am cooking soup. The recipe is simple."
"Hast du die Flasche Wein gekauft?","Hast|du|die|Flasche|Wein|gekauft|?","Asking about a purchase.","Did you buy the bottle of wine?"
"Ja, der Wein liegt im Kühlschrank.","Ja|,|der|Wein|liegt|im|Kühlschrank|.","Confirming and stating location.","Yes, the wine is in the fridge."
"Möchtest du Kaffee oder Tee?","Möchtest|du|Kaffee|oder|Tee|?","Offering a choice of drinks.","Would you like coffee or tea?"
"Ein Bier, bitte!","Ein|Bier|,|bitte|!","Ordering a beer.","A beer, please!"
"Ist noch Wurst da?","Ist|noch|Wurst|da|?","Asking if food is left.","Is there still sausage left?"
"Ja, die Wurst ist auf dem Teller.","Ja|,|die|Wurst|ist|auf|dem|Teller|.","Answering where the food is.","Yes, the sausage is on the plate."
"Wir essen jeden Sonntag zusammen.","Wir|essen|jeden|Sonntag|zusammen|.","Describing a routine.","We eat together every Sunday."
"Obst ist sehr gesund.","Obst|ist|sehr|gesund|.","Stating a fact about health.","Fruit is very healthy."
"Ich nehme einen Apfelsaft.","Ich|nehme|einen|Apfelsaft|.","Ordering a drink.","I will take an apple juice."
"Das Fleisch ist sehr teuer.","Das|Fleisch|ist|sehr|teuer|.","Commenting on price.","The meat is very expensive."
