text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Wer ist das auf dem Foto? - Das ist mein Bruder.","Wer ist auf dem Foto?","Der Bruder","Der Vater","Der Freund","Der Ehemann","Who is that in the photo? - That is my brother.","Listen to the family word after 'mein'."
"Ist das deine Schwester? - Nein, das ist meine Freundin Anna.","Wer ist die Person?","Die Freundin","Die Schwester","Die Mutter","Die Kollegin","Is that your sister? - No, that is my friend Anna.","Listen to the correction after 'Nein'."
"Hast du keine Geschwister? - Doch, ich habe zwei Schwestern.","Hat die Person Geschwister?","Ja, zwei Schwestern","Nein, keine","Einen Bruder","Drei Schwestern","Do you not have siblings? - Yes, I have two sisters.","'Doch' means yes in response to a negative question."
"Welche Sprachen sprichst du? - Ich spreche Spanisch und ein bisschen Deutsch.","Welche Sprache spricht die Person ein bisschen?","Deutsch","Spanisch","Englisch","Französisch","Which languages do you speak? - I speak Spanish and a little German.","Listen for the language after 'ein bisschen'."
"Spricht deine Mutter Englisch? - Ja, sehr gut.","Wie spricht die Mutter Englisch?","Sehr gut","Ein bisschen","Nicht so gut","Perfekt","Does your mother speak English? - Yes, very well.","Listen to the degree of proficiency."
"Bist du nicht verheiratet? - Doch, das ist mein Mann.","Ist die Person verheiratet?","Ja","Nein","Geschieden","Single","Are you not married? - Yes, that is my husband.","'Doch' means yes here. She also points out her husband."
"Das sind meine Großeltern, Maria und Josef.","Wer sind Maria und Josef?","Die Großeltern","Die Eltern","Die Geschwister","Die Kinder","These are my grandparents, Maria and Josef.","Listen to the plural family noun."
"Meine Muttersprache ist Türkisch. Ich lerne jetzt Deutsch.","Was ist die Muttersprache?","Türkisch","Deutsch","Englisch","Arabisch","My mother tongue is Turkish. I am learning German now.","Listen to the word before 'Ich lerne'."
"Spricht Paco gut Deutsch? - Nein, er spricht nur ein bisschen Deutsch.","Wie gut spricht Paco Deutsch?","Ein bisschen","Sehr gut","Perfekt","Gar nicht","Does Paco speak good German? - No, he only speaks a little German.","Listen to the adverb 'ein bisschen'."
"Ist das dein Sohn? - Nein, das ist mein Enkel.","Wer ist das Kind?","Der Enkel","Der Sohn","Der Bruder","Das Baby","Is that your son? - No, that is my grandson.","Listen to the correction after 'Nein'."
