sentence,words,tip,translation_en
"Was sind deine Pläne für die Zukunft?","Was|sind|deine|Pläne|für|die|Zukunft|?","Asking about future plans.","What are your plans for the future?"
"Was willst du später machen?","Was|willst|du|später|machen|?","Asking about future intentions.","What do you want to do later?"
"Ich will eine Ausbildung machen.","Ich|will|eine|Ausbildung|machen|.","Stating a plan using 'wollen'.","I want to do an apprenticeship."
"Ich mache eine Ausbildung zum Mechaniker.","Ich|mache|eine|Ausbildung|zum|Mechaniker|.","Describing current training (male).","I am doing an apprenticeship as a mechanic."
"Sie macht eine Ausbildung zur Friseurin.","Sie|macht|eine|Ausbildung|zur|Friseurin|.","Describing current training (female).","She is doing an apprenticeship as a hairdresser."
"Nächstes Jahr mache ich Abitur.","Nächstes|Jahr|mache|ich|Abitur|.","Stating a milestone.","Next year I am doing my Abitur (high school diploma)."
"Nach der Schule will ich studieren.","Nach|der|Schule|will|ich|studieren|.","Stating a plan after school.","After school I want to study."
"Ich will Medizin studieren.","Ich|will|Medizin|studieren|.","Stating a specific field of study.","I want to study medicine."
"Ich mache ein Praktikum im Krankenhaus.","Ich|mache|ein|Praktikum|im|Krankenhaus|.","Describing an internship.","I am doing an internship at the hospital."
"Zuerst will ich den Führerschein machen.","Zuerst|will|ich|den|Führerschein|machen|.","Stating a first goal.","First I want to get my driver's license."
"Ich muss die Führerscheinprüfung bestehen!","Ich|muss|die|Führerscheinprüfung|bestehen|!","Expressing a strong need to pass.","I have to pass the driving test!"
"Was willst du von Beruf werden?","Was|willst|du|von|Beruf|werden|?","Asking about career goals.","What do you want to become by profession?"
"Ich will Schauspieler werden.","Ich|will|Schauspieler|werden|.","Stating a career goal (male).","I want to become an actor."
"Sie will Sängerin werden.","Sie|will|Sängerin|werden|.","Stating a career goal (female).","She wants to become a singer."
"Er wird Politiker.","Er|wird|Politiker|.","Stating someone's future profession.","He is becoming a politician."
"Ich will mein eigener Chef sein.","Ich|will|mein|eigener|Chef|sein|.","Expressing a desire for independence.","I want to be my own boss."
"Ich will unbedingt reich und berühmt werden.","Ich|will|unbedingt|reich|und|berühmt|werden|.","Expressing strong ambition.","I absolutely want to become rich and famous."
"Ich möchte viel Geld verdienen.","Ich|möchte|viel|Geld|verdienen|.","Expressing a polite wish about money.","I would like to earn a lot of money."
"Geld ist mir nicht so wichtig.","Geld|ist|mir|nicht|so|wichtig|.","Stating personal values.","Money is not so important to me."
"Wichtig ist, dass ich glücklich bin.","Wichtig|ist|,|dass|ich|glücklich|bin|.","Stating personal values.","The important thing is that I am happy."
"Ich will ins Ausland gehen.","Ich|will|ins|Ausland|gehen|.","Stating a travel plan.","I want to go abroad."
"Wir wollen durch Europa reisen.","Wir|wollen|durch|Europa|reisen|.","Stating a travel plan.","We want to travel through Europe."
"Ich träume von einer Weltreise.","Ich|träume|von|einer|Weltreise|.","Expressing a dream.","I dream of a trip around the world."
"Ich will auf keinen Fall heiraten.","Ich|will|auf|keinen|Fall|heiraten|.","Expressing strong rejection of a plan.","I definitely do not want to get married."
"Wir wollen nächstes Jahr heiraten.","Wir|wollen|nächstes|Jahr|heiraten|.","Stating wedding plans.","We want to get married next year."
"Dann wollen wir eine Familie gründen.","Dann|wollen|wir|eine|Familie|gründen|.","Stating family plans.","Then we want to start a family."
"Ich will mindestens drei Kinder haben.","Ich|will|mindestens|drei|Kinder|haben|.","Stating a specific family goal.","I want to have at least three children."
"Er spielt Gitarre in einer Band.","Er|spielt|Gitarre|in|einer|Band|.","Describing a hobby/activity.","He plays guitar in a band."
"Wir haben ein neues Lied geschrieben.","Wir|haben|ein|neues|Lied|geschrieben|.","Stating a past achievement.","We wrote a new song."
"Wir wollen bald ein Konzert geben.","Wir|wollen|bald|ein|Konzert|geben|.","Stating a future event plan.","We want to give a concert soon."
"Ich habe einen großen Wunsch.","Ich|habe|einen|großen|Wunsch|.","Expressing a desire.","I have a big wish."
"Das finde ich toll!","Das|finde|ich|toll|!","Giving a compliment/positive feedback.","I find that great!"
"Ich finde das sehr interessant.","Ich|finde|das|sehr|interessant|.","Expressing interest.","I find that very interesting."
"Ich weiß es noch nicht genau.","Ich|weiß|es|noch|nicht|genau|.","Admitting uncertainty about plans.","I don't know exactly yet."
"Vielleicht werde ich Lehrerin.","Vielleicht|werde|ich|Lehrerin|.","Stating a possible career path.","Maybe I will become a teacher."
"Ich schließe bald mein Studium ab.","Ich|schließe|bald|mein|Studium|ab|.","Stating an upcoming milestone.","I am completing my studies soon."
"Wie läuft dein Praktikum?","Wie|läuft|dein|Praktikum|?","Asking how something is going.","How is your internship going?"
"Es läuft super!","Es|läuft|super|!","Answering positively about progress.","It is going super!"
"Der Job ist sehr anstrengend.","Der|Job|ist|sehr|anstrengend|.","Describing work.","The job is very exhausting."
"Ich habe viele Kunden.","Ich|habe|viele|Kunden|.","Describing a work situation.","I have many customers."
"Sie arbeitet als Chefsekretärin.","Sie|arbeitet|als|Chefsekretärin|.","Stating a profession.","She works as an executive secretary."
"Mein Freund hat die Prüfung bestanden!","Mein|Freund|hat|die|Prüfung|bestanden|!","Sharing good news.","My boyfriend passed the exam!"
"Das Auto fährt sehr schnell.","Das|Auto|fährt|sehr|schnell|.","Describing speed.","The car drives very fast."
"Ich will unbedingt ein Motorrad kaufen.","Ich|will|unbedingt|ein|Motorrad|kaufen|.","Expressing a strong intention to buy.","I absolutely want to buy a motorcycle."
"Ohne Musik ist das Leben langweilig.","Ohne|Musik|ist|das|Leben|langweilig|.","Stating a personal philosophy.","Without music life is boring."
"Was ist dein Ziel im Leben?","Was|ist|dein|Ziel|im|Leben|?","Asking a deep question.","What is your goal in life?"
"Ich wünsche dir viel Glück für die Prüfung!","Ich|wünsche|dir|viel|Glück|für|die|Prüfung|!","Wishing someone luck.","I wish you much luck for the exam!"
"Er verdient jetzt sein eigenes Geld.","Er|verdient|jetzt|sein|eigenes|Geld|.","Stating independence.","He earns his own money now."
"Wir wohnen jetzt im Ausland.","Wir|wohnen|jetzt|im|Ausland|.","Stating current residence.","We live abroad now."
"Sie ist ein echter Star!","Sie|ist|ein|echter|Star|!","Giving a compliment about fame.","She is a real star!"
"Wollen wir zusammen lernen?","Wollen|wir|zusammen|lernen|?","Suggesting an activity.","Do we want to study together?"
"Ich kann das unbedingt empfehlen!","Ich|kann|das|unbedingt|empfehlen|!","Giving a strong recommendation.","I can absolutely recommend that!"
