test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null nach Berlin gefahren. (sein)","bin","sein","1st person singular of 'sein' (Perfekt auxiliary for motion)","I traveled to Berlin.","Perfekt of motion: ich bin ... gefahren."
"null du gestern ins Kino gegangen? (sein)","Bist","sein","2nd person singular of 'sein'","Did you go to the cinema yesterday?","Perfekt of motion: Bist du ... gegangen?"
"Paco null gestern gekommen. (sein)","ist","sein","3rd person singular of 'sein'","Paco came yesterday.","Perfekt of motion: er ist ... gekommen."
"Wir null nach Spanien geflogen. (sein)","sind","sein","1st person plural of 'sein'","We flew to Spain.","Perfekt of motion: wir sind ... geflogen."
"null ihr im Sommer gereist? (sein)","Seid","sein","2nd person plural of 'sein'","Did you all travel in the summer?","Perfekt of motion: Seid ihr ... gereist?"
"Anna und Tom null zu Hause geblieben. (sein)","sind","sein","3rd person plural of 'sein' (bleiben takes sein!)","Anna and Tom stayed at home.","Perfekt of 'bleiben': sie sind ... geblieben."
"Was null passiert? (sein)","ist","sein","3rd person singular of 'sein'","What happened?","Perfekt of 'passieren': es ist ... passiert."
"Ich bin in München null. (sein)","gewesen","sein","Partizip II of 'sein' (takes 'sein' as auxiliary)","I was in Munich.","Perfekt of sein: ich bin ... gewesen."
"Er ist nach Rom null. (fliegen)","geflogen","fliegen","Partizip II of 'fliegen'","He flew to Rome.","Partizip II (motion): geflogen."
"Wir sind viel null. (reisen)","gereist","reisen","Partizip II of 'reisen'","We traveled a lot.","Partizip II (motion): gereist."
"Bist du gestern null? (kommen)","gekommen","kommen","Partizip II of 'kommen'","Did you come yesterday?","Partizip II (motion): gekommen."
"Ich bin zu Fuß null. (gehen)","gegangen","gehen","Partizip II of 'gehen'","I went on foot (walked).","Partizip II (motion): gegangen."
"Wir sind mit dem Auto null. (fahren)","gefahren","fahren","Partizip II of 'fahren'","We traveled by car.","Partizip II (motion): gefahren."
"Der Unfall ist gestern null. (passieren)","passiert","passieren","Partizip II of 'passieren' (-ieren verb)","The accident happened yesterday.","Partizip II (no 'ge'): passiert."
"Ich bin drei Tage im Hotel null. (bleiben)","geblieben","bleiben","Partizip II of 'bleiben'","I stayed in the hotel for three days.","Partizip II: geblieben (Exception: takes 'sein')."
"Mein Geburtstag ist null ersten Januar.","am","an","Preposition for dates","My birthday is on the first of January.","Dates: am + -ten (am ersten)."
"Wir heiraten null dritten Mai.","am","an","Preposition for dates","We are getting married on the third of May.","Dates: am + -ten (am dritten)."
"Die Party ist null siebten August.","am","an","Preposition for dates","The party is on the seventh of August.","Dates: am + -ten (am siebten)."
"Er kommt null zwanzigsten Oktober.","am","an","Preposition for dates (20 and above add -sten)","He is coming on the twentieth of October.","Dates (>= 20): am + -sten (am zwanzigsten)."
"Wir reisen null Sommer.","im","in","Preposition for seasons","We travel in summer.","Seasons: im (im Sommer, im Winter)."
"Das Fest ist null Dezember.","im","in","Preposition for months","The festival is in December.","Months: im (im Januar, im Dezember)."
"Ich habe null August Geburtstag.","im","in","Preposition for months","I have a birthday in August.","Months: im."
"null siebten Juli fahre ich nach Berlin.","Am","an","Preposition for dates","On the seventh of July I travel to Berlin.","Dates: Am."
"null Winter fahre ich Ski.","Im","in","Preposition for seasons","In winter I ski.","Seasons: Im."
"Wir haben null siebzehnten April frei.","am","an","Preposition for dates","We are free on the seventeenth of April.","Dates: am."
"Ich null gestern Musik gehört. (haben or sein?)","habe","haben","Auxiliary for normal verbs","I listened to music yesterday.","'hören' takes 'haben'."
"Ich null gestern nach Berlin gefahren. (haben or sein?)","bin","sein","Auxiliary for motion verbs","I traveled to Berlin yesterday.","'fahren' takes 'sein'."
"Er null das Buch gelesen. (haben or sein?)","hat","haben","Auxiliary for normal verbs","He read the book.","'lesen' takes 'haben'."
"Er null ins Kino gegangen. (haben or sein?)","ist","sein","Auxiliary for motion verbs","He went to the cinema.","'gehen' takes 'sein'."
"Wir null Pizza gegessen. (haben or sein?)","haben","haben","Auxiliary for normal verbs","We ate pizza.","'essen' takes 'haben'."
"Wir null nach Rom geflogen. (haben or sein?)","sind","sein","Auxiliary for motion verbs","We flew to Rome.","'fliegen' takes 'sein'."
"Was ist null? (passieren)","passiert","passieren","Partizip II of 'passieren'","What happened?","Partizip II: passiert."
