sentence,words,tip,translation_en
"Wohin fahren Sie?","Wohin|fahren|Sie|?","Asking for destination (formal).","Where are you traveling to?"
"Ich fahre nach Berlin.","Ich|fahre|nach|Berlin|.","Stating destination with 'nach'.","I am traveling to Berlin."
"Wie fahren Sie nach Berlin?","Wie|fahren|Sie|nach|Berlin|?","Asking for means of transport.","How are you traveling to Berlin?"
"Ich fahre mit dem Zug.","Ich|fahre|mit|dem|Zug|.","Using 'mit dem' (masculine).","I am traveling by train."
"Ich fliege mit dem Flugzeug.","Ich|fliege|mit|dem|Flugzeug|.","Using 'mit dem' (neuter).","I am flying by airplane."
"Wir fahren mit dem Auto.","Wir|fahren|mit|dem|Auto|.","Using 'mit dem' (neuter).","We are traveling by car."
"Sie fährt mit der U-Bahn.","Sie|fährt|mit|der|U-Bahn|.","Using 'mit der' (feminine).","She travels by subway."
"Ich fahre mit dem Fahrrad zur Arbeit.","Ich|fahre|mit|dem|Fahrrad|zur|Arbeit|.","Combining means of transport and destination.","I ride a bicycle to work."
"Nimmst du den Bus?","Nimmst|du|den|Bus|?","Asking about transport using 'nehmen'.","Are you taking the bus?"
"Nein, ich nehme ein Taxi.","Nein|,|ich|nehme|ein|Taxi|.","Answering with 'nehmen' and accusative.","No, I'll take a taxi."
"Eine Fahrkarte nach München, bitte.","Eine|Fahrkarte|nach|München|,|bitte|.","Buying a ticket.","A ticket to Munich, please."
"Einfach oder hin und zurück?","Einfach|oder|hin|und|zurück|?","Ticket clerk asking for trip type.","Single or round trip?"
"Hin und zurück, bitte.","Hin|und|zurück|,|bitte|.","Requesting a round trip.","Round trip, please."
"Erste oder zweite Klasse?","Erste|oder|zweite|Klasse|?","Ticket clerk asking for class.","First or second class?"
"Zweite Klasse, einfach.","Zweite|Klasse|,|einfach|.","Stating ticket preferences.","Second class, single."
"Was kostet das Ticket?","Was|kostet|das|Ticket|?","Asking for the price.","What does the ticket cost?"
"Wann fährt der Zug ab?","Wann|fährt|der|Zug|ab|?","Asking for departure time.","When does the train depart?"
"Der Zug fährt um 10:30 Uhr ab.","Der|Zug|fährt|um|10:30|Uhr|ab|.","Stating departure time.","The train departs at 10:30."
"Auf welchem Gleis fährt der Zug ab?","Auf|welchem|Gleis|fährt|der|Zug|ab|?","Asking for the platform.","On which track does the train depart?"
"Auf Gleis drei.","Auf|Gleis|drei|.","Answering with the platform number.","On track three."
"Fährt der Zug direkt nach Hamburg?","Fährt|der|Zug|direkt|nach|Hamburg|?","Asking if a connection is direct.","Does the train go directly to Hamburg?"
"Nein, Sie müssen in Köln umsteigen.","Nein|,|Sie|müssen|in|Köln|umsteigen|.","Explaining a transfer.","No, you must transfer in Cologne."
"Wo muss ich umsteigen?","Wo|muss|ich|umsteigen|?","Asking where to transfer.","Where do I have to transfer?"
"Wann kommt der Zug in München an?","Wann|kommt|der|Zug|in|München|an|?","Asking for arrival time.","When does the train arrive in Munich?"
"Die Ankunft ist um 14 Uhr.","Die|Ankunft|ist|um|14|Uhr|.","Stating arrival time.","Arrival is at 14:00."
"Achtung an Gleis 5!","Achtung|an|Gleis|5|!","Station announcement phrase.","Attention on track 5!"
"Der ICE nach Berlin hat 20 Minuten Verspätung.","Der|ICE|nach|Berlin|hat|20|Minuten|Verspätung|.","Announcing a delay.","The ICE to Berlin has a 20-minute delay."
"Bitte steigen Sie ein.","Bitte|steigen|Sie|ein|.","Instruction to board.","Please board."
"Türen schließen, bitte zurückbleiben!","Türen|schließen|,|bitte|zurückbleiben|!","Warning before departure.","Doors closing, please stand back!"
"Ich will nach Spanien fliegen.","Ich|will|nach|Spanien|fliegen|.","Expressing a desire to travel.","I want to fly to Spain."
"Wir wollen ein Auto mieten.","Wir|wollen|ein|Auto|mieten|.","Expressing a plan with 'wollen'.","We want to rent a car."
"Ich muss jetzt gehen.","Ich|muss|jetzt|gehen|.","Expressing an obligation.","I must go now."
"Müsst ihr heute arbeiten?","Müsst|ihr|heute|arbeiten|?","Asking about an obligation.","Do you all have to work today?"
"Ja, wir müssen bis 18 Uhr arbeiten.","Ja|,|wir|müssen|bis|18|Uhr|arbeiten|.","Stating a work obligation.","Yes, we must work until 6 PM."
"Ich hole dich am Flughafen ab.","Ich|hole|dich|am|Flughafen|ab|.","Promising to pick someone up.","I will pick you up at the airport."
