sentence,words,tip,translation_en
"Das ist meine Familie.","Das|ist|meine|Familie|.","Introducing the family (feminine).","This is my family."
"Das ist mein Vater.","Das|ist|mein|Vater|.","Introducing a male family member.","That is my father."
"Das ist meine Mutter.","Das|ist|meine|Mutter|.","Introducing a female family member.","That is my mother."
"Das sind meine Eltern.","Das|sind|meine|Eltern|.","Introducing plural family members.","These are my parents."
"Das ist mein Bruder.","Das|ist|mein|Bruder|.","Introducing a brother.","That is my brother."
"Das ist meine Schwester.","Das|ist|meine|Schwester|.","Introducing a sister.","That is my sister."
"Wir sind drei Geschwister.","Wir|sind|drei|Geschwister|.","Stating number of siblings.","We are three siblings."
"Das ist meine Frau.","Das|ist|meine|Frau|.","Introducing a wife.","That is my wife."
"Das ist mein Mann.","Das|ist|mein|Mann|.","Introducing a husband.","That is my husband."
"Das sind unsere Kinder.","Das|sind|unsere|Kinder|.","Introducing children.","These are our children."
"Wer ist das auf dem Foto?","Wer|ist|das|auf|dem|Foto|?","Asking about someone in a picture.","Who is that in the photo?"
"Ist das deine Schwester?","Ist|das|deine|Schwester|?","Asking to confirm identity (informal).","Is that your sister?"
"Ja, das ist meine Schwester.","Ja|,|das|ist|meine|Schwester|.","Confirming identity.","Yes, that is my sister."
"Nein, das ist meine Freundin.","Nein|,|das|ist|meine|Freundin|.","Correcting identity.","No, that is my friend."
"Ist das dein Bruder?","Ist|das|dein|Bruder|?","Asking to confirm identity (informal male).","Is that your brother?"
"Sind das deine Großeltern?","Sind|das|deine|Großeltern|?","Asking to confirm plural identity.","Are those your grandparents?"
"Ist das Ihr Mann?","Ist|das|Ihr|Mann|?","Asking to confirm identity (formal).","Is that your husband?"
"Sind das Ihre Kinder?","Sind|das|Ihre|Kinder|?","Asking to confirm plural identity (formal).","Are those your children?"
"Hast du keine Geschwister?","Hast|du|keine|Geschwister|?","Negative question about siblings.","Do you not have siblings?"
"Doch, ich habe einen Bruder.","Doch|,|ich|habe|einen|Bruder|.","Using 'doch' to say yes to a negative question.","Yes I do, I have a brother."
"Bist du nicht verheiratet?","Bist|du|nicht|verheiratet|?","Negative question about marital status.","Are you not married?"
"Doch, ich bin verheiratet.","Doch|,|ich|bin|verheiratet|.","Contradicting the negative question.","Yes, I am married."
"Welche Sprachen sprichst du?","Welche|Sprachen|sprichst|du|?","Asking about languages (informal).","Which languages do you speak?"
"Welche Sprachen sprechen Sie?","Welche|Sprachen|sprechen|Sie|?","Asking about languages (formal).","Which languages do you speak? (formal)"
"Ich spreche Deutsch und Englisch.","Ich|spreche|Deutsch|und|Englisch|.","Listing languages spoken.","I speak German and English."
"Sprichst du Spanisch?","Sprichst|du|Spanisch|?","Yes/No question about a language.","Do you speak Spanish?"
"Ja, ich spreche sehr gut Spanisch.","Ja|,|ich|spreche|sehr|gut|Spanisch|.","Answering with degree of proficiency.","Yes, I speak Spanish very well."
