sentence,words,tip,translation_en
"Wer macht heute den Haushalt?","Wer|macht|heute|den|Haushalt|?","Asking about chores.","Who is doing the household chores today?"
"Ich bin heute dran.","Ich|bin|heute|dran|.","Stating it is your turn.","It is my turn today."
"Bist du mit dem Putzen dran?","Bist|du|mit|dem|Putzen|dran|?","Asking if it's someone's turn.","Is it your turn to clean?"
"Nein, ich war gestern dran.","Nein|,|ich|war|gestern|dran|.","Denying it's your turn.","No, it was my turn yesterday."
"Die Küche ist sehr schmutzig.","Die|Küche|ist|sehr|schmutzig|.","Complaining about a room.","The kitchen is very dirty."
"Der Boden ist dreckig.","Der|Boden|ist|dreckig|.","Complaining about the floor.","The floor is filthy."
"Ich wische den Boden.","Ich|wische|den|Boden|.","Stating a chore.","I am mopping the floor."
"Kannst du bitte staubsaugen?","Kannst|du|bitte|staubsaugen|?","Polite request for a chore.","Can you please vacuum?"
"Ja, ich sauge das Wohnzimmer.","Ja|,|ich|sauge|das|Wohnzimmer|.","Confirming a chore.","Yes, I will vacuum the living room."
"Wer bringt den Müll raus?","Wer|bringt|den|Müll|raus|?","Asking about the trash.","Who is taking out the trash?"
"Ich bringe ihn raus.","Ich|bringe|ihn|raus|.","Using Accusative 'ihn' for Müll.","I will take it out."
"Die Spülmaschine ist voll.","Die|Spülmaschine|ist|voll|.","Noticing a full appliance.","The dishwasher is full."
"Räumst du sie bitte aus?","Räumst|du|sie|bitte|aus|?","Using Accusative 'sie' for Spülmaschine.","Will you empty it, please?"
"Die Wäsche ist nass.","Die|Wäsche|ist|nass|.","Noticing wet laundry.","The laundry is wet."
"Ich hänge sie auf.","Ich|hänge|sie|auf|.","Using Accusative 'sie' for Wäsche.","I am hanging it up."
"Wo ist das Geschirr?","Wo|ist|das|Geschirr|?","Asking for the dishes.","Where are the dishes?"
"Ich spüle es jetzt.","Ich|spüle|es|jetzt|.","Using Accusative 'es' for Geschirr.","I am washing them now."
"Und ich trockne es ab.","Und|ich|trockne|es|ab|.","Using Accusative 'es' for Geschirr.","And I am drying them."
"Dein Zimmer ist sehr unordentlich.","Dein|Zimmer|ist|sehr|unordentlich|.","Complaining about a mess.","Your room is very messy."
"Räum es bitte auf!","Räum|es|bitte|auf|!","Imperative with Accusative 'es'.","Please tidy it up!"
"Das nervt mich!","Das|nervt|mich|!","Expressing annoyance.","That annoys me!"
"Du bist so unordentlich.","Du|bist|so|unordentlich|.","Criticizing a roommate.","You are so messy."
"Ich ärgere mich über dich.","Ich|ärgere|mich|über|dich|.","Expressing anger.","I am annoyed with you."
"Es tut mir leid.","Es|tut|mir|leid|.","Apologizing.","I am sorry."
"Ich mache es sofort sauber.","Ich|mache|es|sofort|sauber|.","Promising to clean immediately.","I will clean it immediately."
"Wir brauchen einen Putzplan.","Wir|brauchen|einen|Putzplan|.","Suggesting a solution for a flatshare.","We need a cleaning schedule."
"Der Putzplan hängt in der Küche.","Der|Putzplan|hängt|in|der|Küche|.","Stating where the schedule is.","The cleaning schedule hangs in the kitchen."
"Wer putzt diese Woche das Bad?","Wer|putzt|diese|Woche|das|Bad|?","Asking about the schedule.","Who is cleaning the bathroom this week?"
"Ich putze es am Samstag.","Ich|putze|es|am|Samstag|.","Promising to clean a neuter room.","I will clean it on Saturday."
"Vergiss den Müll nicht!","Vergiss|den|Müll|nicht|!","Reminding someone.","Don't forget the trash!"
"Ich vergesse ihn nicht.","Ich|vergesse|ihn|nicht|.","Reassuring someone.","I won't forget it."
"Ich hasse bügeln.","Ich|hasse|bügeln|.","Stating a disliked chore.","I hate ironing."
"Dann bügle ich deine Hemden.","Dann|bügle|ich|deine|Hemden|.","Offering to do a chore.","Then I will iron your shirts."
"Das ist sehr nett von dir.","Das|ist|sehr|nett|von|dir|.","Thanking someone.","That is very nice of you."
"Ich liebe dich!","Ich|liebe|dich|!","Expressing affection (Accusative).","I love you!"
"Kaufst du Spülmittel?","Kaufst|du|Spülmittel|?","Asking someone to buy supplies.","Are you buying dish soap?"
"Wir haben keins mehr.","Wir|haben|keins|mehr|.","Stating something is empty/out.","We don't have any more."
"Ich habe eine Nachricht für dich.","Ich|habe|eine|Nachricht|für|dich|.","Leaving a note.","I have a message for you."
"Der Zettel liegt auf dem Tisch.","Der|Zettel|liegt|auf|dem|Tisch|.","Stating where a note is.","The note is on the table."
"Rufst du mich an?","Rufst|du|mich|an|?","Asking for a phone call (Accusative).","Will you call me?"
"Ja, ich rufe dich später an.","Ja|,|ich|rufe|dich|später|an|.","Confirming a call.","Yes, I will call you later."
"Besuchst du uns am Sonntag?","Besuchst|du|uns|am|Sonntag|?","Asking for a visit (Accusative).","Are you visiting us on Sunday?"
"Ja, ich besuche euch gern.","Ja|,|ich|besuche|euch|gern|.","Confirming a visit to multiple people.","Yes, I will gladly visit you all."
"Ich sehe Sie nicht, Herr Müller.","Ich|sehe|Sie|nicht|,|Herr|Müller|.","Using formal 'Sie' in Accusative.","I don't see you, Mr. Müller."
"Fragst du ihn?","Fragst|du|ihn|?","Asking if someone asks a male.","Are you asking him?"
"Nein, ich frage sie.","Nein|,|ich|frage|sie|.","Stating you ask a female.","No, I am asking her."
"Stört dich die Musik?","Stört|dich|die|Musik|?","Asking if something is annoying.","Does the music bother you?"
"Nein, sie stört mich nicht.","Nein|,|sie|stört|mich|nicht|.","Confirming no annoyance.","No, it doesn't bother me."
"Die Pflanzen brauchen Wasser.","Die|Pflanzen|brauchen|Wasser|.","Noticing a task.","The plants need water."
"Gießt du sie bitte?","Gießt|du|sie|bitte|?","Asking to water plants (plural 'sie').","Will you water them, please?"
"Der Herd ist total dreckig.","Der|Herd|ist|total|dreckig|.","Complaining about the stove.","The stove is totally filthy."
"Machst du ihn sauber?","Machst|du|ihn|sauber|?","Asking someone to clean the stove.","Are you cleaning it?"
"Das ist nicht meine Aufgabe.","Das|ist|nicht|meine|Aufgabe|.","Denying responsibility.","That is not my task."
"Wir streiten oft über den Haushalt.","Wir|streiten|oft|über|den|Haushalt|.","Stating a common conflict.","We often argue about the household chores."
"Bitte sei nicht wütend.","Bitte|sei|nicht|wütend|.","Asking someone not to be mad.","Please don't be furious."
"Ich mache es ja schon.","Ich|mache|es|ja|schon|.","Agreeing to do it reluctantly.","I am already doing it."
"Du bist wirklich fleißig.","Du|bist|wirklich|fleißig|.","Giving a compliment.","You are really hardworking."
"Anna ist sehr faul.","Anna|ist|sehr|faul|.","Criticizing someone.","Anna is very lazy."
"Sie räumt nie auf.","Sie|räumt|nie|auf|.","Describing bad habits.","She never tidies up."
"Ich bitte dich um Hilfe.","Ich|bitte|dich|um|Hilfe|.","Asking for help.","I am asking you for help."
