test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null nach Berlin fahren. (want)","will","wollen","1st person singular of 'wollen'","I want to travel to Berlin.","wollen: ich -> will (irregular!)."
"null du einen Kaffee trinken? (want)","Willst","wollen","2nd person singular of 'wollen'","Do you want to drink a coffee?","wollen: du -> willst (irregular!)."
"Er null heute ins Kino gehen. (wants)","will","wollen","3rd person singular of 'wollen'","He wants to go to the cinema today.","wollen: er/sie/es -> will (no -t ending!)."
"Wir null ein Auto kaufen. (want)","wollen","wollen","1st person plural of 'wollen'","We want to buy a car.","wollen: wir -> wollen."
"null ihr nach Spanien fliegen? (want)","Wollt","wollen","2nd person plural of 'wollen'","Do you all want to fly to Spain?","wollen: ihr -> wollt."
"Sie (plural) null eine Pizza essen. (want)","wollen","wollen","3rd person plural of 'wollen'","They want to eat a pizza.","wollen: sie -> wollen."
"Ich null am Wochenende arbeiten. (must/have to)","muss","müssen","1st person singular of 'müssen'","I have to work on the weekend.","müssen: ich -> muss (irregular!)."
"null du heute einkaufen? (must)","Musst","müssen","2nd person singular of 'müssen'","Do you have to shop today?","müssen: du -> musst (irregular!)."
"Anna null in Frankfurt umsteigen. (must)","muss","müssen","3rd person singular of 'müssen'","Anna has to transfer in Frankfurt.","müssen: er/sie/es -> muss (no -t ending!)."
"Wir null pünktlich sein. (must)","müssen","müssen","1st person plural of 'müssen'","We must be on time.","müssen: wir -> müssen."
"null ihr morgen früh aufstehen? (must)","Müsst","müssen","2nd person plural of 'müssen'","Do you all have to get up early tomorrow?","müssen: ihr -> müsst."
"Ich fahre mit null Zug. (der)","dem","mit","Dativ masculine article after 'mit'","I travel by train.","mit + Dativ: der Zug -> dem Zug."
"Er fährt mit null Bus. (der)","dem","mit","Dativ masculine article after 'mit'","He travels by bus.","mit + Dativ: der Bus -> dem Bus."
"Wir fahren mit null U-Bahn. (die)","der","mit","Dativ feminine article after 'mit'","We travel by subway.","mit + Dativ: die U-Bahn -> der U-Bahn."
"Sie fährt mit null Straßenbahn. (die)","der","mit","Dativ feminine article after 'mit'","She travels by tram.","mit + Dativ: die Straßenbahn -> der Straßenbahn."
