text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Guten Tag, ich rufe wegen der 3-Zimmer-Wohnung an. Ist sie noch frei? - Ja, sie ist noch frei.","Warum ruft die Person an?","Wegen einer Wohnung (3 Zimmer)","Wegen einem Auto","Wegen einem Job","Wegen einem Möbelstück","Good day, I am calling about the 3-room apartment. Is it still available? - Yes, it is still available.","Listen to the reason for the call 'wegen der 3-Zimmer-Wohnung'."
"Die Wohnung ist sehr schön, aber sie ist mir leider zu teuer. 1000 Euro Kaltmiete!","Warum nimmt die Person die Wohnung nicht?","Sie ist zu teuer.","Sie ist zu klein.","Sie ist zu dunkel.","Sie ist am Stadtrand.","The apartment is very beautiful, but unfortunately it is too expensive for me. 1000 euros basic rent!","Listen to the adjective 'zu teuer'."
"Wie groß ist die Wohnung? - Sie hat genau 75 Quadratmeter.","Wie groß ist die Wohnung?","75 Quadratmeter","85 Quadratmeter","70 Quadratmeter","57 Quadratmeter","How big is the apartment? - It has exactly 75 square meters.","Listen to the number 'fünfundsiebzig'."
"Gibt es einen Balkon? - Nein, aber die Wohnung hat eine sehr große Terrasse.","Was hat die Wohnung?","Eine Terrasse","Einen Balkon","Einen Garten","Eine Garage","Is there a balcony? - No, but the apartment has a very big terrace.","Listen to the alternative after 'Nein, aber...'."
"Die Kaltmiete ist 500 Euro und die Nebenkosten sind 150 Euro. - Also 650 Euro Warmmiete? - Genau.","Wie hoch ist die Warmmiete?","650 Euro","500 Euro","150 Euro","750 Euro","The basic rent is 500 euros and the utilities are 150 euros. - So 650 euros total rent? - Exactly.","Add Kaltmiete and Nebenkosten, or listen to the confirmation 'Also 650 Euro'."
"Ich wohne im dritten Stock. - Gibt es einen Aufzug? - Nein, leider nicht. Treppen steigen ist gesund!","Wo wohnt die Person?","Im dritten Stock","Im Erdgeschoss","Im ersten Stock","Im vierten Stock","I live on the third floor. - Is there an elevator? - No, unfortunately not. Climbing stairs is healthy!","Listen to the floor 'dritten Stock'."
"Die Küche gefällt mir sehr gut. Sie ist schön hell. - Ja, das Fenster ist sehr groß.","Wie findet die Person die Küche?","Sehr gut (schön hell)","Zu dunkel","Zu klein","Zu teuer","I like the kitchen very much. It is beautifully bright. - Yes, the window is very big.","Listen to the positive reaction 'gefällt mir sehr gut'."
"Wem gehört das Auto vor der Garage? - Das gehört mir. Warum? - Sie dürfen hier nicht parken!","Wem gehört das Auto?","Der ersten Person (mir)","Dem Vermieter","Dem Nachbarn","Niemandem","Who does the car in front of the garage belong to? - That belongs to me. Why? - You are not allowed to park here!","'Das gehört mir' means it belongs to the speaker."
"Das Schlafzimmer ist leider sehr dunkel. Es hat nur ein kleines Fenster.","Wie ist das Schlafzimmer?","Sehr dunkel","Sehr hell","Sehr laut","Sehr groß","The bedroom is unfortunately very dark. It only has one small window.","Listen to the adjective 'dunkel'."
"Wir suchen eine neue Wohnung. Am besten im Zentrum. - Das wird teuer!","Wo wollen sie wohnen?","Im Zentrum","Am Stadtrand","Auf dem Land","Im Erdgeschoss","We are looking for a new apartment. Ideally in the center. - That will be expensive!","Listen to the desired location 'im Zentrum'."
"Ich habe eine Anzeige gelesen: 2 ZKB, 60 qm, KM 450 Euro. - Das klingt gut!","Wie viele Zimmer hat die Wohnung aus der Anzeige?","2 Zimmer","3 Zimmer","4 Zimmer","1 Zimmer","I read an ad: 2 ZKB, 60 sqm, KM 450 euros. - That sounds good!","'2 ZKB' means 2 Zimmer, Küche, Bad."
"Die Wohnung liegt am Stadtrand. Es ist dort sehr ruhig und grün.","Wie ist es am Stadtrand?","Ruhig und grün","Laut und stressig","Teuer und dunkel","Zentral und laut","The apartment is on the outskirts. It is very quiet and green there.","Listen to the adjectives 'ruhig und grün'."
"Ist das Bad neu? - Ja, wir haben das Badewanne, Dusche und Waschbecken letztes Jahr neu gemacht.","Was gibt es im Bad?","Badewanne, Dusche, Waschbecken","Nur eine Dusche","Nur eine Badewanne","Ein Fenster","Is the bathroom new? - Yes, we renewed the bathtub, shower, and sink last year.","Listen to the three items listed."
"Wann kann ich die Wohnung besichtigen? - Passt es Ihnen am Freitag um 16 Uhr? - Ja, perfekt.","Wann ist der Termin für die Besichtigung?","Am Freitag um 16 Uhr","Am Donnerstag um 16 Uhr","Am Freitag um 18 Uhr","Heute um 16 Uhr","When can I view the apartment? - Does Friday at 4 PM suit you? - Yes, perfect.","Listen to the day and time."
"Ich ziehe am Wochenende um. Kannst du mir helfen? - Klar, ich helfe dir gern.","Was macht die Person am Wochenende?","Sie zieht um.","Sie feiert eine Party.","Sie streicht die Wände.","Sie kauft Möbel.","I am moving on the weekend. Can you help me? - Sure, I'll gladly help you.","'umziehen' means to move."
