text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Hallo, ich bin Julia. Ich bin 24 Jahre alt.","Wie alt ist Julia?","24","20","34","44","Hello, I am Julia. I am 24 years old.","Listen to the number after 'Ich bin'."
"Mein Name ist Markus. Ich arbeite als Ingenieur.","Was ist Markus von Beruf?","Ingenieur","Architekt","Kellner","Journalist","My name is Markus. I work as an engineer.","Listen for the word after 'arbeite als'."
"Guten Tag, ich bin Frau Müller. Ich arbeite bei Siemens.","Wo arbeitet Frau Müller?","Bei Siemens","Bei VW","Bei X-Media","Im Krankenhaus","Good day, I am Mrs. Müller. I work at Siemens.","Listen for the company name after 'bei'."
"Hallo! Ich bin Mette. Ich bin Studentin und arbeite als Kellnerin.","Was ist Mettes Job?","Kellnerin","Studentin","Ärztin","Friseurin","Hello! I am Mette. I am a student and work as a waitress.","'Kellnerin' is her job (arbeite als), 'Studentin' is her main status."
"Kommst du aus Österreich? - Nein, aus der Schweiz. Aber ich wohne in München.","Wo wohnt die Person?","In München","In Österreich","In der Schweiz","In Berlin","Do you come from Austria? - No, from Switzerland. But I live in Munich.","Listen for the city after 'wohne in'."
"Bist du verheiratet, Tom? - Nein, ich bin Single.","Ist Tom verheiratet?","Nein, er ist Single.","Ja, er ist verheiratet.","Er ist geschieden.","Weiß nicht.","Are you married, Tom? - No, I am single.","Listen to his response 'Nein, ich bin Single'."
"Wir haben zwei Kinder, einen Sohn und eine Tochter.","Wie viele Kinder haben sie?","Zwei","Eins","Drei","Keine","We have two children, a son and a daughter.","Listen for the number 'zwei'."
"Ich heiße Paco. Ich bin 23 und komme aus Mexiko.","Wie alt ist Paco?","23","20","30","33","My name is Paco. I am 23 and come from Mexico.","Listen to the number '23'."
"Frau Wachter ist Architektin. Sie lebt in Bonn.","Was ist Frau Wachter von Beruf?","Architektin","Journalistin","Friseurin","Ingenieurin","Mrs. Wachter is an architect. She lives in Bonn.","Listen for the profession mentioned."
"Herr Bäuerlein arbeitet als IT-Spezialist in Köln.","Wo arbeitet Herr Bäuerlein?","In Köln","In Bonn","In Berlin","In München","Mr. Bäuerlein works as an IT specialist in Cologne.","Listen for the city at the end."
"Nadine und Sven wohnen in Berlin. Sie sind nicht verheiratet.","Wohnen Nadine und Sven zusammen?","Weiß nicht genau, aber in Berlin","Nein, in Köln","Ja, sie sind verheiratet","Nein, sie sind geschieden","Nadine and Sven live in Berlin. They are not married.","The text only says they live in Berlin and are not married."
"Was haben Sie gemeinsam? - Wir arbeiten beide bei VW.","Wo arbeiten sie?","Bei VW","Bei Siemens","Bei X-Media","Bei BMW","What do you have in common? - We both work at VW.","Listen for the company name."
"Ich bin 34 Jahre alt. - Hey super, ich bin auch 34!","Wie alt ist die zweite Person?","34","44","24","30","I am 34 years old. - Hey great, I am also 34!","Listen for 'auch 34'."
"Sind Sie Ärztin? - Nein, ich bin Historikerin.","Was ist die Frau von Beruf?","Historikerin","Ärztin","Studentin","Journalistin","Are you a doctor? - No, I am a historian.","Listen to the correction after 'Nein'."
"Ich bin Schauspieler und arbeite im Theater.","Was ist sein Beruf?","Schauspieler","Kellner","Arzt","Mechatroniker","I am an actor and work in the theater.","Listen to the profession."
"Meine Handynummer ist null, eins, sieben, sechs...","Wie fängt die Nummer an?","0176","0157","0171","0162","My cell phone number is zero, one, seven, six...","Convert the spoken numbers: null (0), eins (1), sieben (7), sechs (6)."
"Wir sind geschieden. Ich lebe in Hamburg und er in Hannover.","Wo lebt die Frau?","In Hamburg","In Hannover","In Berlin","Zusammen","We are divorced. I live in Hamburg and he lives in Hanover.","Listen to the first city she mentions for herself."
"Das ist mein Bruder. Er ist Mechatroniker.","Was macht der Bruder?","Er ist Mechatroniker.","Er ist Architekt.","Er studiert.","Er ist arbeitslos.","This is my brother. He is a mechatronics engineer.","Listen to the profession."
"Wohnst du in Wien? - Nein, ich studiere in Kopenhagen.","Wo studiert die Person?","In Kopenhagen","In Wien","In Berlin","In München","Do you live in Vienna? - No, I study in Copenhagen.","Listen for the city after 'studiere in'."
"Ich bin 45 Jahre alt und arbeite als Journalist.","Wie alt ist der Mann?","45","54","40","50","I am 45 years old and work as a journalist.","Listen for the number 'fünfundvierzig'."
"Haben Sie Kinder? - Ja, drei.","Wie viele Kinder hat die Person?","Drei","Zwei","Eins","Vier","Do you have children? - Yes, three.","Listen for the number."
"Mein Familienname ist Svendsen. S-V-E-N-D-S-E-N.","Wie lautet der Familienname?","Svendsen","Svenson","Swendsen","Svenden","My last name is Svendsen. S-V-E-N-D-S-E-N.","Pay attention to the spelling."
"Arbeiten Sie bei Siemens? - Nein, bei X-Media.","Wo arbeitet die Person?","Bei X-Media","Bei Siemens","Bei VW","Im Krankenhaus","Do you work at Siemens? - No, at X-Media.","Listen to the correction after 'Nein'."
"Ich lebe mit meinem Kind in Leipzig. Ich bin Single.","Wie ist der Familienstand?","Single","Verheiratet","Geschieden","Weiß nicht","I live with my child in Leipzig. I am single.","Listen to the phrase 'Ich bin Single'."
"Bist du Student? - Ja, ich studiere Informatik.","Ist er Student?","Ja","Nein","Er arbeitet als IT-Spezialist","Er ist Schüler","Are you a student? - Yes, I study computer science.","Listen to the confirmation 'Ja'."
"Meine Visitenkarte: Ich heiße Barbara Meinhardt.","Wie ist der Vorname?","Barbara","Meinhardt","Bäuerlein","Wachter","My business card: My name is Barbara Meinhardt.","'Vorname' means first name."
"Ich glaube, er ist 60. - Nein, er ist schon 67!","Wie alt ist er?","67","60","76","70","I think he is 60. - No, he is already 67!","Listen to the correction 'siebenundsechzig'."
