test_text,answer,test_verb,tip,meaning,grammar_tip
"Welche Sprachen null du?","sprichst","sprechen","2nd person singular of 'sprechen' (vowel change e->i)","Which languages do you speak?","sprechen: du → sprichst (e changes to i)"
"Ich null gut Deutsch.","spreche","sprechen","1st person singular of 'sprechen'","I speak good German.","sprechen: ich → spreche"
"Er null Spanisch.","spricht","sprechen","3rd person singular of 'sprechen' (vowel change e->i)","He speaks Spanish.","sprechen: er → spricht (e changes to i)"
"Sie (she) null perfekt Englisch.","spricht","sprechen","3rd person singular of 'sprechen' (vowel change e->i)","She speaks perfect English.","sprechen: sie (she) → spricht"
"Wir null Russisch.","sprechen","sprechen","1st person plural of 'sprechen'","We speak Russian.","sprechen: wir → sprechen"
"Ihr null Türkisch.","sprecht","sprechen","2nd person plural of 'sprechen' (no vowel change)","You all speak Turkish.","sprechen: ihr → sprecht"
"Welche Sprachen null Sie?","sprechen","sprechen","Formal 'you' for 'sprechen'","Which languages do you speak? (formal)","sprechen: Sie → sprechen"
"Was null du?","liest","lesen","2nd person singular of 'lesen' (vowel change e->ie)","What are you reading?","lesen: du → liest (e changes to ie)"
"Ich null ein Buch.","lese","lesen","1st person singular of 'lesen'","I am reading a book.","lesen: ich → lese"
"Der Großvater null.","liest","lesen","3rd person singular of 'lesen' (vowel change e->ie)","The grandfather is reading.","lesen: er → liest (e changes to ie)"
"Wir null den Text.","lesen","lesen","1st person plural of 'lesen'","We are reading the text.","lesen: wir → lesen"
"Ihr null die Wörter.","lest","lesen","2nd person plural of 'lesen' (no vowel change)","You all are reading the words.","lesen: ihr → lest"
"null Sie das Interview.","Lesen","lesen","Formal imperative of 'lesen'","Read the interview.","lesen: Sie → lesen"
"Das ist null Vater.","mein","mein","Possessive for masculine noun (der Vater)","That is my father.","Possessive (Nominative): masculine → mein"
"Das ist null Mutter.","meine","mein","Possessive for feminine noun (die Mutter)","That is my mother.","Possessive (Nominative): feminine → meine (add -e)"
"Das ist null Kind.","mein","mein","Possessive for neuter noun (das Kind)","That is my child.","Possessive (Nominative): neuter → mein"
"Das sind null Eltern.","meine","mein","Possessive for plural noun (die Eltern)","These are my parents.","Possessive (Nominative): plural → meine (add -e)"
"Ist das null Bruder? (informal)","dein","dein","Possessive for masculine noun (der Bruder)","Is that your brother?","Possessive (Nominative): masculine → dein"
"Ist das null Schwester? (informal)","deine","dein","Possessive for feminine noun (die Schwester)","Is that your sister?","Possessive (Nominative): feminine → deine (add -e)"
"Ist das null Baby? (informal)","dein","dein","Possessive for neuter noun (das Baby)","Is that your baby?","Possessive (Nominative): neuter → dein"
"Sind das null Großeltern? (informal)","deine","dein","Possessive for plural noun (die Großeltern)","Are those your grandparents?","Possessive (Nominative): plural → deine (add -e)"
"Ist das null Ehemann? (formal)","Ihr","Ihr","Possessive for masculine noun (der Ehemann)","Is that your husband?","Possessive (Nominative): formal masculine → Ihr (capital I)"
"Ist das null Frau? (formal)","Ihre","Ihr","Possessive for feminine noun (die Frau)","Is that your wife?","Possessive (Nominative): formal feminine → Ihre (capital I, add -e)"
"Ist das null Foto? (formal)","Ihr","Ihr","Possessive for neuter noun (das Foto)","Is that your photo?","Possessive (Nominative): formal neuter → Ihr"
"Sind das null Kinder? (formal)","Ihre","Ihr","Possessive for plural noun (die Kinder)","Are those your children?","Possessive (Nominative): formal plural → Ihre (capital I, add -e)"
"Bist du nicht verheiratet? – null! Ich bin verheiratet.","Doch","doch","Answering a negative question positively","Are you not married? – Yes, I am!","Use 'doch' to contradict a negative question or statement."
"Hast du keine Kinder? – null! Ich habe zwei.","Doch","doch","Answering a negative question positively","Don't you have children? – Yes, I have two.","Use 'doch' to contradict a negative question or statement."
"Sprichst du kein Deutsch? – null, ein bisschen.","Doch","doch","Answering a negative question positively","Do you not speak German? – Yes, a little.","Use 'doch' to contradict a negative question or statement."
"Ist das nicht dein Bruder? – null, das ist mein Bruder.","Doch","doch","Answering a negative question positively","Is that not your brother? – Yes, that is my brother.","Use 'doch' to contradict a negative question or statement."
"Bist du Single? – null, ich bin Single.","Ja","ja","Answering a positive question positively","Are you single? – Yes, I am single.","Use 'Ja' for positive agreement."
"Hast du Kinder? – null, ich habe keine Kinder.","Nein","nein","Answering a positive question negatively","Do you have children? – No, I have no children.","Use 'Nein' for negative agreement."
"Sie null Arabisch.","spricht","sprechen","3rd person singular of 'sprechen'","She speaks Arabic.","sprechen: sie (she) → spricht"
"Wir null kein Chinesisch.","sprechen","sprechen","1st person plural of 'sprechen'","We speak no Chinese.","sprechen: wir → sprechen"
"Was null er?","liest","lesen","3rd person singular of 'lesen'","What is he reading?","lesen: er → liest"
"Das ist null Kollege.","mein","mein","Possessive for masculine noun","That is my colleague.","Possessive: der Kollege -> mein"
"Das ist null Kollegin.","meine","mein","Possessive for feminine noun","That is my female colleague.","Possessive: die Kollegin -> meine"
"Ist das null Freund? (informal)","dein","dein","Possessive for masculine noun","Is that your friend?","Possessive: der Freund -> dein"
