test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null dich heute an.","rufe","anrufen","1st person singular of separable verb 'anrufen'","I will call you today.","Separable verb: anrufen -> Ich rufe ... an."
"null du mich morgen an?","Rufst","anrufen","2nd person singular of 'anrufen'","Are you calling me tomorrow?","Separable verb: anrufen -> Rufst du ... an?"
"Er null jetzt im Büro an.","ruft","anrufen","3rd person singular of 'anrufen'","He is calling the office now.","Separable verb: anrufen -> Er ruft ... an."
"Wir null Sie später an.","rufen","anrufen","1st person plural of 'anrufen'","We will call you later.","Separable verb: anrufen -> Wir rufen ... an."
"null Sie mich bitte zurück.","Rufen","zurückrufen","Formal imperative of 'zurückrufen'","Please call me back.","Separable verb imperative: Rufen Sie ... zurück."
"Ich brauche null Drucker. (a)","einen","ein","Akkusativ masculine indefinite article","I need a printer.","Akkusativ: der Drucker -> einen Drucker (after brauchen)."
"Ich habe null Computer. (no)","keinen","kein","Akkusativ masculine negative article","I have no computer.","Akkusativ: der Computer -> keinen Computer (after haben)."
"Wir suchen null Chef. (the)","den","der","Akkusativ masculine definite article","We are looking for the boss.","Akkusativ: der Chef -> den Chef (after suchen)."
"Hast du null Stift? (a)","einen","ein","Akkusativ masculine indefinite article","Do you have a pen?","Akkusativ: der Stift -> einen Stift."
"Ich brauche null Tastatur. (a)","eine","ein","Akkusativ feminine indefinite article","I need a keyboard.","Akkusativ: die Tastatur -> eine Tastatur."
"Ich habe null E-Mail von Paul. (an)","eine","ein","Akkusativ feminine indefinite article","I have an email from Paul.","Akkusativ: die E-Mail -> eine E-Mail."
"Wir haben null Zeit. (no)","keine","kein","Akkusativ feminine negative article","We have no time.","Akkusativ: die Zeit -> keine Zeit."
"Ich suche null Maus. (the)","die","der","Akkusativ feminine definite article","I am looking for the mouse.","Akkusativ: die Maus -> die Maus."
"Ich brauche null Telefon. (a)","ein","ein","Akkusativ neuter indefinite article","I need a telephone.","Akkusativ: das Telefon -> ein Telefon."
"Ich habe null Smartphone. (no)","kein","kein","Akkusativ neuter negative article","I have no smartphone.","Akkusativ: das Smartphone -> kein Smartphone."
"Hast du null Büro? (a)","ein","ein","Akkusativ neuter indefinite article","Do you have an office?","Akkusativ: das Büro -> ein Büro."
