test_text,answer,test_verb,tip,meaning,grammar_tip
"Heute ist null erste Mai. (the)","der","der","Nominative definite article masculine (der Tag)","Today is the first of May.","Nominative date: Heute ist der 1. (erste) [Monat]."
"Heute ist null zweite August. (the)","der","der","Nominative definite article masculine","Today is the second of August.","Nominative date: Heute ist der 2. (zweite)."
"Heute ist null dritte Oktober. (the)","der","der","Nominative definite article masculine","Today is the third of October.","Nominative date: Heute ist der 3. (dritte)."
"Heute ist null vierte November. (the)","der","der","Nominative definite article masculine","Today is the fourth of November.","Nominative date: Heute ist der 4. (vierte)."
"Heute ist null siebte Juli. (the)","der","der","Nominative definite article masculine","Today is the seventh of July.","Nominative date: Heute ist der 7. (siebte)."
"Heute ist null achte Dezember. (the)","der","der","Nominative definite article masculine","Today is the eighth of December.","Nominative date: Heute ist der 8. (achte)."
"Heute ist null zwanzigste Januar. (the)","der","der","Nominative definite article masculine","Today is the twentieth of January.","Nominative date >= 20: Heute ist der 20. (zwanzigste)."
"Heute ist null einunddreißigste Dezember. (the)","der","der","Nominative definite article masculine","Today is the thirty-first of December.","Nominative date >= 20: Heute ist der 31. (einunddreißigste)."
"Ich habe null ersten Mai Geburtstag. (on the)","am","an","Dative contraction (an + dem) for answering 'Wann?'","I have my birthday on the first of May.","Dative date (Wann?): am 1. (ersten)."
"Wir feiern null zweiten August. (on the)","am","an","Dative contraction (an + dem) for answering 'Wann?'","We celebrate on the second of August.","Dative date (Wann?): am 2. (zweiten)."
"Das Fest ist null dritten Oktober. (on the)","am","an","Dative contraction (an + dem) for answering 'Wann?'","The festival is on the third of October.","Dative date (Wann?): am 3. (dritten)."
"Die Hochzeit ist null siebten Juli. (on the)","am","an","Dative contraction (an + dem) for answering 'Wann?'","The wedding is on the seventh of July.","Dative date (Wann?): am 7. (siebten)."
"Ich komme null achten Dezember. (on the)","am","an","Dative contraction (an + dem) for answering 'Wann?'","I am coming on the eighth of December.","Dative date (Wann?): am 8. (achten)."
"Die Party ist null zwanzigsten Januar. (on the)","am","an","Dative contraction (an + dem) for answering 'Wann?'","The party is on the twentieth of January.","Dative date >= 20: am 20. (zwanzigsten)."
"Silvester ist null einunddreißigsten Dezember. (on the)","am","an","Dative contraction (an + dem) for answering 'Wann?'","New Year's Eve is on the thirty-first of December.","Dative date >= 20: am 31. (einunddreißigsten)."
"Ich lade dich zur Party null. (einladen)","ein","einladen","Separable prefix at the end","I invite you to the party.","Separable verb: einladen -> lade ... ein."
"null du mich zu deiner Feier ein? (einladen)","Lädst","einladen","2nd person singular of 'einladen' (a -> ä)","Are you inviting me to your celebration?","einladen: du -> lädst ... ein (irregular!)."
"Er null seine Freunde ein. (einladen)","lädt","einladen","3rd person singular of 'einladen' (a -> ä)","He invites his friends.","einladen: er -> lädt ... ein (irregular!)."
"Die Party null am Samstag statt. (stattfinden)","findet","stattfinden","3rd person singular of separable verb 'stattfinden'","The party takes place on Saturday.","Separable verb: stattfinden -> findet ... statt."
"Wann null das Konzert statt? (stattfinden)","findet","stattfinden","3rd person singular of separable verb","When does the concert take place?","Separable verb: stattfinden -> findet ... statt."
"Ich gratuliere null zum Geburtstag! (you, informal)","dir","du","Dative pronoun for 'gratulieren'","I congratulate you on your birthday!","gratulieren takes Dative: du -> dir."
