sentence,words,tip,translation_en
"Das ist ein Tisch.","Das|ist|ein|Tisch|.","Introducing a masculine object.","That is a table."
"Der Tisch ist groß.","Der|Tisch|ist|groß|.","Describing a masculine object.","The table is big."
"Er ist sehr groß.","Er|ist|sehr|groß|.","Using the pronoun 'er' for 'der Tisch'.","It is very big."
"Das ist eine Lampe.","Das|ist|eine|Lampe|.","Introducing a feminine object.","That is a lamp."
"Die Lampe ist weiß.","Die|Lampe|ist|weiß|.","Describing a feminine object.","The lamp is white."
"Sie ist sehr modern.","Sie|ist|sehr|modern|.","Using the pronoun 'sie' for 'die Lampe'.","It is very modern."
"Das ist ein Bett.","Das|ist|ein|Bett|.","Introducing a neuter object.","That is a bed."
"Das Bett ist billig.","Das|Bett|ist|billig|.","Describing a neuter object.","The bed is cheap."
"Es kostet nur 99 Euro.","Es|kostet|nur|99|Euro|.","Using the pronoun 'es' for 'das Bett'.","It costs only 99 euros."
"Das ist kein Tisch.","Das|ist|kein|Tisch|.","Negating a masculine object with 'kein'.","That is not a table."
"Das ist keine Lampe.","Das|ist|keine|Lampe|.","Negating a feminine object with 'keine'.","That is not a lamp."
"Das ist kein Bett.","Das|ist|kein|Bett|.","Negating a neuter object with 'kein'.","That is not a bed."
"Sind das Möbel?","Sind|das|Möbel|?","Asking a plural Yes/No question.","Are those furniture?"
"Nein, das sind keine Möbel.","Nein|,|das|sind|keine|Möbel|.","Negating plural objects with 'keine'.","No, those are not furniture."
"Was kostet der Schrank?","Was|kostet|der|Schrank|?","Asking for the price of a masculine object.","What does the closet cost?"
"Er kostet 250 Euro.","Er|kostet|250|Euro|.","Answering the price using 'er'.","It costs 250 euros."
"Was kostet die Lampe?","Was|kostet|die|Lampe|?","Asking for the price of a feminine object.","What does the lamp cost?"
"Sie kostet 45 Euro und 50 Cent.","Sie|kostet|45|Euro|und|50|Cent|.","Answering the price using 'sie' and cents.","It costs 45 euros and 50 cents."
"Was kostet das Sofa?","Was|kostet|das|Sofa|?","Asking for the price of a neuter object.","What does the sofa cost?"
"Es kostet 800 Euro.","Es|kostet|800|Euro|.","Answering the price using 'es'.","It costs 800 euros."
"Ist das teuer?","Ist|das|teuer|?","Asking for an opinion on a price.","Is that expensive?"
"Nein, das ist sehr billig!","Nein|,|das|ist|sehr|billig|!","Giving an opinion on a price.","No, that is very cheap!"
"Das Angebot ist wirklich günstig.","Das|Angebot|ist|wirklich|günstig|.","Describing a special offer.","The offer is really cheap (good value)."
"Der Tisch ist zu klein.","Der|Tisch|ist|zu|klein|.","Using 'zu' for excessive degree.","The table is too small."
"Das Bett ist zu teuer.","Das|Bett|ist|zu|teuer|.","Using 'zu' for excessive degree.","The bed is too expensive."
"Wie findest du den Schrank?","Wie|findest|du|den|Schrank|?","Asking for an opinion on an object (Akkusativ 'den').","How do you find (like) the closet?"
"Ich finde ihn sehr schön.","Ich|finde|ihn|sehr|schön|.","Answering an opinion question (Akkusativ 'ihn').","I find it very beautiful."
"Wie findest du das Bild?","Wie|findest|du|das|Bild|?","Asking for an opinion on a neuter object.","How do you find (like) the picture?"
"Ich finde es hässlich.","Ich|finde|es|hässlich|.","Answering negatively about a neuter object.","I find it ugly."
"Wie findest du die Lampe?","Wie|findest|du|die|Lampe|?","Asking for an opinion on a feminine object.","How do you find (like) the lamp?"
"Ich finde sie sehr praktisch.","Ich|finde|sie|sehr|praktisch|.","Answering positively about a feminine object.","I find it very practical."
"Wir brauchen einen Tisch.","Wir|brauchen|einen|Tisch|.","Expressing need (Akkusativ 'einen').","We need a table."
"Brauchst du ein Bett?","Brauchst|du|ein|Bett|?","Asking about someone's need.","Do you need a bed?"
"Nein, ich brauche kein Bett.","Nein|,|ich|brauche|kein|Bett|.","Negating a need.","No, I don't need a bed."
"Welche Farbe hat der Sessel?","Welche|Farbe|hat|der|Sessel|?","Asking for a color.","What color is the armchair?"
"Er ist rot.","Er|ist|rot|.","Answering with color and pronoun 'er'.","It is red."
"Der Teppich ist blau und grau.","Der|Teppich|ist|blau|und|grau|.","Describing multiple colors.","The carpet is blue and gray."
"Das Zimmer ist sehr hell.","Das|Zimmer|ist|sehr|hell|.","Describing a room's lighting.","The room is very bright."
"Die Möbel sind dunkelbraun.","Die|Möbel|sind|dunkelbraun|.","Describing furniture color.","The furniture is dark brown."
"Ist der Stuhl bequem?","Ist|der|Stuhl|bequem|?","Asking about comfort.","Is the chair comfortable?"
"Ja, sehr bequem.","Ja|,|sehr|bequem|.","Confirming comfort.","Yes, very comfortable."
"Das ist ein Designer-Bett.","Das|ist|ein|Designer-Bett|.","Using a compound noun.","That is a designer bed."
"Es ist aus Italien.","Es|ist|aus|Italien|.","Stating origin.","It is from Italy."
"Der Tisch ist aus Holz.","Der|Tisch|ist|aus|Holz|.","Stating material with 'aus'.","The table is made of wood."
"Ist das Glas?","Ist|das|Glas|?","Asking about material.","Is that glass?"
"Nein, das ist Kunststoff.","Nein|,|das|ist|Kunststoff|.","Correcting a material assumption.","No, that is plastic."
"Das ist nicht aus Metall.","Das|ist|nicht|aus|Metall|.","Negating a material.","That is not made of metal."
"Wie viel wiegt das Sofa?","Wie|viel|wiegt|das|Sofa|?","Asking for weight.","How much does the sofa weigh?"
"Es wiegt 50 Kilo.","Es|wiegt|50|Kilo|.","Stating weight.","It weighs 50 kilos."
"Was sind die Maße?","Was|sind|die|Maße|?","Asking for dimensions.","What are the dimensions?"
"Der Tisch ist 100 mal 80 Zentimeter.","Der|Tisch|ist|100|mal|80|Zentimeter|.","Stating dimensions.","The table is 100 by 80 centimeters."
"Die Form ist rund.","Die|Form|ist|rund|.","Describing shape.","The shape is round."
"Der Schrank ist eckig.","Der|Schrank|ist|eckig|.","Describing shape.","The closet is angular (square/rectangular)."
"Das ist nicht rund, sondern eckig.","Das|ist|nicht|rund|,|sondern|eckig|.","Using 'nicht ..., sondern ...'.","That is not round, but angular."
"Das ist kein Stuhl, sondern ein Sessel.","Das|ist|kein|Stuhl|,|sondern|ein|Sessel|.","Using 'kein ..., sondern ein ...'.","That is not a chair, but an armchair."
