sentence,words,tip,translation_en
"Welcher Turm ist das?","Welcher|Turm|ist|das|?","Asking for a specific masculine noun.","Which tower is that?"
"Das ist der Fernsehturm.","Das|ist|der|Fernsehturm|.","Answering a 'welcher' question.","That is the TV tower."
"Welches Schloss besichtigen wir?","Welches|Schloss|besichtigen|wir|?","Asking for a specific neuter noun (Akkusativ).","Which castle are we visiting?"
"Wir besichtigen das Schloss Neuschwanstein.","Wir|besichtigen|das|Schloss|Neuschwanstein|.","Answering a 'welches' question.","We are visiting Neuschwanstein Castle."
"Welche Kirche ist das?","Welche|Kirche|ist|das|?","Asking for a specific feminine noun.","Which church is that?"
"Das ist die Frauenkirche.","Das|ist|die|Frauenkirche|.","Answering a 'welche' question.","That is the Frauenkirche."
"Welche Sehenswürdigkeiten gibt es hier?","Welche|Sehenswürdigkeiten|gibt|es|hier|?","Asking for specific plural nouns.","Which sights are there here?"
"Es gibt viele historische Gebäude.","Es|gibt|viele|historische|Gebäude|.","Stating what is available.","There are many historical buildings."
"Was für ein Turm ist das?","Was|für|ein|Turm|ist|das|?","Asking for the category of a masculine noun.","What kind of a tower is that?"
"Das ist ein alter Wasserturm.","Das|ist|ein|alter|Wasserturm|.","Answering a 'was für ein' question.","That is an old water tower."
"Was für ein Hotel suchen Sie?","Was|für|ein|Hotel|suchen|Sie|?","Asking for the category of a neuter noun (Akk).","What kind of hotel are you looking for?"
"Ich suche ein modernes Hotel.","Ich|suche|ein|modernes|Hotel|.","Answering with an adjective.","I am looking for a modern hotel."
"Was für eine Stadtführung machen wir?","Was|für|eine|Stadtführung|machen|wir|?","Asking for the category of a feminine noun (Akk).","What kind of a city tour are we doing?"
"Wir machen eine romantische Führung.","Wir|machen|eine|romantische|Führung|.","Answering with an adjective.","We are doing a romantic tour."
"Was für Souvenirs kaufst du?","Was|für|Souvenirs|kaufst|du|?","Asking for a plural category.","What kind of souvenirs are you buying?"
"Ich kaufe Postkarten.","Ich|kaufe|Postkarten|.","Answering a plural 'was für' question.","I am buying postcards."
"Der Dom ist sehr berühmt.","Der|Dom|ist|sehr|berühmt|.","Evaluating a sight.","The cathedral is very famous."
"Das Rathaus ist historisch.","Das|Rathaus|ist|historisch|.","Evaluating a sight.","The town hall is historical."
"Ich finde die Brücke sehr romantisch.","Ich|finde|die|Brücke|sehr|romantisch|.","Giving a personal opinion on a sight.","I find the bridge very romantic."
"Die Architektur hier ist sehr modern.","Die|Architektur|hier|ist|sehr|modern|.","Evaluating architecture.","The architecture here is very modern."
"Der Blick vom Turm ist fantastisch.","Der|Blick|vom|Turm|ist|fantastisch|.","Evaluating a view.","The view from the tower is fantastic."
"Das Museum ist leider ein bisschen langweilig.","Das|Museum|ist|leider|ein|bisschen|langweilig|.","Giving a negative evaluation.","The museum is unfortunately a bit boring."
