sentence,words,tip,translation_en
"Hallo! Ich bin Nicole.","Hallo|!|Ich|bin|Nicole|.","Basic introduction using 'sein'.","Hello! I am Nicole."
"Guten Morgen!","Guten|Morgen|!","Greeting used in the morning.","Good morning!"
"Guten Tag!","Guten|Tag|!","Greeting used during the day.","Good day! / Hello!"
"Guten Abend!","Guten|Abend|!","Greeting used in the evening.","Good evening!"
"Gute Nacht!","Gute|Nacht|!","Greeting used before sleeping (Nacht is feminine).","Good night!"
"Auf Wiedersehen!","Auf|Wiedersehen|!","Formal way to say goodbye.","Goodbye!"
"Tschüs!","Tschüs|!","Informal way to say goodbye.","Bye!"
"Wer bist du?","Wer|bist|du|?","W-Frage: Wer = who; informal du.","Who are you?"
"Ich bin Paco.","Ich|bin|Paco|.","Answering 'Wer bist du?'","I am Paco."
"Wie heißt du?","Wie|heißt|du|?","W-Frage: Wie = how/what; informal du.","What is your name?"
"Ich heiße Winfried.","Ich|heiße|Winfried|.","Answering 'Wie heißt du?'","My name is Winfried."
"Wie heißen Sie?","Wie|heißen|Sie|?","W-Frage: Wie = how/what; formal Sie.","What is your name? (formal)"
"Mein Name ist Frau Wachter.","Mein|Name|ist|Frau|Wachter|.","Formal introduction.","My name is Mrs. Wachter."
"Woher kommst du?","Woher|kommst|du|?","W-Frage: Woher = where from; informal du.","Where do you come from?"
"Ich komme aus Mexiko.","Ich|komme|aus|Mexiko|.","Answering origin with 'aus'.","I come from Mexico."
"Woher kommen Sie?","Woher|kommen|Sie|?","W-Frage: Woher = where from; formal Sie.","Where do you come from? (formal)"
"Ich komme aus Spanien.","Ich|komme|aus|Spanien|.","Answering origin.","I come from Spain."
"Kommst du aus Deutschland?","Kommst|du|aus|Deutschland|?","Yes/No question (Ja/Nein-Frage).","Do you come from Germany?"
"Nein, ich komme aus Österreich.","Nein|,|ich|komme|aus|Österreich|.","Answering with 'Nein'.","No, I come from Austria."
"Sie kommt aus der Schweiz.","Sie|kommt|aus|der|Schweiz|.","Die Schweiz requires the article 'der' in Dative.","She comes from Switzerland."
"Er kommt aus dem Iran.","Er|kommt|aus|dem|Iran|.","Der Iran requires the article 'dem' in Dative.","He comes from Iran."
