text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Hallo! Ich heiße Anna. Ich komme aus Berlin.","Wie heißt die Frau?","Anna","Maria","Nicole","Julia","Hello! My name is Anna. I come from Berlin.","Listen for the name after 'Ich heiße'."
"Hallo! Ich heiße Anna. Ich komme aus Berlin.","Woher kommt Anna?","Aus Berlin","Aus Hamburg","Aus München","Aus Wien","Hello! My name is Anna. I come from Berlin.","Listen for the city after 'Ich komme aus'."
"Guten Tag. Mein Name ist Winfried. Ich bin aus Österreich.","Wie heißt der Mann?","Winfried","Paco","Schmidt","Müller","Good day. My name is Winfried. I am from Austria.","Listen for the name after 'Mein Name ist'."
"Guten Tag. Mein Name ist Winfried. Ich bin aus Österreich.","Woher kommt Winfried?","Aus Österreich","Aus Deutschland","Aus Spanien","Aus der Schweiz","Good day. My name is Winfried. I am from Austria.","Listen for the country after 'Ich bin aus'."
"Hallo Paco! Kommst du aus Spanien? - Nein, ich komme aus Mexiko.","Woher kommt Paco?","Aus Mexiko","Aus Spanien","Aus Italien","Aus der Türkei","Hello Paco! Do you come from Spain? - No, I come from Mexico.","Paco says 'Nein' to Spain and states his real country."
"Guten Morgen, Herr Schmidt! Wie geht es Ihnen? - Danke, sehr gut.","Wie geht es Herr Schmidt?","Sehr gut","Nicht gut","Schlecht","Auch gut","Good morning, Mr. Schmidt! How are you? - Thanks, very good.","Listen to his response after 'Danke'."
"Grüezi! Ich bin Frau Meier. Ich komme aus der Schweiz.","Aus welchem Land kommt Frau Meier?","Aus der Schweiz","Aus Österreich","Aus Frankreich","Aus Deutschland","Hello! I am Mrs. Meier. I come from Switzerland.","'Grüezi' is a hint, and she explicitly states her country."
"Hallo, ich bin Julia. Und wer bist du? - Ich bin Tom.","Wie heißt der Mann?","Tom","Paco","Winfried","Jens","Hello, I am Julia. And who are you? - I am Tom.","Listen to the man's response."
"Guten Abend, mein Name ist Ali. Ich komme aus der Türkei.","Woher kommt Ali?","Aus der Türkei","Aus dem Iran","Aus Deutschland","Aus Mexiko","Good evening, my name is Ali. I come from Turkey.","Listen to the country mentioned at the end."
"Wie bitte? - Ich buchstabiere: P-A-C-O.","Wie ist der Name?","Paco","Baco","Taco","Paso","Pardon? - I'll spell: P-A-C-O.","Pay attention to the spelled letters."
"Ist das Nicole? - Nein, das ist Maria. Sie kommt aus Spanien.","Wer ist das?","Maria","Nicole","Anna","Julia","Is that Nicole? - No, that is Maria. She comes from Spain.","Listen to the correction after 'Nein'."
"Kommst du aus dem Iran? - Ja, ich komme aus dem Iran.","Woher kommt die Person?","Aus dem Iran","Aus der Türkei","Aus Mexiko","Aus Spanien","Do you come from Iran? - Yes, I come from Iran.","Listen to the confirmation 'Ja'."
"Hallo, wie geht's? - Danke, gut. Und dir? - Auch gut.","Wie geht es der zweiten Person?","Auch gut","Schlecht","Sehr gut","Nicht gut","Hello, how are you? - Thanks, fine. And you? - Also good.","Listen to the last response."
"Guten Tag, Frau Wachter. - Guten Tag, Herr Rodriguez.","Wie heißt die Frau?","Frau Wachter","Frau Rodriguez","Frau Schmidt","Frau Müller","Good day, Mrs. Wachter. - Good day, Mr. Rodriguez.","Identify the name the man uses to greet the woman."
"Wer bist du? - Ich bin der Lehrer. Ich heiße Markus.","Wie heißt der Lehrer?","Markus","Winfried","Tom","Paco","Who are you? - I am the teacher. My name is Markus.","Listen to the name after 'Ich heiße'."
"Entschuldigung, wie heißen Sie? - Mein Name ist Becker. B-E-C-K-E-R.","Wie ist der Name?","Becker","Bäcker","Pecker","Müller","Excuse me, what is your name? - My name is Becker. B-E-C-K-E-R.","Listen carefully to the spelling."
"Ich komme aus Frankreich, aus Paris.","Woher kommt die Person?","Aus Frankreich","Aus Österreich","Aus Deutschland","Aus der Schweiz","I come from France, from Paris.","Listen to the country name."
"Sind Sie Herr Müller? - Nein, ich bin Herr Meier.","Wie heißt der Mann?","Herr Meier","Herr Müller","Herr Schmidt","Herr Becker","Are you Mr. Müller? - No, I am Mr. Meier.","Listen to the correction after 'Nein'."
"Woher kommt die Musik? Aus Österreich? - Nein, aus Spanien.","Woher kommt die Musik?","Aus Spanien","Aus Österreich","Aus Deutschland","Aus Mexiko","Where does the music come from? From Austria? - No, from Spain.","Listen to the correction about the music's origin."
"Das ist meine Freundin. Sie heißt Sarah.","Wie heißt die Freundin?","Sarah","Anna","Maria","Nicole","This is my friend. Her name is Sarah.","Listen to the name given for the friend."
"Tschüs Paco, bis morgen! - Ciao Anna!","Wer sagt Ciao?","Paco","Anna","Maria","Tom","Bye Paco, see you tomorrow! - Bye Anna!","Identify who is responding to Anna."
"Servus! Ich bin Lukas und komme aus Wien.","Woher kommt Lukas?","Aus Wien","Aus Berlin","Aus Zürich","Aus Madrid","Hello! I am Lukas and come from Vienna.","Listen to the city he mentions."
"Moin! Mein Name ist Sven.","Wie ist der Name?","Sven","Tom","Paco","Markus","Hello! My name is Sven.","Listen to the name after the greeting."
"Wie geht es Ihnen, Herr Meier? - Es geht.","Wie geht es Herr Meier?","Es geht","Sehr gut","Auch gut","Super","How are you, Mr. Meier? - So-so.","'Es geht' means so-so or okay."
"Kommst du aus der Schweiz? - Nein, ich bin aus Österreich.","Kommt die Person aus der Schweiz?","Nein","Ja","Vielleicht","Weiß nicht","Do you come from Switzerland? - No, I am from Austria.","Listen to the 'Nein'."
"Ich buchstabiere: M-Ü-L-L-E-R.","Wie heißt die Person?","Müller","Muller","Möller","Miller","I'll spell: M-Ü-L-L-E-R.","Pay attention to the Umlaut 'Ü'."
"Gute Nacht, Mama! - Gute Nacht, Leon.","Wer geht schlafen?","Leon","Mama","Paco","Papa","Good night, Mom! - Good night, Leon.","Identify the name of the child."
"Wer ist das? - Das ist Herr Schmidt. Er kommt aus Deutschland.","Aus welchem Land kommt Herr Schmidt?","Aus Deutschland","Aus der Schweiz","Aus Österreich","Aus Spanien","Who is that? - That is Mr. Schmidt. He comes from Germany.","Listen to the country associated with Herr Schmidt."
"Ich komme aus Spanien und er kommt aus Mexiko.","Woher kommt er?","Aus Mexiko","Aus Spanien","Aus Italien","Aus der Türkei","I come from Spain and he comes from Mexico.","Distinguish between 'Ich' and 'er'."
"Hallo! - Guten Tag! Wie geht es Ihnen?","Ist das Gespräch formell oder informell?","Formell","Informell","Beides","Weiß nicht","Hello! - Good day! How are you? (formal)","The use of 'Ihnen' indicates a formal conversation."
"Wer bist du? - Ich bin Anna. Und das ist Tom.","Wer ist Tom?","Ein Freund / Die andere Person","Anna","Der Lehrer","Frau Schmidt","Who are you? - I am Anna. And that is Tom.","Listen to the introduction of the third person."
"Ich komme aus Österreich. Wien ist schön.","Woher kommt die Person?","Aus Österreich","Aus Deutschland","Aus der Schweiz","Aus Frankreich","I come from Austria. Vienna is beautiful.","Listen to the country name."
"Hallo, ich heiße Sofia. S-O-F-I-A.","Wie wird der Name geschrieben?","Sofia","Sophia","Zofia","Sofiya","Hello, my name is Sofia. S-O-F-I-A.","Pay attention to the spelling with 'F'."
"Guten Abend. Sind Sie Frau Müller? - Ja, genau.","Ist die Frau Frau Müller?","Ja","Nein","Vielleicht","Weiß nicht","Good evening. Are you Mrs. Müller? - Yes, exactly.","Listen to the confirmation 'Ja, genau'."
"Wie geht's Paco? - Sehr gut!","Wie geht es Paco?","Sehr gut","Nicht gut","Es geht","Schlecht","How is Paco? - Very good!","Listen to the positive response."
"Ich komme aus der Türkei. Und Sie? - Ich komme aus dem Iran.","Woher kommt die zweite Person?","Aus dem Iran","Aus der Türkei","Aus Spanien","Aus Mexiko","I come from Turkey. And you? - I come from Iran.","Distinguish the second speaker's country."
"Tschüs, bis bald! - Auf Wiedersehen!","Verabschieden sie sich?","Ja","Nein","Vielleicht","Weiß nicht","Bye, see you soon! - Goodbye!","Both phrases are farewells."
"Das ist Nicole. Sie kommt aus Deutschland.","Woher kommt Nicole?","Aus Deutschland","Aus Österreich","Aus der Schweiz","Aus Frankreich","This is Nicole. She comes from Germany.","Listen to the country."
"Ist das Herr Meier? - Nein, Herr Schmidt.","Wer ist der Mann?","Herr Schmidt","Herr Meier","Paco","Tom","Is that Mr. Meier? - No, Mr. Schmidt.","Listen to the correction."
"Ich buchstabiere: S-C-H-M-I-D-T.","Wie lautet der Name?","Schmidt","Schmid","Schmitt","Schmit","I'll spell: S-C-H-M-I-D-T.","Pay attention to the 'D-T' ending."
"Guten Morgen. Wie heißen Sie? - Ich heiße Julia.","Wie heißt die Frau?","Julia","Anna","Maria","Sofia","Good morning. What is your name? - My name is Julia.","Listen to the answer."
"Kommst du aus Deutschland? - Ja, aus Hamburg.","Woher kommt die Person?","Aus Deutschland","Aus der Schweiz","Aus Österreich","Aus Frankreich","Do you come from Germany? - Yes, from Hamburg.","Listen to the confirmation 'Ja'."
"Hallo! Ich bin der Herr Müller.","Wie heißt der Mann?","Müller","Meier","Schmidt","Becker","Hello! I am Mr. Müller.","Listen to the name."
"Wie geht es dir? - Es geht mir gut.","Wie geht es der Person?","Gut","Schlecht","Sehr gut","Auch gut","How are you? - I am doing well.","Listen to the response 'gut'."
"Das ist Paco. Er ist aus Mexiko.","Woher ist Paco?","Aus Mexiko","Aus Spanien","Aus Italien","Aus der Türkei","This is Paco. He is from Mexico.","Listen to the country."
"Guten Tag! - Moin!","Was sagt die zweite Person?","Moin","Hallo","Servus","Grüezi","Good day! - Hello (Moin)!","Listen to the specific regional greeting."
"Auf Wiedersehen, Frau Schmidt!","Wer wird verabschiedet?","Frau Schmidt","Herr Schmidt","Frau Müller","Anna","Goodbye, Mrs. Schmidt!","Listen to the name of the person being addressed."
"Wer ist das? - Das ist Winfried.","Wie heißt die Person?","Winfried","Paco","Tom","Markus","Who is that? - That is Winfried.","Listen to the answer."
"Ich komme aus der Schweiz. Und du? - Aus Frankreich.","Woher kommt die zweite Person?","Aus Frankreich","Aus der Schweiz","Aus Deutschland","Aus Spanien","I come from Switzerland. And you? - From France.","Distinguish the second speaker's origin."
"Ich heiße Tom. T-O-M.","Wie lautet der Name?","Tom","Tim","Dom","Ton","My name is Tom. T-O-M.","Listen to the short spelling."
