sentence,words,tip,translation_en
"Entschuldigung, wo ist der Bahnhof?","Entschuldigung|,|wo|ist|der|Bahnhof|?","Polite question asking for location.","Excuse me, where is the train station?"
"Wie komme ich zum Bahnhof?","Wie|komme|ich|zum|Bahnhof|?","Asking for directions to a masculine place.","How do I get to the train station?"
"Wie komme ich zur Post?","Wie|komme|ich|zur|Post|?","Asking for directions to a feminine place.","How do I get to the post office?"
"Wie komme ich ins Zentrum?","Wie|komme|ich|ins|Zentrum|?","Asking for directions to a neuter place (into).","How do I get to the center?"
"Wissen Sie, wo die Apotheke ist?","Wissen|Sie|,|wo|die|Apotheke|ist|?","Indirect question asking for location.","Do you know where the pharmacy is?"
"Gibt es hier einen Supermarkt in der Nähe?","Gibt|es|hier|einen|Supermarkt|in|der|Nähe|?","Asking if a place is nearby.","Is there a supermarket nearby here?"
"Gehen Sie immer geradeaus.","Gehen|Sie|immer|geradeaus|.","Giving straight directions.","Keep going straight ahead."
"Gehen Sie die erste Straße rechts.","Gehen|Sie|die|erste|Straße|rechts|.","Giving turn directions.","Take the first street on the right."
"Nehmen Sie die zweite Straße links.","Nehmen|Sie|die|zweite|Straße|links|.","Using 'nehmen' for directions.","Take the second street on the left."
"Biegen Sie hier links ab.","Biegen|Sie|hier|links|ab|.","Using the separable verb 'abbiegen'.","Turn left here."
"An der Ampel gehen Sie rechts.","An|der|Ampel|gehen|Sie|rechts|.","Direction using a landmark (Ampel).","At the traffic light go right."
"Gehen Sie über die Brücke.","Gehen|Sie|über|die|Brücke|.","Direction using a landmark (Brücke).","Go over the bridge."
"Gehen Sie über den Platz.","Gehen|Sie|über|den|Platz|.","Direction across an area.","Walk across the square."
"Gehen Sie an der Kirche vorbei.","Gehen|Sie|an|der|Kirche|vorbei|.","Direction to walk past something.","Walk past the church."
"Überqueren Sie die Straße.","Überqueren|Sie|die|Straße|.","Direction to cross.","Cross the street."
"Der Bahnhof ist auf der linken Seite.","Der|Bahnhof|ist|auf|der|linken|Seite|.","Stating location on a side.","The train station is on the left side."
"Das Museum ist auf der rechten Seite.","Das|Museum|ist|auf|der|rechten|Seite|.","Stating location on a side.","The museum is on the right side."
"Die Post ist gleich um die Ecke.","Die|Post|ist|gleich|um|die|Ecke|.","Stating something is very close.","The post office is right around the corner."
"Es ist nicht weit von hier.","Es|ist|nicht|weit|von|hier|.","Reassuring distance.","It is not far from here."
"Das sind nur ungefähr 5 Minuten zu Fuß.","Das|sind|nur|ungefähr|5|Minuten|zu|Fuß|.","Estimating walking time.","That is only about 5 minutes on foot."
"Es ist sehr weit, nehmen Sie besser den Bus.","Es|ist|sehr|weit|,|nehmen|Sie|besser|den|Bus|.","Advising against walking.","It is very far, you better take the bus."
"Sie können mit der U-Bahn fahren.","Sie|können|mit|der|U-Bahn|fahren|.","Suggesting transport.","You can travel by subway."
"Tut mir leid, ich bin auch fremd hier.","Tut|mir|leid|,|ich|bin|auch|fremd|hier|.","Apologizing for not knowing directions.","I'm sorry, I am also a stranger here."
"Ich habe leider keine Ahnung.","Ich|habe|leider|keine|Ahnung|.","Admitting lack of knowledge.","I unfortunately have no idea."
"Fragen Sie am besten den Polizisten dort drüben.","Fragen|Sie|am|besten|den|Polizisten|dort|drüben|.","Directing someone to ask someone else.","It is best to ask the police officer over there."
"Können Sie mir helfen?","Können|Sie|mir|helfen|?","Asking for help (Dativ 'mir').","Can you help me?"
"Ich helfe Ihnen gern.","Ich|helfe|Ihnen|gern|.","Offering help (Dativ 'Ihnen').","I gladly help you."
"Wo ist die nächste Bank?","Wo|ist|die|nächste|Bank|?","Asking for the closest place.","Where is the nearest bank?"
"Die Bank ist zwischen dem Kino und der Post.","Die|Bank|ist|zwischen|dem|Kino|und|der|Post|.","Describing location between two places.","The bank is between the cinema and the post office."
"Das Hotel ist gegenüber vom Bahnhof.","Das|Hotel|ist|gegenüber|vom|Bahnhof|.","Describing location opposite something.","The hotel is opposite the train station."
"Die Bäckerei ist neben dem Supermarkt.","Die|Bäckerei|ist|neben|dem|Supermarkt|.","Describing location next to a masculine place.","The bakery is next to the supermarket."
"Der Park ist hinter der Kirche.","Der|Park|ist|hinter|der|Kirche|.","Describing location behind a feminine place.","The park is behind the church."
