text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Welches Museum möchtest du heute besichtigen? - Ich möchte ins Naturkundemuseum.","Welches Museum möchte die zweite Person besichtigen?","Das Naturkundemuseum","Das Kunstmuseum","Das historische Museum","Das Technikmuseum","Which museum would you like to visit today? - I would like to go to the natural history museum.","Listen to the specific name of the museum."
"Was für ein Hotel suchen Sie? - Wir suchen ein romantisches, kleines Hotel in der Altstadt.","Was für ein Hotel sucht die Person?","Ein romantisches, kleines Hotel","Ein großes, modernes Hotel","Ein billiges Hotel am Bahnhof","Ein Hotel am Flughafen","What kind of hotel are you looking for? - We are looking for a romantic, small hotel in the old town.","Listen to the adjectives 'romantisches, kleines'."
"Schau mal, die Brücke da! Ist die nicht schön? - Welche Brücke meinst du? Die alte oder die neue?","Welche Brücken gibt es dort?","Eine alte und eine neue","Eine große und eine kleine","Zwei alte Brücken","Eine moderne und eine hässliche","Look, the bridge there! Isn't it beautiful? - Which bridge do you mean? The old one or the new one?","Listen to the question asking for clarification."
"Guten Tag, wir möchten eine Stadtführung machen. - Was für eine Führung möchten Sie? Zu Fuß oder mit dem Bus?","Wie kann man die Führung machen?","Zu Fuß oder mit dem Bus","Mit dem Fahrrad oder dem Schiff","Nur zu Fuß","Nur mit dem Bus","Good day, we would like to do a city tour. - What kind of tour would you like? On foot or by bus?","Listen to the two options offered."
"Das ist das berühmte Rathaus von München. - Wow, es ist wirklich historisch! Darf man drinnen fotografieren? - Nein, leider nicht.","Darf man im Rathaus fotografieren?","Nein, das ist verboten.","Ja, überall.","Ja, aber ohne Blitz.","Man darf nur draußen fotografieren.","That is the famous town hall of Munich. - Wow, it is really historical! May one photograph inside? - No, unfortunately not.","Listen to the answer 'Nein, leider nicht'."
"Was für Souvenirs kaufst du? - Ich kaufe immer Postkarten und Schokolade.","Was kauft die Person als Souvenir?","Postkarten und Schokolade","T-Shirts und Tassen","Bücher und Stifte","Nur Postkarten","What kind of souvenirs are you buying? - I always buy postcards and chocolate.","Listen to the two items mentioned."
"Welcher Turm ist das? Ist das der Fernsehturm? - Nein, das ist ein alter Wasserturm.","Was für ein Turm ist das?","Ein alter Wasserturm","Der Fernsehturm","Ein neuer Kirchturm","Ein moderner Büroturm","Which tower is that? Is that the TV tower? - No, that is an old water tower.","Listen to the correction after 'Nein'."
"Was kostet der Eintritt ins Schloss? - Für Erwachsene 12 Euro, für Kinder ist es gratis.","Was kostet das Ticket für ein Kind?","Nichts (gratis)","12 Euro","6 Euro","10 Euro","What does admission to the castle cost? - For adults 12 euros, for children it is free.","'gratis' means free of charge."
"Wir bummeln am Nachmittag durch die Altstadt. Und danach trinken wir einen Kaffee am Fluss.","Was machen sie nach dem Bummeln?","Sie trinken Kaffee am Fluss.","Sie besichtigen den Dom.","Sie fahren ins Hotel.","Sie gehen ins Museum.","We are strolling through the old town in the afternoon. And after that we are drinking a coffee by the river.","Listen to the action following 'danach'."
"Entschuldigung, wo kann ich hier Geld wechseln? - Die nächste Bank ist direkt am Marktplatz.","Was möchte die Person tun?","Geld wechseln","Einen Kaffee trinken","Ein Ticket kaufen","Ein Foto machen","Excuse me, where can I exchange money here? - The nearest bank is right at the market square.","Listen to the question 'Geld wechseln'."
