sentence,words,tip,translation_en
"Was sind deine Hobbys?","Was|sind|deine|Hobbys|?","Asking about hobbies (plural).","What are your hobbies?"
"Was ist dein Hobby?","Was|ist|dein|Hobby|?","Asking about a hobby (singular).","What is your hobby?"
"Mein Hobby ist Lesen.","Mein|Hobby|ist|Lesen|.","Stating a hobby.","My hobby is reading."
"Meine Hobbys sind Kochen und Schwimmen.","Meine|Hobbys|sind|Kochen|und|Schwimmen|.","Stating multiple hobbies.","My hobbies are cooking and swimming."
"Was machst du in der Freizeit?","Was|machst|du|in|der|Freizeit|?","Asking about free time.","What do you do in your free time?"
"Was machst du gern?","Was|machst|du|gern|?","Asking about preferences.","What do you like to do?"
"Ich spiele gern Fußball.","Ich|spiele|gern|Fußball|.","Stating a preference.","I like playing soccer."
"Ich treffe gern Freunde.","Ich|treffe|gern|Freunde|.","Stating a preference.","I like meeting friends."
"Ich surfe gern im Internet.","Ich|surfe|gern|im|Internet|.","Stating a preference.","I like surfing the internet."
"Ich lese sehr gern.","Ich|lese|sehr|gern|.","Expressing a strong preference.","I like reading very much."
"Ich fahre nicht gern Fahrrad.","Ich|fahre|nicht|gern|Fahrrad|.","Expressing a dislike.","I don't like riding a bike."
"Kochen macht mir Spaß.","Kochen|macht|mir|Spaß|.","Expressing enjoyment.","Cooking is fun for me."
"Fotografierst du gern?","Fotografierst|du|gern|?","Asking a Yes/No preference question.","Do you like taking photos?"
"Ja, sehr gern.","Ja|,|sehr|gern|.","Answering positively.","Yes, very much."
"Nein, nicht so gern.","Nein|,|nicht|so|gern|.","Answering negatively.","No, not so much."
"Was machst du am Wochenende?","Was|machst|du|am|Wochenende|?","Asking about weekend plans.","What are you doing on the weekend?"
"Am Wochenende fahre ich Ski.","Am|Wochenende|fahre|ich|Ski|.","Stating a weekend activity.","On the weekend I ski."
"Kannst du gut kochen?","Kannst|du|gut|kochen|?","Asking about an ability.","Can you cook well?"
"Ja, ich kann sehr gut kochen.","Ja|,|ich|kann|sehr|gut|kochen|.","Stating a strong ability.","Yes, I can cook very well."
"Ja, ich kann ein bisschen kochen.","Ja|,|ich|kann|ein|bisschen|kochen|.","Stating a weak ability.","Yes, I can cook a little bit."
"Nein, ich kann nicht gut kochen.","Nein|,|ich|kann|nicht|gut|kochen|.","Stating a lack of ability.","No, I cannot cook well."
"Nein, ich kann gar nicht kochen.","Nein|,|ich|kann|gar|nicht|kochen|.","Stating a complete lack of ability.","No, I cannot cook at all."
"Können Sie Schach spielen?","Können|Sie|Schach|spielen|?","Asking about an ability (formal).","Can you play chess?"
"Wir können toll singen.","Wir|können|toll|singen|.","Stating a plural ability.","We can sing great."
"Du kannst aber toll tanzen!","Du|kannst|aber|toll|tanzen|!","Giving a compliment on an ability.","You can dance really great!"
"Das ist wirklich super!","Das|ist|wirklich|super|!","Giving a compliment.","That is really super!"
"Wahnsinn!","Wahnsinn|!","Expressing amazement.","Amazing! / Madness!"
"Du fährst fantastisch Ski!","Du|fährst|fantastisch|Ski|!","Giving a specific compliment.","You ski fantastically!"
"Danke für das Kompliment.","Danke|für|das|Kompliment|.","Accepting a compliment.","Thanks for the compliment."
"Ach, ich kann nur ein bisschen Gitarre spielen.","Ach|,|ich|kann|nur|ein|bisschen|Gitarre|spielen|.","Modestly accepting a compliment.","Oh, I can only play the guitar a little bit."
"Findest du wirklich?","Findest|du|wirklich|?","Asking for confirmation of a compliment.","Do you really think so?"
"Gehen wir heute ins Kino?","Gehen|wir|heute|ins|Kino|?","Making a suggestion.","Are we going to the cinema today?"
"Ja, das ist eine gute Idee.","Ja|,|das|ist|eine|gute|Idee|.","Accepting a suggestion.","Yes, that is a good idea."
"Nein, ich habe keine Zeit.","Nein|,|ich|habe|keine|Zeit|.","Rejecting a suggestion.","No, I don't have time."
"Ich besuche am Wochenende ein Museum.","Ich|besuche|am|Wochenende|ein|Museum|.","Stating a plan.","I am visiting a museum on the weekend."
"Die Ausstellung ist sehr interessant.","Die|Ausstellung|ist|sehr|interessant|.","Giving an opinion.","The exhibition is very interesting."
"Sport ist gesund.","Sport|ist|gesund|.","Stating a fact.","Sport is healthy."
"Ich wandere oft in der Natur.","Ich|wandere|oft|in|der|Natur|.","Describing a frequency.","I often hike in nature."
"Hörst du gern Musik?","Hörst|du|gern|Musik|?","Asking about a hobby.","Do you like listening to music?"
"Mein Lieblingsfilm ist sehr spannend.","Mein|Lieblingsfilm|ist|sehr|spannend|.","Describing a favorite thing.","My favorite movie is very exciting."
"Spielst du ein Instrument?","Spielst|du|ein|Instrument|?","Asking about musical ability.","Do you play an instrument?"
"Ich lerne Klavier.","Ich|lerne|Klavier|.","Stating a current learning activity.","I am learning piano."
"Er kann nicht so gut malen.","Er|kann|nicht|so|gut|malen|.","Describing someone else's ability.","He cannot paint very well."
"Sie backt jedes Wochenende einen Kuchen.","Sie|backt|jedes|Wochenende|einen|Kuchen|.","Describing a habit.","She bakes a cake every weekend."
"Wie oft gehst du joggen?","Wie|oft|gehst|du|joggen|?","Asking about frequency.","How often do you go jogging?"
"Manchmal, nicht oft.","Manchmal|,|nicht|oft|.","Answering frequency.","Sometimes, not often."
"Immer am Sonntag.","Immer|am|Sonntag|.","Answering frequency.","Always on Sunday."
"Das macht mir keinen Spaß.","Das|macht|mir|keinen|Spaß|.","Expressing lack of enjoyment.","That is not fun for me."
"Kochen ist mein Hobby.","Kochen|ist|mein|Hobby|.","Using a verb as a noun.","Cooking is my hobby."
"Ich liebe das Theater.","Ich|liebe|das|Theater|.","Expressing strong preference.","I love the theater."
"Wir hören ein Konzert im Radio.","Wir|hören|ein|Konzert|im|Radio|.","Describing an activity.","We are listening to a concert on the radio."
"Er singt ein schönes Lied.","Er|singt|ein|schönes|Lied|.","Describing an action.","He is singing a beautiful song."
"Du hast wirklich Talent!","Du|hast|wirklich|Talent|!","Giving a compliment.","You really have talent!"
"Wir können leider nicht kommen.","Wir|können|leider|nicht|kommen|.","Politely declining.","Unfortunately we cannot come."
"Was können wir heute machen?","Was|können|wir|heute|machen|?","Asking for suggestions.","What can we do today?"
"Können Sie mir helfen?","Können|Sie|mir|helfen|?","Asking for help using a modal verb.","Can you help me?"
"Ich kann das Wort nicht buchstabieren.","Ich|kann|das|Wort|nicht|buchstabieren|.","Expressing inability.","I cannot spell the word."
"Der Freund von Nicole kann toll kochen.","Der|Freund|von|Nicole|kann|toll|kochen|.","Describing a third party.","Nicole's boyfriend can cook great."
"Wir treffen uns am Samstag.","Wir|treffen|uns|am|Samstag|.","Stating an arrangement.","We are meeting on Saturday."
"Ich bin am Wochenende nicht da.","Ich|bin|am|Wochenende|nicht|da|.","Stating unavailability.","I am not here on the weekend."
