sentence,words,tip,translation_en
"Wie geht es Ihnen?","Wie|geht|es|Ihnen|?","Asking about well-being (formal).","How are you?"
"Mir geht es nicht gut.","Mir|geht|es|nicht|gut|.","Stating poor well-being.","I am not doing well."
"Was fehlt Ihnen?","Was|fehlt|Ihnen|?","Doctor asking about symptoms.","What is wrong with you? (What is missing?)"
"Was tut Ihnen weh?","Was|tut|Ihnen|weh|?","Doctor asking about pain.","What hurts you?"
"Mein Kopf tut weh.","Mein|Kopf|tut|weh|.","Reporting head pain.","My head hurts."
"Meine Ohren tun weh.","Meine|Ohren|tun|weh|.","Reporting ear pain (plural).","My ears hurt."
"Ich habe starke Kopfschmerzen.","Ich|habe|starke|Kopfschmerzen|.","Reporting a headache.","I have a severe headache."
"Das Kind hat Bauchschmerzen.","Das|Kind|hat|Bauchschmerzen|.","Reporting a child's pain.","The child has a stomachache."
"Haben Sie Fieber?","Haben|Sie|Fieber|?","Asking about fever.","Do you have a fever?"
"Ja, ich habe Fieber und Husten.","Ja|,|ich|habe|Fieber|und|Husten|.","Listing symptoms.","Yes, I have a fever and a cough."
"Ich habe furchtbaren Schnupfen.","Ich|habe|furchtbaren|Schnupfen|.","Reporting a cold symptom.","I have a terrible runny nose."
"Mir ist sehr kalt.","Mir|ist|sehr|kalt|.","Expressing a physical feeling (cold).","I am very cold."
"Mir ist schlecht.","Mir|ist|schlecht|.","Expressing nausea.","I feel sick/nauseous."
"Ist das schlimm?","Ist|das|schlimm|?","Asking if it's serious.","Is that bad/serious?"
"Nein, das ist nicht so schlimm.","Nein|,|das|ist|nicht|so|schlimm|.","Reassuring a patient.","No, that is not so bad."
"Sie müssen im Bett bleiben.","Sie|müssen|im|Bett|bleiben|.","Giving a strong medical instruction.","You must stay in bed."
"Bleiben Sie zu Hause!","Bleiben|Sie|zu|Hause|!","Formal imperative.","Stay at home!"
"Bleib im Bett!","Bleib|im|Bett|!","Informal imperative (du).","Stay in bed!"
"Trinken Sie viel Tee!","Trinken|Sie|viel|Tee|!","Formal imperative.","Drink lots of tea!"
"Trink viel Wasser!","Trink|viel|Wasser|!","Informal imperative (du).","Drink lots of water!"
"Gehen Sie zum Arzt!","Gehen|Sie|zum|Arzt|!","Formal imperative.","Go to the doctor!"
"Geh heute nicht zur Arbeit!","Geh|heute|nicht|zur|Arbeit|!","Informal negated imperative.","Don't go to work today!"
"Nehmen Sie diese Tabletten!","Nehmen|Sie|diese|Tabletten|!","Formal imperative.","Take these pills!"
"Nimm das Medikament zweimal täglich.","Nimm|das|Medikament|zweimal|täglich|.","Informal imperative with frequency.","Take the medicine twice daily."
"Sie sollen viel schlafen.","Sie|sollen|viel|schlafen|.","Reporting advice/instruction with 'sollen'.","You should sleep a lot."
"Der Arzt sagt, ich soll Tee trinken.","Der|Arzt|sagt|,|ich|soll|Tee|trinken|.","Reporting a doctor's order.","The doctor says I should drink tea."
"Du sollst nicht rauchen.","Du|sollst|nicht|rauchen|.","Giving advice/instruction.","You should not smoke."
"Darf ich Sport machen?","Darf|ich|Sport|machen|?","Asking permission using 'dürfen'.","May I do sports?"
"Nein, Sie dürfen heute nicht joggen.","Nein|,|Sie|dürfen|heute|nicht|joggen|.","Denying permission using 'dürfen'.","No, you may not jog today."
"Hier dürfen Sie nicht rauchen.","Hier|dürfen|Sie|nicht|rauchen|.","Stating a rule.","You may not smoke here."
"Ich schreibe Sie für drei Tage krank.","Ich|schreibe|Sie|für|drei|Tage|krank|.","Doctor giving a sick note.","I am writing you a sick note for three days."
"Gute Besserung!","Gute|Besserung|!","Standard phrase for sick people.","Get well soon!"
"Danke, Herr Doktor.","Danke|,|Herr|Doktor|.","Thanking the doctor.","Thank you, Doctor."
"Geh in die Apotheke und kauf das Medikament.","Geh|in|die|Apotheke|und|kauf|das|Medikament|.","Two informal imperatives.","Go to the pharmacy and buy the medicine."
"Hier ist das Rezept.","Hier|ist|das|Rezept|.","Giving the prescription.","Here is the prescription."
"Kräutertee mit Honig hilft sehr gut.","Kräutertee|mit|Honig|hilft|sehr|gut|.","Recommending a home remedy.","Herbal tea with honey helps very well."
"Haben Sie ein Pflaster?","Haben|Sie|ein|Pflaster|?","Asking for first aid.","Do you have a Band-Aid?"
"Ich brauche eine Salbe für den Rücken.","Ich|brauche|eine|Salbe|für|den|Rücken|.","Requesting a specific treatment.","I need an ointment for the back."
"Nehmen Sie die Tropfen vor dem Essen.","Nehmen|Sie|die|Tropfen|vor|dem|Essen|.","Instruction on how to take medicine.","Take the drops before eating."
"Die Halsschmerzen sind sehr schlimm.","Die|Halsschmerzen|sind|sehr|schlimm|.","Describing symptom severity.","The sore throat is very bad."
"Mach den Mund weit auf.","Mach|den|Mund|weit|auf|.","Informal imperative (separable).","Open your mouth wide."
"Ich muss Sie untersuchen.","Ich|muss|Sie|untersuchen|.","Doctor stating intent.","I must examine you."
"Haben Sie Ihre Gesundheitskarte dabei?","Haben|Sie|Ihre|Gesundheitskarte|dabei|?","Receptionist asking for insurance card.","Do you have your health insurance card with you?"
"Der Zahnarzt hat die Zähne kontrolliert.","Der|Zahnarzt|hat|die|Zähne|kontrolliert|.","Stating a past medical action.","The dentist checked the teeth."
"Ein guter Tipp gegen Husten ist heiße Milch.","Ein|guter|Tipp|gegen|Husten|ist|heiße|Milch|.","Giving advice.","A good tip for a cough is hot milk."
"Arbeite heute nicht so viel!","Arbeite|heute|nicht|so|viel|!","Informal negated imperative.","Don't work so much today!"
"Macht bitte die Hausaufgaben!","Macht|bitte|die|Hausaufgaben|!","Plural informal imperative.","Please do the homework! (you all)"
"Sprecht bitte leise!","Sprecht|bitte|leise|!","Plural informal imperative.","Please speak quietly! (you all)"
"Es tut mir leid, dass du krank bist.","Es|tut|mir|leid|,|dass|du|krank|bist|.","Expressing sympathy.","I am sorry that you are sick."
"Mein Arm tut weh und ist blau.","Mein|Arm|tut|weh|und|ist|blau|.","Describing an injury.","My arm hurts and is blue."
"Er hat Fieber und schläft viel.","Er|hat|Fieber|und|schläft|viel|.","Describing someone else's symptoms.","He has a fever and sleeps a lot."
"Rufen Sie sofort einen Arzt!","Rufen|Sie|sofort|einen|Arzt|!","Urgent formal imperative.","Call a doctor immediately!"
"Trink keinen Kaffee am Abend!","Trink|keinen|Kaffee|am|Abend|!","Informal negated imperative.","Don't drink coffee in the evening!"
"Du sollst gesund essen.","Du|sollst|gesund|essen|.","Giving health advice.","You should eat healthily."
"Der Rücken tut ihm weh.","Der|Rücken|tut|ihm|weh|.","Using Dativ for pain (to him).","His back hurts."
"Mir tun die Augen weh vom Computer.","Mir|tun|die|Augen|weh|vom|Computer|.","Explaining cause of pain.","My eyes hurt from the computer."
"Seien Sie bitte pünktlich!","Seien|Sie|bitte|pünktlich|!","Formal imperative of 'sein'.","Please be on time!"
"Sei vorsichtig!","Sei|vorsichtig|!","Informal imperative of 'sein'.","Be careful!"
"Das Medikament macht mich müde.","Das|Medikament|macht|mich|müde|.","Describing side effects.","The medicine makes me tired."
"Ich hoffe, es geht dir bald besser.","Ich|hoffe|,|es|geht|dir|bald|besser|.","Expressing hope for recovery.","I hope you feel better soon."
