sentence,words,tip,translation_en
"Wie ist das Wetter heute?","Wie|ist|das|Wetter|heute|?","Asking about the weather.","How is the weather today?"
"Das Wetter ist sehr schön.","Das|Wetter|ist|sehr|schön|.","Positive weather statement.","The weather is very nice."
"Das Wetter ist heute richtig schlecht.","Das|Wetter|ist|heute|richtig|schlecht|.","Negative weather statement.","The weather is really bad today."
"Die Sonne scheint.","Die|Sonne|scheint|.","Stating sunny weather.","The sun is shining."
"Es ist sonnig und warm.","Es|ist|sonnig|und|warm|.","Using weather adjectives.","It is sunny and warm."
"Es regnet.","Es|regnet|.","Stating rainy weather.","It is raining."
"Heute ist es regnerisch.","Heute|ist|es|regnerisch|.","Using weather adjectives.","Today it is rainy."
"Nehmen Sie einen Regenschirm mit!","Nehmen|Sie|einen|Regenschirm|mit|!","Giving advice for rain.","Take an umbrella with you!"
"Es schneit in den Bergen.","Es|schneit|in|den|Bergen|.","Stating snowy weather.","It is snowing in the mountains."
"Im Winter ist es kalt.","Im|Winter|ist|es|kalt|.","Stating seasonal weather.","In winter it is cold."
"Mir ist eiskalt!","Mir|ist|eiskalt|!","Expressing how one feels.","I am freezing cold!"
"Der Wind ist sehr stark.","Der|Wind|ist|sehr|stark|.","Describing the wind.","The wind is very strong."
"Es ist sehr windig an der See.","Es|ist|sehr|windig|an|der|See|.","Using weather adjectives for wind.","It is very windy at the sea."
"Der Himmel ist bewölkt.","Der|Himmel|ist|bewölkt|.","Describing a cloudy sky.","The sky is cloudy/overcast."
"Es gibt viele Wolken.","Es|gibt|viele|Wolken|.","Stating there are clouds.","There are many clouds."
"Im Herbst ist es oft neblig.","Im|Herbst|ist|es|oft|neblig|.","Describing foggy weather.","In autumn it is often foggy."
"Morgen gibt es ein Gewitter.","Morgen|gibt|es|ein|Gewitter|.","Predicting a thunderstorm.","Tomorrow there will be a thunderstorm."
"Wie viel Grad haben wir heute?","Wie|viel|Grad|haben|wir|heute|?","Asking for the temperature.","How many degrees is it today?"
"Es sind 25 Grad.","Es|sind|25|Grad|.","Stating the temperature.","It is 25 degrees."
"Es ist minus fünf Grad.","Es|ist|minus|fünf|Grad|.","Stating negative temperature.","It is minus five degrees."
"Der Wetterbericht sagt Regen an.","Der|Wetterbericht|sagt|Regen|an|.","Referring to the forecast.","The weather forecast predicts rain."
"Ich bleibe zu Hause, denn es regnet.","Ich|bleibe|zu|Hause|,|denn|es|regnet|.","Giving a reason with 'denn'.","I am staying home because it is raining."
"Wir gehen nicht spazieren, denn das Wetter ist schlecht.","Wir|gehen|nicht|spazieren|,|denn|das|Wetter|ist|schlecht|.","Giving a reason for not doing something.","We are not going for a walk because the weather is bad."
"Er kommt nicht, denn er hat keine Zeit.","Er|kommt|nicht|,|denn|er|hat|keine|Zeit|.","Giving a non-weather reason with 'denn'.","He is not coming because he has no time."
"Ich trinke viel Wasser, denn es ist heiß.","Ich|trinke|viel|Wasser|,|denn|es|ist|heiß|.","Giving a reason with 'denn'.","I drink a lot of water because it is hot."
"Hamburg liegt im Norden von Deutschland.","Hamburg|liegt|im|Norden|von|Deutschland|.","Stating location using compass directions.","Hamburg is in the north of Germany."
"München ist im Süden.","München|ist|im|Süden|.","Stating location.","Munich is in the south."
"Berlin liegt im Osten.","Berlin|liegt|im|Osten|.","Stating location.","Berlin is in the east."
"Köln liegt im Westen.","Köln|liegt|im|Westen|.","Stating location.","Cologne is in the west."
"Der Wind kommt aus dem Westen.","Der|Wind|kommt|aus|dem|Westen|.","Describing wind direction.","The wind comes from the west."
"Wir fliegen in den Süden.","Wir|fliegen|in|den|Süden|.","Stating travel direction (Akkusativ).","We are flying to the south."
"In Süddeutschland scheint meistens die Sonne.","In|Süddeutschland|scheint|meistens|die|Sonne|.","Describing regional weather.","In Southern Germany the sun mostly shines."
"Wir machen Urlaub an der Ostsee.","Wir|machen|Urlaub|an|der|Ostsee|.","Stating a travel destination.","We are vacationing at the Baltic Sea."
"Fährst du lieber ans Meer oder in die Berge?","Fährst|du|lieber|ans|Meer|oder|in|die|Berge|?","Asking about travel preferences.","Do you prefer traveling to the sea or to the mountains?"
"Ich fahre lieber in die Berge.","Ich|fahre|lieber|in|die|Berge|.","Answering travel preference.","I prefer to travel to the mountains."
"Wir wandern gern im Wald.","Wir|wandern|gern|im|Wald|.","Describing a vacation activity.","We like hiking in the forest."
"Wir liegen gern am Strand.","Wir|liegen|gern|am|Strand|.","Describing a beach activity.","We like lying on the beach."
"Das ist ein beliebtes Reiseziel.","Das|ist|ein|beliebtes|Reiseziel|.","Describing a location.","That is a popular travel destination."
"Ich brauche meine Sonnenbrille.","Ich|brauche|meine|Sonnenbrille|.","Stating a need based on weather.","I need my sunglasses."
"Zieh dir Handschuhe an, denn es ist eiskalt!","Zieh|dir|Handschuhe|an|,|denn|es|ist|eiskalt|!","Giving clothing advice based on weather.","Put on gloves, because it is freezing cold!"
"Die Kinder bauen einen Schneemann.","Die|Kinder|bauen|einen|Schneemann|.","Describing a winter activity.","The children are building a snowman."
"Es gibt heute überall in Deutschland Regen.","Es|gibt|heute|überall|in|Deutschland|Regen|.","Describing widespread weather.","There is rain everywhere in Germany today."
"Im Mai blühen die Blumen.","Im|Mai|blühen|die|Blumen|.","Describing spring.","In May the flowers bloom."
"Hoffentlich wird das Wetter morgen besser.","Hoffentlich|wird|das|Wetter|morgen|besser|.","Expressing hope for the weather.","Hopefully the weather will get better tomorrow."
"Gestern war es noch so schön warm!","Gestern|war|es|noch|so|schön|warm|!","Comparing past and present weather.","Yesterday it was still so nicely warm!"
"Wir haben leider Pech mit dem Wetter.","Wir|haben|leider|Pech|mit|dem|Wetter|.","Expressing bad luck with weather.","Unfortunately we have bad luck with the weather."
"Was für ein Mistwetter!","Was|für|ein|Mistwetter|!","Complaining about the weather (colloquial).","What crappy weather!"
"Es regnet in Strömen.","Es|regnet|in|Strömen|.","Describing heavy rain.","It is pouring rain."
"Komm schnell rein, du wirst ganz nass!","Komm|schnell|rein|,|du|wirst|ganz|nass|!","Telling someone to get out of the rain.","Come inside quickly, you are getting completely wet!"
"Es ist trocken geblieben.","Es|ist|trocken|geblieben|.","Stating the rain held off.","It stayed dry."
"Die Temperaturen steigen am Wochenende.","Die|Temperaturen|steigen|am|Wochenende|.","Reporting a weather trend.","The temperatures are rising on the weekend."
"Wir haben fast 35 Grad im Schatten.","Wir|haben|fast|35|Grad|im|Schatten|.","Describing extreme heat.","We have almost 35 degrees in the shade."
"Das Klima hier ist sehr angenehm.","Das|Klima|hier|ist|sehr|angenehm|.","Describing the climate.","The climate here is very pleasant."
"Ich lerne Deutsch, denn ich möchte in Deutschland arbeiten.","Ich|lerne|Deutsch|,|denn|ich|möchte|in|Deutschland|arbeiten|.","Giving a reason for learning.","I learn German because I want to work in Germany."
"Er ruft an, denn er braucht Hilfe.","Er|ruft|an|,|denn|er|braucht|Hilfe|.","Giving a reason for calling.","He is calling because he needs help."
