test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich gehe nicht raus, null es regnet. (because)","denn","denn","Coordinating conjunction (Position 0)","I am not going out because it is raining.","denn (because) takes position 0. Verb stays in position 2: ...denn es regnet."
"Er kommt nicht, null er ist krank. (because)","denn","denn","Coordinating conjunction (Position 0)","He is not coming because he is sick.","denn connects two main clauses: ...denn er ist krank."
"Wir bleiben zu Hause, null das Wetter ist schlecht. (because)","denn","denn","Coordinating conjunction (Position 0)","We are staying at home because the weather is bad.","denn: ...denn das Wetter ist schlecht."
"Sie kauft ein Eis, null es ist sehr heiß. (because)","denn","denn","Coordinating conjunction (Position 0)","She buys an ice cream because it is very hot.","denn: ...denn es ist sehr heiß."
"Ich nehme den Regenschirm mit, null es regnet. (because)","denn","denn","Coordinating conjunction (Position 0)","I'll take the umbrella along because it's raining.","denn: ...denn es regnet."
"null regnet heute den ganzen Tag. (It)","Es","es","Impersonal subject for weather","It is raining all day today.","Weather verbs use 'Es': Es regnet, Es schneit."
"Morgen wird null schneien. (it)","es","es","Impersonal subject for weather","Tomorrow it will snow.","Weather verbs use 'es'."
"Wie ist null Wetter heute? (the)","das","das","Definite article for neuter noun","How is the weather today?","Article: das Wetter."
"null Sonne scheint schön. (The)","Die","die","Definite article for feminine noun","The sun is shining beautifully.","Article: die Sonne."
"Heute ist null sehr windig. (it)","es","es","Impersonal subject for weather adjectives","Today it is very windy.","Weather adjectives use 'es ist': Es ist windig."
"Im Winter ist null kalt. (it)","es","es","Impersonal subject for weather adjectives","In winter it is cold.","Weather adjectives use 'es ist': Es ist kalt."
"München liegt null Süden. (in the)","im","in","Contraction of in + dem","Munich is located in the south.","Compass directions: im Norden, im Süden, im Osten, im Westen."
"Hamburg liegt null Norden. (in the)","im","in","Contraction of in + dem","Hamburg is located in the north.","Compass directions: im."
"Berlin liegt null Osten. (in the)","im","in","Contraction of in + dem","Berlin is located in the east.","Compass directions: im."
"Köln liegt null Westen. (in the)","im","in","Contraction of in + dem","Cologne is located in the west.","Compass directions: im."
"Ich reise null Süden. (into the)","in den","in","Preposition + Akkusativ for direction","I travel to the south.","Direction (Wohin?): in den Süden (Akkusativ)."
"Wir fliegen null Süden. (into the)","in den","in","Preposition + Akkusativ for direction","We are flying to the south.","Direction (Wohin?): in den Süden."
"Der Wind kommt null dem Norden. (out of)","aus","aus","Preposition 'aus' takes Dativ","The wind comes from the north.","Origin: aus dem Norden."
"Es null heute. (rains)","regnet","regnen","3rd person singular of 'regnen'","It is raining today.","regnen: es -> regnet."
"Morgen null es. (snows)","schneit","schneien","3rd person singular of 'schneien'","Tomorrow it snows.","schneien: es -> schneit."
"Die Sonne null. (shines)","scheint","scheinen","3rd person singular of 'scheinen'","The sun is shining.","scheinen: die Sonne (sie) -> scheint."
"Gestern null es geregnet. (has)","hat","haben","Auxiliary verb for Perfekt","Yesterday it rained.","Perfekt of regnen: es hat geregnet."
"Es hat in der Nacht null. (gesneit -> geschneit)","geschneit","schneien","Partizip II of 'schneien'","It snowed in the night.","Partizip II: ge-schnei-t."
"Die Sonne hat null. (gescheint -> geschienen)","geschienen","scheinen","Partizip II of 'scheinen' (irregular)","The sun shone.","Partizip II of scheinen is irregular: geschienen."
"Das Wetter null gestern sehr schön. (was)","war","sein","3rd person singular Präteritum of 'sein'","The weather was very nice yesterday.","Präteritum of sein: das Wetter (es) -> war."
"Es null gestern sehr kalt. (was)","war","sein","3rd person singular Präteritum of 'sein'","It was very cold yesterday.","Präteritum of sein: es -> war."
"Ich nehme den Koffer null. (mitnehmen)","mit","mitnehmen","Separable prefix at the end","I'll take the suitcase along.","Separable verb: nehme ... mit."
"null du einen Schirm mit? (mitnehmen)","Nimmst","mitnehmen","2nd person singular of 'nehmen' (irregular)","Are you taking an umbrella along?","mitnehmen: du nimmst ... mit."
"Warum bleibst du zu Hause? - null ich krank bin. (Weil or Denn? Let's use 'Weil' if position 0 doesn't fit, but prompt asks for 'Denn' usually in main clauses. Let's make it two sentences) Ich bleibe zu Hause, null ich bin krank.","denn","denn","Coordinating conjunction","Why are you staying at home? - I am staying at home, because I am sick.","denn: Ich bleibe zu Hause, denn ich bin krank."
"null gehst du nicht spazieren? (Why)","Warum","warum","Question word 'why'","Why are you not going for a walk?","W-Frage: Warum."
"Es ist kalt, null bleibe ich zu Hause. (therefore)","deshalb","deshalb","Adverb 'therefore' (Position 1, verb follows)","It is cold, therefore I am staying at home.","deshalb takes position 1: deshalb bleibe ich..."
"Wir fahren null die Ostsee. (to/at the)","an","an","Preposition for bodies of water (Akkusativ for direction)","We travel to the Baltic Sea.","an die Ostsee (motion -> Akkusativ)."
"Wir machen Urlaub null der Nordsee. (at the)","an","an","Preposition for bodies of water (Dativ for location)","We are vacationing at the North Sea.","an der Nordsee (location -> Dativ)."
"Wir wandern null den Bergen. (in the)","in","in","Preposition + Dativ Plural for location","We hike in the mountains.","in den Bergen (location -> Dativ Plural)."
"Wir fahren null die Berge. (into the)","in","in","Preposition + Akkusativ Plural for direction","We travel to the mountains.","in die Berge (motion -> Akkusativ Plural)."
"Das Wetter in Norddeutschland null meistens schlecht. (is)","ist","sein","3rd person singular of 'sein'","The weather in Northern Germany is mostly bad.","sein: das Wetter -> ist."
"Wie null das Wetter morgen? (will be / becomes)","wird","werden","3rd person singular of 'werden'","How will the weather be tomorrow?","werden is often used for future/change: es wird."
"Morgen null es regnen. (will)","wird","werden","Auxiliary for future / assumption","Tomorrow it will rain.","werden + infinitive: es wird regnen."
"null Grad haben wir heute? (How many)","Wie viel","wie viel","Question phrase for quantities","How many degrees do we have today?","Question: Wie viel Grad...?"
"Es null 20 Grad. (are)","sind","sein","3rd person plural of 'sein' (for degrees)","It is 20 degrees. (Literally: There are 20 degrees)","For temperatures plural: Es sind 20 Grad. (If 1 degree: Es ist 1 Grad)."
"Gestern null es 10 Grad. (were)","waren","sein","3rd person plural Präteritum of 'sein'","Yesterday it was 10 degrees.","Präteritum plural: es waren 10 Grad."
"Er hat keine Zeit, null er muss arbeiten. (because)","denn","denn","Coordinating conjunction","He has no time, because he must work.","denn: ...denn er muss arbeiten."
"Ich liebe den Sommer, null es ist heiß. (because)","denn","denn","Coordinating conjunction","I love summer, because it is hot.","denn: ...denn es ist heiß."
"Der Wind null aus dem Westen. (comes)","kommt","kommen","3rd person singular of 'kommen'","The wind comes from the west.","kommen: der Wind (er) -> kommt."
"Es ist null. (sunny)","sonnig","sonnig","Adjective","It is sunny.","Adjective: sonnig."
"Es ist null. (cloudy)","bewölkt","bewölkt","Adjective","It is cloudy.","Adjective: bewölkt."
"Es ist null. (windy)","windig","windig","Adjective","It is windy.","Adjective: windig."
"Der Himmel ist null. (blue)","blau","blau","Adjective","The sky is blue.","Adjective: blau."
"Wir haben heute einen null Himmel. (blue)","blauen","blau","Adjective ending masculine Akkusativ (einen)","We have a blue sky today.","Adjective ending: einen blauen Himmel."
"Ich nehme den Regenschirm null, denn es regnet. (mitnehmen)","mit","mitnehmen","Separable prefix at end of main clause","I take the umbrella with me, because it is raining.","Separable verb: nehme ... mit."
