sentence,words,tip,translation_en
"Guten Tag, kann ich Ihnen helfen?","Guten|Tag|,|kann|ich|Ihnen|helfen|?","Offering help in a store.","Good day, can I help you?[cite: 1]"
"Ja, können Sie mir bitte die Pullover zeigen?","Ja|,|können|Sie|mir|bitte|die|Pullover|zeigen|?","Asking to see items.","Yes, could you please show me the sweaters?[cite: 1]"
"Ja, gerne. Welche Größe brauchen Sie?","Ja|,|gerne|.|Welche|Größe|brauchen|Sie|?","Asking for clothing size.","Yes, gladly. What size do you need?[cite: 1]"
"Der Mantel steht dir richtig gut.","Der|Mantel|steht|dir|richtig|gut|.","Using 'stehen' (to suit) with Dative.","The coat suits you really well.[cite: 5]"
"Ja, aber er ist zu eng.","Ja|,|aber|er|ist|zu|eng|.","Describing fit.","Yes, but it is too tight.[cite: 5]"
"Du, das T-Shirt hier gefällt mir gut.","Du|,|das|T-Shirt|hier|gefällt|mir|gut|.","Using 'gefallen' (to please/like).","Hey, I like this t-shirt here.[cite: 5]"
"Ja, aber es passt mir bestimmt nicht.","Ja|,|aber|es|passt|mir|bestimmt|nicht|.","Using 'passen' (to fit) with Dative.","Yes, but it definitely won't fit me.[cite: 5]"
"Sieh mal, es ist viel zu klein.","Sieh|mal|,|es|ist|viel|zu|klein|.","Evaluating size.","Look, it is much too small.[cite: 5]"
"Sieh mal, ich habe eine super Hose gefunden.","Sieh|mal|,|ich|habe|eine|super|Hose|gefunden|.","Showing a found item.","Look, I found super pants.[cite: 1]"
"Ja, sie sieht ganz gut aus.","Ja|,|sie|sieht|ganz|gut|aus|.","Using 'aussehen' (to look/appear).","Yes, they look quite good.[cite: 1]"
"Die Jacke in Schwarz finde ich schöner.","Die|Jacke|in|Schwarz|finde|ich|schöner|.","Comparative of schön.","I find the black jacket more beautiful.[cite: 1]"
"Der Pullover hier ist besser.","Der|Pullover|hier|ist|besser|.","Comparative of gut.","The sweater here is better.[cite: 1]"
"Die Jacke in Schwarz kostet mehr als die Jacke hier.","Die|Jacke|in|Schwarz|kostet|mehr|als|die|Jacke|hier|.","Comparative of viel (mehr) with 'als'.","The jacket in black costs more than the jacket here.[cite: 1]"
"Mein Auto war nicht sehr teuer.","Mein|Auto|war|nicht|sehr|teuer|.","Describing past price.","My car wasn't very expensive.[cite: 1]"
"Janas Auto hat mehr gekostet.","Janas|Auto|hat|mehr|gekostet|.","Using comparative 'mehr' in past tense.","Jana's car cost more.[cite: 1]"
"Tims Auto hat am meisten gekostet.","Tims|Auto|hat|am|meisten|gekostet|.","Superlative of viel (am meisten).","Tim's car cost the most.[cite: 1]"
"Berlin macht Mode gut, besser, am besten.","Berlin|macht|Mode|gut|,|besser|,|am|besten|.","Irregular comparison: gut -> besser -> am besten.","Berlin does fashion good, better, best.[cite: 1]"
"Modefotos kosten viel.","Modefotos|kosten|viel|.","Stating cost.","Fashion photos cost a lot.[cite: 1]"
"Models kosten noch mehr.","Models|kosten|noch|mehr|.","Comparative with 'noch' for emphasis.","Models cost even more.[cite: 1]"
"Am meisten kosten die Büros.","Am|meisten|kosten|die|Büros|.","Superlative of viel.","The offices cost the most.[cite: 1]"
"In Berlin wohnen wir am besten.","In|Berlin|wohnen|wir|am|besten|.","Superlative of gut as an adverb.","In Berlin we live the best.[cite: 1]"
"Jelena trägt gerne Schmuck.","Jelena|trägt|gerne|Schmuck|.","Expressing preference with 'gerne'.","Jelena likes wearing jewelry.[cite: 1]"
"Aber sie trägt lieber Röcke.","Aber|sie|trägt|lieber|Röcke|.","Comparative of gerne (lieber).","But she prefers wearing skirts.[cite: 1]"
"Sie isst lieber Pizza.","Sie|isst|lieber|Pizza|.","Expressing food preference.","She prefers eating pizza.[cite: 1]"
"Sind ihre Augen grün?","Sind|ihre|Augen|grün|?","Asking about appearance.","Are her eyes green?[cite: 1]"
"Nein, sie sind manchmal auch blau.","Nein|,|sie|sind|manchmal|auch|blau|.","Describing eye color.","No, they are sometimes also blue.[cite: 1]"
"Welche Boutique empfehlen Sie?","Welche|Boutique|empfehlen|Sie|?","Question word 'Welch-' (Accusative feminine).","Which boutique do you recommend?[cite: 1]"
"Die Boutique Rosa am Marktplatz.","Die|Boutique|Rosa|am|Marktplatz|.","Giving a recommendation.","The boutique Rosa at the marketplace.[cite: 1]"
"Welches Kaufhaus finden Sie gut?","Welches|Kaufhaus|finden|Sie|gut|?","Question word 'Welch-' (Accusative neuter).","Which department store do you find good?[cite: 1]"
"Welchen Pullover möchtest du?","Welchen|Pullover|möchtest|du|?","Question word 'Welch-' (Accusative masculine).","Which sweater would you like?[cite: 1]"
"Welche Brille empfehlen Sie?","Welche|Brille|empfehlen|Sie|?","Question word 'Welch-' (Accusative feminine).","Which glasses do you recommend?[cite: 1]"
