sentence,words,tip,translation_en
"Wir machen Urlaub auf dem Bauernhof.","Wir|machen|Urlaub|auf|dem|Bauernhof|.","Vacation location.","We are vacationing on the farm."
"Ich suche im Urlaub Ruhe und Erholung.","Ich|suche|im|Urlaub|Ruhe|und|Erholung|.","Noun with -ung.","I am looking for peace and relaxation on vacation."
"Die Wanderung in den Bergen war toll.","Die|Wanderung|in|den|Bergen|war|toll|.","Noun from wandern.","The hike in the mountains was great."
"Unser Vermieter ist sehr freundlich.","Unser|Vermieter|ist|sehr|freundlich|.","Noun from vermieten.","Our landlord is very friendly."
"Wir buchen eine Übernachtung mit Frühstück.","Wir|buchen|eine|Übernachtung|mit|Frühstück|.","Noun with -ung.","We are booking an overnight stay with breakfast."
"Die Beratung im Reisebüro hilft uns.","Die|Beratung|im|Reisebüro|hilft|uns|.","Noun from beraten.","The consultation in the travel agency helps us."
"Ein Wanderer braucht gute Ausrüstung.","Ein|Wanderer|braucht|gute|Ausrüstung|.","Person noun in -er.","A hiker needs good equipment."
"Das kleine Dorf liegt am Fluss.","Das|kleine|Dorf|liegt|am|Fluss|.","Dative location (am).","The small village is located by the river."
"Der Wald ist dunkelgrün und ruhig.","Der|Wald|ist|dunkelgrün|und|ruhig|.","Describing nature.","The forest is dark green and quiet."
"Auf der Wiese blühen viele Blumen.","Auf|der|Wiese|blühen|viele|Blumen|.","Dative location (auf der).","Many flowers bloom on the meadow."
"Diese Pflanze braucht viel Wasser.","Diese|Pflanze|braucht|viel|Wasser|.","Nature vocabulary.","This plant needs a lot of water."
"Die Katze schläft im Garten.","Die|Katze|schläft|im|Garten|.","Farm/house animal.","The cat is sleeping in the garden."
"Wir gehen oft mit dem Hund spazieren.","Wir|gehen|oft|mit|dem|Hund|spazieren|.","Verb collocation.","We often go for a walk with the dog."
"Ein kleiner Vogel singt im Baum.","Ein|kleiner|Vogel|singt|im|Baum|.","Nature vocabulary.","A small bird sings in the tree."
