sentence,words,tip,translation_en
"Das ist ein milder Käse.","Das|ist|ein|milder|Käse|.","Adjective ends in -er after 'ein' (masculine nominative).","That is a mild cheese."
"Das ist eine frische Milch.","Das|ist|eine|frische|Milch|.","Adjective ends in -e after 'eine' (feminine nominative).","That is fresh milk."
"Das ist ein dunkles Brot.","Das|ist|ein|dunkles|Brot|.","Adjective ends in -es after 'ein' (neuter nominative).","That is a dark bread."
"Das sind süße Äpfel.","Das|sind|süße|Äpfel|.","Adjective ends in -e for plural nominative without article.","Those are sweet apples."
"Hier ist ein guter Wein.","Hier|ist|ein|guter|Wein|.","Nominative masculine adjective ending.","Here is a good wine."
"Das ist kein magerer Schinken.","Das|ist|kein|magerer|Schinken|.","Adjective ending -er after 'kein' (masculine).","That is not a lean ham."
"Das ist keine scharfe Salami.","Das|ist|keine|scharfe|Salami|.","Adjective ending -e after 'keine' (feminine).","That is not a spicy salami."
"Das ist kein kaltes Wasser.","Das|ist|kein|kaltes|Wasser|.","Adjective ending -es after 'kein' (neuter).","That is not cold water."
"Das sind keine gelben Bananen.","Das|sind|keine|gelben|Bananen|.","Adjective ending -en after 'keine' (plural).","Those are not yellow bananas."
"Ist das ein teurer Käse?","Ist|das|ein|teurer|Käse|?","'teuer' drops the 'e' before the -er ending.","Is that an expensive cheese?"
"Ich kaufe einen milden Käse.","Ich|kaufe|einen|milden|Käse|.","Adjective ends in -en after 'einen' (masculine accusative).","I am buying a mild cheese."
"Ich brauche eine frische Milch.","Ich|brauche|eine|frische|Milch|.","Adjective ends in -e after 'eine' (feminine accusative).","I need a fresh milk."
"Er isst ein dunkles Brot.","Er|isst|ein|dunkles|Brot|.","Adjective ends in -es after 'ein' (neuter accusative).","He eats a dark bread."
"Wir kaufen süße Äpfel.","Wir|kaufen|süße|Äpfel|.","Plural accusative adjective without article ends in -e.","We are buying sweet apples."
"Ich hätte gern einen guten Wein.","Ich|hätte|gern|einen|guten|Wein|.","Using 'hätte gern' for polite requests with accusative.","I would like a good wine."
"Sie nimmt keinen mageren Schinken.","Sie|nimmt|keinen|mageren|Schinken|.","Adjective ends in -en after 'keinen' (masculine).","She is not taking a lean ham."
"Er mag keine scharfe Salami.","Er|mag|keine|scharfe|Salami|.","Adjective ends in -e after 'keine' (feminine accusative).","He likes no spicy salami."
"Ich trinke ein kaltes Wasser.","Ich|trinke|ein|kaltes|Wasser|.","Adjective ends in -es after 'ein' (neuter accusative).","I am drinking a cold water."
"Wir essen keine gelben Bananen.","Wir|essen|keine|gelben|Bananen|.","Adjective ends in -en after 'keine' (plural accusative).","We eat no yellow bananas."
"Kaufst du einen billigen Apfel?","Kaufst|du|einen|billigen|Apfel|?","Masculine accusative adjective ending in a question.","Are you buying a cheap apple?"
"Ich suche einen französischen Käse.","Ich|suche|einen|französischen|Käse|.","Adjective denoting origin (masculine accusative).","I am looking for a French cheese."
"Möchten Sie einen heißen Tee?","Möchten|Sie|einen|heißen|Tee|?","Polite question with accusative object.","Would you like a hot tea?"
"Ich nehme einen starken Kaffee.","Ich|nehme|einen|starken|Kaffee|.","Expressing choice with 'nehmen' + accusative.","I'll take a strong coffee."
"Hast du eine süße Orange?","Hast|du|eine|süße|Orange|?","Asking about possession (feminine accusative).","Do you have a sweet orange?"
"Er möchte ein weiches Ei.","Er|möchte|ein|weiches|Ei|.","Expressing desire with 'möchten' (neuter accusative).","He would like a soft egg."
"Was darf es sein?","Was|darf|es|sein|?","Standard phrase used by shop assistants.","What can it be? (How can I help you?)"
"Ich hätte gern ein Pfund Tomaten.","Ich|hätte|gern|ein|Pfund|Tomaten|.","Expressing quantity (ein Pfund = 500 grams).","I would like a pound of tomatoes."
"Möchten Sie sonst noch etwas?","Möchten|Sie|sonst|noch|etwas|?","Standard shop assistant question.","Would you like anything else?"
"Das ist alles, danke.","Das|ist|alles|,|danke|.","Standard customer reply.","That is all, thank you."
"Ich brauche noch eine Dose Thunfisch.","Ich|brauche|noch|eine|Dose|Thunfisch|.","Using 'Dose' (can/tin) as a packaging unit.","I still need a can of tuna."
"Geben Sie mir eine Flasche Olivenöl.","Geben|Sie|mir|eine|Flasche|Olivenöl|.","Using 'Flasche' (bottle) as a packaging unit.","Give me a bottle of olive oil."
"Wir brauchen zwei Liter Milch.","Wir|brauchen|zwei|Liter|Milch|.","Using 'Liter' as a measurement.","We need two liters of milk."
"Ich nehme ein Netz Orangen.","Ich|nehme|ein|Netz|Orangen|.","Using 'Netz' (net) as a packaging unit.","I'll take a net of oranges."
"Hast du eine Packung Nudeln?","Hast|du|eine|Packung|Nudeln|?","Using 'Packung' (package) as a packaging unit.","Do you have a package of pasta?"
"Ich kaufe ein Stück Butter.","Ich|kaufe|ein|Stück|Butter|.","Using 'Stück' (piece/block) as a packaging unit.","I am buying a block of butter."
"Wie viel kostet ein Kilo Äpfel?","Wie|viel|kostet|ein|Kilo|Äpfel|?","Asking for the price of a specific weight.","How much does a kilo of apples cost?"
"Ein Kilo kostet zwei Euro.","Ein|Kilo|kostet|zwei|Euro|.","Stating the price per kilo.","One kilo costs two euros."
"Die Trauben sind heute im Angebot.","Die|Trauben|sind|heute|im|Angebot|.","Using 'im Angebot' (on sale).","The grapes are on sale today."
