text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Die neue Couch stellen wir am besten direkt ans Fenster, oder? - Ja, da ist das Licht am besten.","Wohin soll die Couch gestellt werden?","Ans Fenster","An die Wand","In die Mitte","Vor die Tür","We should best put the new couch right at the window, right? - Yes, the light is best there.","Listen for 'ans Fenster' (at the window)."
"Wo ist eigentlich der Schlüssel für den Keller? - Der liegt auf der Kommode im Flur.","Wo befindet sich der Schlüssel?","Auf der Kommode im Flur","Im Keller","Auf dem Tisch","Im Schrank","Where is the key for the basement actually? - It's lying on the dresser in the hallway.","Listen for 'auf der Kommode'."
"Können Sie mir helfen, den Schrank ins Schlafzimmer zu tragen? - Klar, machen wir sofort.","Wohin wird der Schrank getragen?","Ins Schlafzimmer","Ins Wohnzimmer","In den Flur","In die Küche","Can you help me carry the closet into the bedroom? - Sure, we'll do that immediately.","Listen to the destination 'Schlafzimmer'."
"Hängst du das Bild über den Schreibtisch? - Nein, ich glaube, es passt besser neben das Bücherregal.","Wohin hängt die Person das Bild?","Neben das Bücherregal","Über den Schreibtisch","An die Tür","Über das Sofa","Are you hanging the picture over the desk? - No, I think it fits better next to the bookshelf.","Listen for the final decision 'neben das Bücherregal'."
"Die Wohnung ist toll, 80 Quadratmeter und sehr hell! Aber die Miete ist mit 1200 Euro zu hoch für mich.","Warum nimmt die Person die Wohnung nicht?","Die Miete ist zu hoch.","Die Wohnung ist zu klein.","Sie ist zu dunkel.","Sie hat keinen Balkon.","The apartment is great, 80 square meters and very bright! But the rent is too high for me at 1200 euros.","Listen for the negative point 'zu hoch' (too high)."
"Ich brauche noch Umzugskartons. Hast du noch welche? - Ja, im Keller stehen noch etwa fünfzehn Stück.","Wie viele Kartons hat die zweite Person?","Etwa 15","Etwa 5","Etwa 50","Gar keine","I still need moving boxes. Do you have any left? - Yes, there are still about fifteen pieces in the basement.","Listen for the number 'fünfzehn'."
"Wir müssen die Waschmaschine noch anschließen. Wo ist der Anschluss? - Im Badezimmer, hinter der Tür.","Wo steht die Waschmaschine?","Im Badezimmer","In der Küche","Im Keller","Im Flur","We still have to connect the washing machine. Where is the connection? - In the bathroom, behind the door.","Listen for 'Im Badezimmer'."
"Wie findest du diesen Sessel hier? - Mmh, die Farbe ist schön, aber er ist ein bisschen zu hart, finde ich.","Wie findet die Person den Sessel?","Zu hart","Zu weich","Zu teuer","Hässlich","How do you like this armchair here? - Mmh, the color is beautiful, but it is a bit too hard, I think.","Listen for the evaluation 'zu hart'."
"Stell die Blumen bitte nicht auf den Fernseher. - Okay, dann stelle ich sie auf den kleinen Tisch.","Wohin kommen die Blumen?","Auf den kleinen Tisch","Auf den Fernseher","Auf das Sofa","Auf den Balkon","Please don't put the flowers on the TV. - Okay, then I'll put them on the small table.","Listen for the final location 'kleinen Tisch'."
"Suchen Sie eine möblierte Wohnung? - Nein, wir haben unsere eigenen Möbel. Drei Zimmer wären perfekt.","Was sucht die Person?","Eine unmöblierte Drei-Zimmer-Wohnung","Ein möbliertes Zimmer","Ein großes Haus","Möbel für die Wohnung","Are you looking for a furnished apartment? - No, we have our own furniture. Three rooms would be perfect.","Since they have their own furniture, they need it unfurnished ('eigene Möbel')."
"Die Nebenkosten sind in dieser Wohnung sehr niedrig. - Das ist gut, dann sparen wir jeden Monat Geld.","Was ist positiv an der Wohnung?","Die Nebenkosten sind niedrig.","Die Miete ist billig.","Sie ist sehr groß.","Sie liegt im Zentrum.","The utilities are very low in this apartment. - That is good, then we save money every month.","Listen for 'Nebenkosten sind niedrig'."
"Hast du den Mietvertrag schon unterschrieben? - Ja, gestern! Wir können am ersten September einziehen.","Wann können sie einziehen?","Am 1. September","Gestern","Am 1. Oktober","Nächste Woche","Have you already signed the lease? - Yes, yesterday! We can move in on the first of September.","'einziehen' means to move in."
