text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Guten Tag, ich hätte gern einen milden Käse. - Gerne. Wie viel darf es sein?","Was möchte die Person kaufen?","Einen milden Käse","Einen scharfen Käse","Einen mageren Schinken","Ein frisches Brot","Good day, I would like a mild cheese. - Gladly. How much can it be?","Listen for the adjective 'milden' describing the cheese."
"Ich brauche noch eine Dose Thunfisch für den Salat.","In welcher Verpackung kauft die Person den Thunfisch?","In einer Dose","In einer Flasche","In einer Tüte","In einem Glas","I still need a can of tuna for the salad.","'Dose' means can or tin."
"Haben Sie frisches Brot? - Ja, das dunkle Brot hier ist ganz frisch.","Welches Brot ist frisch?","Das dunkle Brot","Das helle Brot","Das weiße Brot","Das süße Brot","Do you have fresh bread? - Yes, the dark bread here is very fresh.","Listen to the color adjective 'dunkle'."
"Was kostet ein Kilo von den roten Äpfeln? - Nur 2 Euro 50 heute.","Was kostet 2,50 Euro?","Ein Kilo rote Äpfel","Ein Kilo grüne Äpfel","Ein Pfund rote Äpfel","Eine Kiste rote Äpfel","What does a kilo of the red apples cost? - Only 2.50 euros today.","Listen for the color 'roten' and the quantity 'Kilo'."
"Möchtest du einen süßen Saft zum Frühstück? - Nein danke, lieber einen heißen Kaffee.","Was möchte die zweite Person trinken?","Einen heißen Kaffee","Einen süßen Saft","Ein kaltes Wasser","Einen schwarzen Tee","Would you like a sweet juice for breakfast? - No thanks, rather a hot coffee.","'lieber' indicates a preference for 'heißen Kaffee'."
"Ich nehme 200 Gramm mageren Schinken, bitte. - Sehr gern. Sonst noch etwas?","Wie viel Schinken möchte der Kunde?","200 Gramm","100 Gramm","2 Kilo","500 Gramm","I'll take 200 grams of lean ham, please. - Very gladly. Anything else?","Listen to the number 'zweihundert'."
"Wir brauchen unbedingt noch eine Packung Nudeln und zwei Flaschen Wasser.","Was fehlt noch?","Nudeln und Wasser","Reis und Wasser","Nudeln und Saft","Brot und Wasser","We absolutely still need a package of pasta and two bottles of water.","Pay attention to both items mentioned."
"Gibst du mir bitte das kleine Glas Marmelade? - Hier, bitte schön.","Was möchte die Person haben?","Das kleine Glas Marmelade","Das große Glas Marmelade","Die Packung Zucker","Die Dose Thunfisch","Will you please give me the small jar of jam? - Here you go.","Listen for the adjective 'kleine' (small)."
"Essen wir heute Abend eine heiße Suppe? - Gute Idee, es ist so kalt draußen.","Was wollen sie heute Abend essen?","Eine heiße Suppe","Eine kalte Suppe","Einen frischen Salat","Ein großes Schnitzel","Are we eating a hot soup tonight? - Good idea, it is so cold outside.","'heiße Suppe' means hot soup."
"Haben wir noch kalte Milch für den Kaffee? - Nein, ich muss noch welche kaufen.","Was fehlt für den Kaffee?","Kalte Milch","Weißer Zucker","Frische Sahne","Kaltes Wasser","Do we still have cold milk for the coffee? - No, I have to buy some.","Listen for the adjective 'kalte' describing the milk."
"Entschuldigung, wo finde ich guten Wein? - Die Weine sind in Regal Nummer vier.","Was sucht die Person?","Guten Wein","Kaltes Bier","Süßen Saft","Frisches Wasser","Excuse me, where do I find good wine? - The wines are in shelf number four.","'guten Wein' means good wine."
